"uri","iao_definition","rdf_comment","label","oio_related_synonym","iao_alternative_term","oio_exact_synonym","apollo_label","iao_elucidation","skos_pref_label","iao_preferred_label","oio_synonym","chebi_formula","skos_alt_label","skos_definition","oio_broad_synonym","oio_narrow_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_nl_axiom","obi_isa_term"
"http://purl.obolibrary.org/obo/NCBITaxon_1581","","","['Lentilactobacillus buchneri']","['Bacillus Buchneri', 'Bacterium buchneri', 'Lactobacillus buchneri', 'Lactobacterium buchneri', 'Ulvina buchneri']","","","","","","","","","","","","","['Lactobacillus buchneri', 'lactobacillus buchneri', 'L. buchneri']",3,5,41.45680900730587,26.211475398139847,127.43940153913618,"",""
"http://purl.obolibrary.org/obo/ENVO_00003030","['A fermented, high-moisture forage that can be fed to ruminants.']","","['silage']","","","","","","","","","","","","","","['silage', 'silage additive']",2,6,25.323389845857694,22.63034917098788,77.47589923762892,"",""
"http://purl.obolibrary.org/obo/CHEBI_15366","['A simple monocarboxylic acid containing two carbons.']","['LanguaL curation note: See ""food additive"" comments.', 'LanguaL term definition: Food additive; technological purpose(s): acidity regulator, preservative.']","['acetic acid', 'Acetic Acid']","['C2H4O2', 'acide acetique', 'AcOH', 'CC(O)=O', 'CH3-COOH', 'CH3CO2H', 'E 260', 'E-260', 'E260', 'Essigsaeure', 'Ethanoic acid', 'ethoic acid', 'Ethylic acid', 'HOAc', 'InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)', 'InChIKey=QTBSBXVTEAMEQO-UHFFFAOYSA-N', 'INS No. 260', 'MeCO2H', 'MeCOOH', 'Methanecarboxylic acid']","['acetic acid']","['acetic acid', 'Acetic acid', 'ACETIC ACID']","","","","","['acetic acid, glacial']","['C2H4O2']","","","","","['acetic acid']",1,1,37.95266514187324,37.95266514187324,37.95266514187324,"",""
"http://purl.obolibrary.org/obo/BFO_0000015","['An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.', 'p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])', 'An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.', 'p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])']","","['process', 'process']","","","","","","","","","","","","","","['process']",1,1,37.63843963767607,37.63843963767607,37.63843963767607,"",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000454","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","['We often say in natural language it is the efficacy of the triggering planned process such as vaccination. However, processes do not have properties such as roles, dispositions, functions, qualities in BFO. And this is also not a process profile, because it is not the process of a quality changing values (determinates) over time. Nevertheless, it is natural to classify efficacies based on the type of triggering process because that is what differentiates what happens when they are realized. For example, a vaccination efficacy will be realized through different processes than a quarantine efficacy. For individual treatments, the triggering process is a treatment (as defined by OGMS).']","['efficacy']","","","","['efficacy']","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","","","","","","","","","['efficacy']",1,2,25.462253822699118,23.810697373354678,29.314407049052086,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_2767893","","","['Lentilactobacillus']","","","","","","","","","","","","","","['Lactobacillus buchneri', 'lactobacillus buchneri', 'L. buchneri']",3,5,9.02256210844249,5.704603668168286,27.73561069900399,"",""
"http://purl.obolibrary.org/obo/ENVO_0010003","","['This is quite odd and it probably should be obsoleted. Any material that is a participant in an agricultural process can be seen as an agricultural material.']","['agricultural environmental material']","","","","","","","","","","","","","","['silage', 'silage additive', 'forage']",3,10,6.5496650748045715,4.327556192943385,25.90382936307039,"",""
"http://purl.obolibrary.org/obo/CHEBI_16646","[""The generic term 'carbohydrate' includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates."", 'Any member of the class of organooxygen compounds that is a polyhydroxy-aldehyde or -ketone or a lactol resulting from their intramolecular condensation (monosaccharides); substances derived from these by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom; and polymeric products arising by intermolecular acetal formation between two or more such molecules (disaccharides, polysaccharides and oligosaccharides). Carbohydrates contain only carbon, hydrogen and oxygen atoms; prior to any oxidation or reduction, most have the empirical formula Cm(H2O)n. Compounds obtained from carbohydrates by substitution, etc., are known as carbohydrate derivatives and may contain other elements. Cyclitols are generally not regarded as carbohydrates.']","","['carbohydrate']","['carbohidrato', 'carbohidratos', 'glucide', 'glucides', 'glucido', 'glucidos', 'hydrates de carbone', 'Kohlenhydrat', 'Kohlenhydrate', 'saccharide', 'saccharides', 'saccharidum']","","['carbohydrate', 'carbohydrates']","","","","","","","","","","","['carbohydrate']",1,1,17.16571186550701,17.16571186550701,17.16571186550701,"",""
"http://snomed.info/id/276339004","","","['Environment (environment)']","","","","","","['Environment']","","","","['Environments']","","","","['environment']",1,1,16.815968900886677,16.815968900886677,16.815968900886677,"",""
"http://purl.obolibrary.org/obo/CHEBI_75324","['A generally pharmacologically inactive substance that is formulated with the active ingredient of a medication.']","","['excipient']","['bulking agent', 'bulking agents', 'filler', 'fillers']","","['excipient']","","","","","","","","","","","['excipient']",1,1,16.33074986029966,16.33074986029966,16.33074986029966,"",""
