"uri","chebi_formula","iao_definition","oio_exact_synonym","oio_related_synonym","label","skos_alt_label","skos_definition","skos_pref_label","iao_preferred_label","rdf_comment","oio_narrow_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_broad_synonym"
"http://purl.obolibrary.org/obo/CHEBI_34936","['C9H9Cl2NO']","['An anilide resulting from the formal condensation of the carboxy group of propanoic acid with the amino group of 3,4-dichloroaniline. It is a herbicide used for the treatment of numerous grasses and broad-leaved weeds in rice, potatoes, and wheat.']","['N-(3,4-dichlorophenyl)propanamide', 'propanil']","['DPA', '3,4-DCPA', '3,4-dichloropropionanilide', ""3',4'-dichlorophenylpropionanilide"", ""3',4'-dichloropropionanilide"", 'Arrosol', 'BAY 30130', 'Cekupropanil', 'Chem Rice', 'Chem-Rice', 'Crystal propanil-4', 'DCPA', 'Dipram', 'Dropaven', 'Erban', 'FW 734', 'Herbax', 'Herbax 4E', 'N-(3,4-dichlorophenyl)propionamide', 'Prop Job', 'Prop-Job', 'Propanac', 'Propanex', 'Propanile', 'propanilo', 'propasint', 'Riselect', 'Rogue', 'S 10145', 'Stam', 'Stam 80 EDF', 'Stam F 34', 'Stam M-4', 'Stampede', 'Strel', 'Supernox', 'Surcopur', 'Surpur', 'Synpran N', 'Vertac', 'Wham DF', 'Wham EZ']","['propanil']","","","","","","","['propanil']",1,4,18.53601285084092,18.53559941123749,28.094715097813044,""
"http://purl.obolibrary.org/obo/CHEBI_13248","['C7H6NOR']","['Any amide of aniline.', 'Any aromatic amide obtained by acylation of aniline.']","['anilide']","['[*]C(=O)Nc1ccccc1', 'an anilide', 'C7H6NOR', 'N-phenyl amide', 'N-phenyl amides']","['anilide']","","","","","","","['anilide', 'propanil']",2,5,16.306356720464002,4.625829010695087,14.993760602711495,""
"http://purl.obolibrary.org/obo/CHEBI_33708","","['When two or more amino acids combine to form a peptide, the elements of water are removed, and what remains of each amino acid is called an amino-acid residue.']","['amino acid residue', 'amino-acid residue']","['amino acid residue', 'amino-acid residues']","['amino-acid residue']","","","","","","['protein residue']","['residue']",1,2,13.390788640300947,10.459020216406344,12.876564308490208,""
"http://purl.obolibrary.org/obo/FOODON_03400356","","","","","['European Union agency food product type', 'product type, European Union']","","","","","['LanguaL curation note: This term is for CLASSIFICATION ONLY; DO NOT USE term in indexing. Use a more precise narrower term.']","","['European Union', 'EFSA', 'European Food Safety Authority']",3,4,9.057155724105813,2.4362943837068114,11.078195274841963,""
"http://purl.obolibrary.org/obo/HANCESTRO_0005","","['Includes individuals who either self-report or have been described by authors as\n\nEuropean, Caucasian, White or one of the sub-populations from this region (e.g Dutch). This category also includes individuals who genetically cluster with reference populations from this region, for example 1000 Genomes and/or HapMap CEU, FIN, GBR, IBS and TSI populations.']","['white', 'Caucasian']","","['European']","","","","","","","['european']",1,1,11.048418284045768,11.048418284045768,11.048418284045768,""
"http://purl.obolibrary.org/obo/BTO_0000042","","['Any of a kingdom (Animalia) of living things including many-celled organisms and often many of the single-celled ones (as protozoans) that typically differ from plants in having cells without cellulose walls, in lacking chlorophyll and the capacity for photosynthesis, in requiring more complex food materials (as proteins), in being organized to a greater degree of complexity, and in having the capacity for spontaneous movement and rapid motor responses to stimulation.']","","['animalia', 'metazoa', 'Tier']","['animal']","","","","","","","['animal']",1,1,10.44364618945719,10.44364618945719,10.44364618945719,""
"http://purl.obolibrary.org/obo/BTO_0001481","","['Any of a kingdom (Plantae) of living things typically lacking locomotive movement or obvious nervous or sensory organs and possessing cellulose cell walls.']","","['Pflanze', 'plantae', 'viridiplantae']","['plant']","","","","","","","['plant']",1,1,9.627384466200303,9.627384466200303,9.627384466200303,""
"http://purl.obolibrary.org/obo/BTO_0000000","","['A structured controlled vocabulary for the source of an enzyme. It comprises terms of tissues, cell lines, cell types and cell cultures from uni- and multicellular organisms.']","","","['tissues, cell types and enzyme sources']","","","","","","","['plant', 'animal']",2,2,3.22204167458094,3.096126393558017,7.623557424877393,""
"http://purl.obolibrary.org/obo/GO_0051170","","['The directed movement of substances into the nucleus.']","['nuclear import', 'single organism nuclear import', 'substance nuclear import']","['single-organism nuclear import']","['import into nucleus']","","","","","","","['import']",1,1,7.488721607337712,7.488721607337712,7.488721607337712,""
"http://purl.obolibrary.org/obo/FOODON_03520367","","['A commission that administrates a collection of internationally recognized standards, codes of practice, guidelines, and other recommendations relating to foods, food production, and food safety.']","","","['Codex Alimentarius Commission']","","","","","['LanguaL curation note: US FDA 1995 Code:  QZ02']","","['Codex Alimentarius Commission']",1,1,6.435396308232262,6.435396308232262,6.435396308232262,""
