"uri","label","skos_pref_label","iao_definition","oio_exact_synonym","skos_alt_label","iao_alternative_term","oio_related_synonym","iao_preferred_label","rdf_comment","apollo_label","obo_external_definition","obo_taxon_notes","obo_homology_notes","obo_external_ontology_notes","oio_broad_synonym","oio_narrow_synonym","skos_definition","oio_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_elucidation","iao_nl_axiom"
"http://purl.obolibrary.org/obo/NCBITaxon_9913","['Bos taurus']","","['Cattle (colloquially cows) are the most common type of large domesticated ungulates. They are a prominent modern member of the subfamily *Bovinae*, are the most widespread species of the genus *Bos*, and are most commonly classified collectively as *Bos taurus*... with three subspecies: *Bos taurus primigenius, Bos taurus indicus, Bos taurus taurus*.']","['bovine', 'cattle', 'cow', 'dairy cow', 'domestic cattle', 'domestic cow', 'Bos taurus Linnaeus, 1758']","","['cattle']","['Bos bovis', 'Bos primigenius taurus', 'Bos Tauurus']","","","","","","","","","","","","['cattle']",1,3,25.99330872477733,25.992070784333873,36.13909373262236,"",""
"http://snomed.info/id/87522002","['Iron deficiency anemia (disorder)']","['Iron deficiency anaemia', 'Iron deficiency anemia']","","","['Asiderotic anaemia', 'Chlorotic anaemia', 'IDA - Iron deficiency anaemia', 'Iron deficiency anaemia syndrome', 'Sideropenic anaemia', 'Asiderotic anemia', 'Chlorotic anemia', 'IDA - Iron deficiency anemia', 'Iron deficiency anemia syndrome', 'Sideropenic anemia']","","","","","","","","","","","","","","['iron‐deficiency anaemia']",1,1,34.20359824022253,34.20359824022253,34.20359824022253,"",""
"http://purl.obolibrary.org/obo/FOODON_00001282","['ground beef food product']","","['A ground beef product is made of beef that has been finely chopped with a knife or a meat grinder (American English) or mincing machine (British English). Ground beef is used in many recipes including hamburgers and spaghetti Bolognese.']","['beef mince', 'hamburger meat', 'minced beef', 'beef mince', 'ground beef']","","","","","","","","","","","","","","","['beef']",1,5,19.177968664664338,19.149399237781687,31.034600197414246,"",""
"http://purl.obolibrary.org/obo/OGMS_0000090","['treatment']","","['A planned process whose completion is hypothesized by a health care provider to eliminate, prevent, or alleviate the signs and symptoms of a disorder or pathological process', 'A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder']","","","","","['treatment']","['Apollo-SV currently defines two subclasses of treatment.\n\nSee vaccination and antiviral treatment.']","['Treatment']","","","","","","","","","['treatment']",1,2,14.450140831328095,14.405448515567596,17.73518746166886,"",""
"http://purl.obolibrary.org/obo/FOODON_03401328","['dietary supplement, fibre']","","['Fibre supplements (or fiber supplements) are considered to be a form of a subgroup of functional dietary fibre, and in the United States are defined by the Institute of Medicine (IOM). According to the IOM, functional fibre ""consists of isolated, non-digestible carbohydrates that have beneficial physiological effects in humans"".\n\nFibre supplements are widely available, and can be found in forms such as powders, tablets and capsules. Consumption of fibre supplements may be for: improving dietary intake, lowering blood cholesterol, alleviating irritable bowel syndrome, reducing the risk of colon cancer, and increasing feelings of satiety. [http://en.wikipedia.org/wiki/Fibre_supplements]']","['fibre', 'fiber', 'fiber supplement']","","","","","","","","","","","","","","['fibre supplement']","['fibre']",1,2,12.303286575475047,12.28121945791652,15.119954724676806,"",""
"http://purl.obolibrary.org/obo/OBI_0600041","['concentrate']","","['a protocol application to create an output material with an increased density of a material of interest that is part of the input material by separating other parts of the input material']","","","","","['concentrate']","","","","","","","","","","","['concentrate']",1,2,11.461411529865202,11.461283351223715,14.110494967622177,"",""
"http://purl.obolibrary.org/obo/FOODON_00002555","['wagyu cattle']","","['Wagyu is any of the four Japanese breeds of beef cattle:  Japanese Black (Kuroge Washu), Japanese Polled (Mukaku Washu), Japanese Brown (Akage Washu or Akaushi) and Japanese Shorthorn (Nihon Tankaku Washu).  In several areas of Japan, wagyu beef is shipped carrying area names. Some examples are Matsusaka beef, Kobe beef, Yonezawa beef, Mishima beef, Ōmi beef, and Sanda beef.']","","","","","","","","","","","","","['Japanese Black', 'Japanese Brown', 'Japanese Polled', 'Japanese Shorthorn', 'Akage Washu', 'Kuroge Washu', 'Mukaku Washu', 'Nihon Tankaku Washu', '日本短角和種', '無角和種', '赤毛和種', '黒毛和種', 'Akaushi']","","","['beef cattle']",1,1,12.107267228617383,12.107267228617383,12.107267228617383,"",""
"http://purl.obolibrary.org/obo/CHMO_0010024","['risk assessment']","","","","","","","","","","","","","","","","","","['risk assessment']",1,2,9.809254692212226,9.03606615796844,11.124702368997907,"",""
"http://purl.obolibrary.org/obo/XCO_0000013","['diet']","","['The food and drink consumed by an organism day to day.']","","","","","","","","","","","","","","","","['diet']",1,1,10.69370310036838,10.69370310036838,10.69370310036838,"",""
"http://purl.obolibrary.org/obo/AGRO_00000116","['draft animal']","","['Organism used to pull agricultural implements.']","['draught animal', 'working animal']","","","","","","","","","","","","","","","['cattle']",1,3,7.249401566323444,7.249056311031599,10.079009389868531,"",""
"http://purl.obolibrary.org/obo/FOODON_03401298","['dietary supplement']","","['Index dietary/food supplements according to legal and market definitions.']","","","","","","['LanguaL curation note: This term is for CLASSIFICATION ONLY; DO NOT USE term in indexing. Use a more precise narrower term.', 'The United States defines dietary supplements in the Dietary Supplement Health and Education Act of 1994 (DSHEA). Pub L 103-417, 108 STAT. 4235, (Oct. 25, 1994): A dietary supplement is a product taken by mouth that contains a ""dietary ingredient"" intended to supplement the diet. The ""dietary ingredients"" in these products may include: vitamins, minerals, herbs or other botanicals, amino acids, and substances such as enzymes, organ tissues, glandulars, and metabolites. Dietary supplements can also be extracts or concentrates, and may be found in many forms such as tablets, capsules, softgels, gelcaps, liquids, or powders.\n\n\n\nIn the European Union, food supplements are framed by two kinds of regulations: \n\n- the EU vertical regulation relating to food supplements, composed with the directive 2002/46/CE  (essentially for the definition of food supplements) and the regulation 1170/2009 (which lists the vitamins and minerals, and the chemical forms of the substances allowed in food supplements); \n\n- the EU transversal regulation relating to foodstuffs and especially the 2006/1924 regulation concerning nutrition and health claims, and the EU labeling transversal regulations, 90/496/EC and 2008/100/EC.\n\nThe EU regulation 2002/46/CE defines food supplements as ""foodstuffs the purpose of which is to supplement the normal diet and which are concentrated sources of nutrients or other substances with a nutritional or physiological effect, alone or in combination, marketed in dose form, namely forms such as capsules, pastilles, tablets, pills and other similar forms, sachets of powder, ampoules of liquids, drop dispensing bottles, and other similar forms of liquids and powders designed to be taken in measured small unit quantities"". [Directive 2002/46/EC]\n\n\n\nCodex Alimentarius also includes supplements containing vitamins or dietary minerals [http://www.codexalimentarius.net/download/standards/10206/cxg_055e.pdf]']","","","","","","","","","['food supplement', 'nutritional supplement']","['fibre', 'dietary']",2,3,4.276842512143808,3.543231510498041,9.852941440237116,"",""
"http://purl.obolibrary.org/obo/FOODON_03414374","['bovine']","","['The biological subfamily *Bovinae* includes a diverse group of 10 genera of medium- to large-sized ungulates, including domestic cattle, the bison, African buffalo, the water buffalo, the yak, and the four-horned and spiral-horned antelopes. The evolutionary relationship between the members of the group is obscure, and their classification into loose tribes rather than formal subgroups reflects this uncertainty. General characteristics include cloven hoofs and usually at least one of the sexes of a species having true horns.']","","","","","","","","","","","","","","","['bovinae']","['cattle']",1,3,6.513757246295395,6.513447026322269,9.056226206824846,"",""
"http://purl.obolibrary.org/obo/GO_0032601","['connective tissue growth factor production']","","['The appearance of connective tissue growth factor due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels.']","['CCN2 production', 'CTGF production', 'Fisp12 production', 'Hcs24 production', 'hypertrophic chondrocyte-specific gene product 24 production', 'IGFBP8 production']","","","","['connective tissue growth factor production']","","","","","","","","","","","['production']",1,3,6.4773851234033835,6.477230469422996,9.005871098325967,"",""
"http://purl.obolibrary.org/obo/ENVO_01000627","['feedlot']","","['A feedlot is a plot of land on which livestock are fattened for market']","","","","","","","","","","","","","","","","['feedlot']",1,1,8.195094366774688,8.195094366774688,8.195094366774688,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_9903","['Bos']","","","['oxen, cattle']","","","","","","","","","","","","","","","['cattle']",1,3,5.4607188589094,5.460458790258756,7.592162766932086,"",""
"http://purl.obolibrary.org/obo/MP_0011940","['decreased food intake']","","['reduction in the total number of calories or food amount taken in over time when compared to the normal state']","['hypophagia', 'reduced food intake']","","","['anorexia', 'loss of appetite']","","","","","","","","","","","","['intake']",1,2,11.43788853858534,6.016777333727548,7.407521800758992,"",""
"http://purl.obolibrary.org/obo/CHMO_0002543","['incredible natural abundance double quantum transfer experiment']","","['A 2D NMR technique which correlates (commonly one-bond) J-coupled homonuclei. In one dimension, the signals appear at the chemical shift of a particular nucleus and in the other dimension, at a position which is the sum of the frequencies of that nucleus and its J-coupled partner.']","['2D INADEQUATE', '2D INADEQUATE NMR', 'INADEQUATE', 'INADEQUATE NMR']","","","","","","","","","","","","","","","['inadequate']",1,3,4.976276970338129,4.976232235335661,6.918899408987632,"",""
"http://purl.obolibrary.org/obo/HP_0000708","['Behavioral abnormality']","","['An abnormality of mental functioning including various affective, behavioural, cognitive and perceptual abnormalities.']","['Behavioral abnormality', 'Behavioral changes', 'Behavioral disorders', 'Behavioral disturbances', 'Behavioral problems', 'Behavioral/psychiatric abnormalities', 'Behavioural abnormality', 'Behavioural/Psychiatric abnormality', 'Psychiatric disorders', 'Psychiatric disturbances']","","","['Behavioral symptoms']","","","","","","","","","","","","['behavioural disorder']",1,2,5.320459305536355,5.319077562756258,6.5485526255356605,"",""
