"uri","chebi_formula","iao_definition","iao_elucidation","oio_exact_synonym","oio_related_synonym","label","skos_alt_label","skos_pref_label","iao_preferred_label","apollo_label","rdf_comment","oio_synonym","oio_broad_synonym","iao_alternative_term","skos_definition","obo_external_ontology_notes","obo_homology_notes","obo_taxon_notes","oio_narrow_synonym","obo_relational_adjective","obo_structure_notes","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","obo_external_definition","iao_nl_axiom"
"http://purl.obolibrary.org/obo/CHEBI_15377","['H2O']","['An inorganic hydroxy compound that has formula H2O.', 'An oxygen hydride consisting of an oxygen atom that is covalently bonded to two hydrogen atoms.']","","['oxidane', 'water', 'Water', 'WATER']","['[H]O[H]', '[OH2]', 'acqua', 'agua', 'aqua', 'BOUND WATER', 'dihydridooxygen', 'dihydrogen oxide', 'eau', 'H2O', 'HOH', 'hydrogen hydroxide', 'InChI=1S/H2O/h1H2', 'InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N', 'Wasser']","['water', 'Water']","","","['water']","","","","","","","","","","","","","['water']",1,2,42.197098747762546,42.16506474919839,51.911283904302266,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_340322","","","","['Corynebacterium glutamicum str. R', 'Corynebacterium glutamicum strain R']","","['Corynebacterium glutamicum R']","","","","","","","","","","","","","","","","['corynebacterium \xa0 glutamicum']",1,2,29.594788236231224,29.594061006545374,36.43456287639697,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_1295126","","","","['Natronolimnobius baerhuensis CGMCC 1.3597 = JCM 12253']","['Natronolimnobius baerhuensis CGMCC 1.3597', 'Natronolimnobius baerhuensis JCM 12253']","['Natronolimnobius baerhuensis JCM 12253 = CGMCC 1.3597']","","","","","","","","","","","","","","","","['CGMCC 11675', 'cgmcc 11675', 'CGMCC']",3,3,7.429854877376105,7.429848520345087,30.991142759326472,"",""
"http://purl.obolibrary.org/obo/CHEBI_27266","['C5H11NO2']","['A branched-chain amino acid that consists of glycine in which one of the hydrogens attached to the alpha-carbon is substituted by an isopropyl group.']","","['valine']","['2-amino-3-methylbutanoic acid', 'DL-valine', 'Hval', 'Valin', 'valina']","['valine']","","","","","","","","","","","","","","","","['‐valine']",1,6,13.605493967787071,13.605493967787071,23.289474496438466,"",""
"http://snomed.info/id/386945006","","","","","","['Amino acid derivative (substance)']","","['Amino acid derivative']","","","","","","","","","","","","","","['amino acid']",1,1,21.374825928512205,21.374825928512205,21.374825928512205,"",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000454","","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","","","['efficacy']","","","","['efficacy']","['We often say in natural language it is the efficacy of the triggering planned process such as vaccination. However, processes do not have properties such as roles, dispositions, functions, qualities in BFO. And this is also not a process profile, because it is not the process of a quality changing values (determinates) over time. Nevertheless, it is natural to classify efficacies based on the type of triggering process because that is what differentiates what happens when they are realized. For example, a vaccination efficacy will be realized through different processes than a quarantine efficacy. For individual treatments, the triggering process is a treatment (as defined by OGMS).']","","","","","","","","","","","['efficacy']",1,2,16.048071387116305,15.00714609924172,18.475964080332396,"",""
"http://purl.obolibrary.org/obo/UBERON_0000014","","['Any portion of the organ that covers that body and consists of a layer of epidermis and a layer of dermis.']","","['skin', 'portion of skin', 'region of skin', 'skin region', 'skin zone']","","['zone of skin']","","","","","","","","","","['we assume that mouse, HOG and GAID all mean zone of skin when they say skin. We also choose skin as an exact synonym, as it is more intuitive']","['(...) it is well-established that neural crest cells contribute to both the dermal skeleton (craniofacial bone, teeth, and the caudal fin rays of teleosts) and the integument, including craniofacial dermis and all pigment cells outside the retina (...).[well established][VHOG]']","","","","","['skin']",1,1,17.627190655197243,17.627190655197243,17.627190655197243,"",""
"http://purl.obolibrary.org/obo/CHEBI_52625","","","","","['inorganic hydroxides']","['inorganic hydroxy compound']","","","","","","","","","","","","","","","","['water']",1,2,13.919851402334416,13.909284123704644,17.124337442526112,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_253108","","","","['Natronoliminobium baerhuense']","","['Natronolimnobius baerhuensis']","","","","","","","","","","","","","","","","['CGMCC 11675', 'cgmcc 11675', 'CGMCC']",3,3,3.7149274386880524,3.7149242601725434,15.495571379663236,"",""
"http://purl.obolibrary.org/obo/UBERON_0007365","","['The first compartment of the ruminant stomach. It lies on the left side of the body, occupying the whole of the left side of the abdomen and even stretching across the median plane of the body to the right side. It is capacious, divided into an upper and a lower sac, each of which has a blind sac at its posterior extremity.']","","","['paunch']","['rumen']","","","","","","","","","","","","","","['ruminal']","['There is no muscularis mucosae in the rumen. The rumen is lined by mucous membrane containing no digestive glands, but mucus-secreting glands are present in large numbers']","['rumen']",1,1,15.136470582197141,15.136470582197141,15.136470582197141,"",""
"http://purl.obolibrary.org/obo/OBI_0000952","","['An administering substance in vivo into the mouth of an organism']","","","","['oral administration']","","","['oral administration']","","","","","","","","","","","","","['oral administration']",1,1,14.178303610229905,14.178303610229905,14.178303610229905,"",""
"http://snomed.info/id/276339004","","","","","","['Environment (environment)']","['Environments']","['Environment']","","","","","","","","","","","","","","['environment']",1,1,13.695866419193532,13.695866419193532,13.695866419193532,"",""
"http://purl.obolibrary.org/obo/CHEBI_33693","","","","['oxygen hydride']","['hydrides of oxygen', 'oxygen hydrides']","['oxygen hydride']","","","","","","","","","","","","","","","","['water']",1,2,10.276253069946806,10.268451835126012,12.641947110516742,"",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000121","","","['an interbreeding population']","","","['species']","","","","['species']","","","","","","","","","","","","['specie']",1,1,11.461098026231536,11.461098026231536,11.461098026231536,"",""
"http://purl.obolibrary.org/obo/CHEBI_139492","","['A chemical compound that causes a substantial proportion of exposed people or animals to develop an allergic reaction in normal tissue after repeated exposure to the compound.']","","","['sensitisers', 'sensitizer', 'sensitizers']","['sensitiser']","","","","","","","","","","","","","","","","['sensitiser']",1,1,11.000163450939432,11.000163450939432,11.000163450939432,"",""
"http://purl.obolibrary.org/obo/GO_0043464","","['The anaerobic enzymatic conversion of L-malate to L-lactate and carbon dioxide, yielding energy in the form of ATP.']","","['malo-lactate fermentation', 'malolactate fermentation']","","['malolactic fermentation']","","","","","","","['L-malate fermentation', 'malate fermentation']","","","","","","","","","['fermentation']",1,1,10.848168100907941,10.848168100907941,10.848168100907941,"",""
"http://purl.obolibrary.org/obo/CHEBI_37176","","","","['mononuclear parent hydrides']","['mononuclear hydride', 'mononuclear hydrides']","['mononuclear parent hydride']","","","","","","","","","","","","","","","","['water']",1,2,7.459463667735318,7.45380080333201,9.176705217208053,"",""
"http://purl.obolibrary.org/obo/OBI_0302859","","['an organism that is the output of a genetic transformation process']","","","","['genetically modified organism']","","","['genetically modified organism']","","","","","","","","","","","","","['genetically modify microorganism']",1,1,8.940101928262239,8.940101928262239,8.940101928262239,"",""
"http://purl.obolibrary.org/obo/PATO_0001034","","[""A physical quality inhering in a bearer by virtue of the relative change in the bearer's length or the bearer's volume when being stretched or squashed.""]","","","","['strain']","","","","","","","","","","","","","","","","['strain']",1,2,7.199908668232178,7.187646809869015,8.849031215066649,"",""
"http://purl.obolibrary.org/obo/OBI_0000248","","['a role that inheres in a material entity and is realized in the use of that material entity by lab animal to provide all needed nourishment.']","","","","['feed role']","","","['feed role']","","","","","['feed']","","","","","","","","['feed']",1,2,7.231003800666985,7.092302590882589,8.731648712516776,"",""
