"uri","iao_definition","oio_exact_synonym","label","chebi_formula","oio_related_synonym","skos_pref_label","skos_alt_label","rdf_comment","skos_definition","iao_preferred_label","iao_alternative_term","oio_narrow_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_elucidation","iao_nl_axiom","oio_synonym"
"http://purl.obolibrary.org/obo/CHEBI_17478","['A compound RC(=O)H, in which a carbonyl group is bonded to one hydrogen atom and to one R group.']","['aldehyde', 'Aldehyde', 'aldehydes']","['aldehyde']","['CHOR']","['[H]C([*])=O', 'aldehido', 'aldehidos', 'Aldehyd', 'aldehydes', 'aldehydum', 'an aldehyde', 'CHOR', 'RC(=O)H', 'RCHO']","","","","","","","","['aldehyde']",1,3,42.283575889685245,42.280021834837434,58.78568447987815,"","",""
"http://purl.obolibrary.org/obo/CHEBI_33232","['Intended use of the molecular entity or part thereof by humans.']","","['application']","","","","","","","","","","['flavouring substance', 'application']",2,2,32.3094021169703,16.161034791357608,39.79313539450549,"","",""
"http://purl.obolibrary.org/obo/CHEBI_33308","['An ester of a carboxylic acid, R(1)C(=O)OR(2), where R(1) = H or organyl and R(2) = organyl.', 'An ester of a carboxylic acid.']","['carboxylic ester', 'Carboxylic ester', 'carboxylic esters']","['carboxylic ester']","['CO2R2']","['CO2R2', 'a carboxylic ester', 'carboxylic acid esters']","","","","","","","","['ester']",1,3,16.486876304533233,16.4248001160754,22.836864205994726,"","",""
"http://purl.obolibrary.org/obo/CHEBI_37527","['An acid is a molecular entity capable of donating a hydron (Bronsted acid) or capable of forming a covalent bond with an electron pair (Lewis acid).']","['acid', 'Acid']","['acid']","","['acide', 'acido', 'acids', 'Saeure', 'Saeuren']","","","","","","","","['acid']",1,3,15.695016212910263,15.69316257749463,21.819603295755435,"","",""
"http://purl.obolibrary.org/obo/CHEBI_33473","['A divalent group, R2C=, formed by removing two hydrogen atoms from the same carbon atom of a hydrocarbon, the free valencies of which are engaged in a double bond.']","['hydrocarbylidene group', 'hydrocarbylidene groups']","['hydrocarbylidene group']","","['groupe hydrocarbylidene', 'grupo hidrocarbilideno', 'grupos hidrocarbilideno', 'R2C=']","","","","","","","","['group']",1,1,17.649083317851108,17.649083317851108,17.649083317851108,"","",""
"http://snomed.info/id/129265001","","","['Evaluation - action (qualifier value)']","","","['Evaluation - action']","['Assessment', 'Evaluation', 'Patient evaluation - action']","","","","","","['Evaluation', 'evaluation', 'evaluate']",3,6,9.455457847487027,3.0309662752910422,15.564950144791515,"","",""
"http://purl.obolibrary.org/obo/CHEBI_33654","['An aliphatic compound having a carbocyclic ring structure which may be saturated or unsaturated, but may not be a benzenoid or other aromatic system.']","['alicyclic compounds']","['alicyclic compound']","","","","","","","","","","['alicyclic']",1,1,14.216364506098415,14.216364506098415,14.216364506098415,"","",""
"http://snomed.info/id/246510005","","","['Threshold (attribute)']","","","['Threshold']","","","","","","","['threshold']",1,1,13.349416592884527,13.349416592884527,13.349416592884527,"","",""
"http://purl.obolibrary.org/obo/XCO_0000176","['Any of numerous proteins or conjugated proteins produced by living organisms and functioning as specialized catalysts for biochemical reactions.']","","['enzyme']","","","","","","","","","","['enzyme']",1,1,11.430798685645422,11.430798685645422,11.430798685645422,"","",""
"http://purl.obolibrary.org/obo/XCO_0000323","['Any condition in which the main influencing factor is an alcohol, a compound in which a hydroxy group, -OH, is attached to a saturated carbon atom.']","","['alcohol']","","","","","","","","","","['alcohol']",1,1,10.60869561088974,10.60869561088974,10.60869561088974,"","",""
