"uri","label","oio_exact_synonym","rdf_comment","iao_definition","oio_synonym","chebi_formula","oio_related_synonym","iao_preferred_label","skos_pref_label","skos_alt_label","iao_alternative_term","oio_narrow_synonym","apollo_label","iao_elucidation","oio_broad_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_nl_axiom"
"http://purl.obolibrary.org/obo/PATO_0000165","['time']","","","['A quality in which events occur in sequence.']","","","","['time']","","","","","","","","['time']",1,1,55.96466934013585,55.96466934013585,55.96466934013585,""
"http://purl.obolibrary.org/obo/FOODON_00002664","['lipid food product']","['fats and oils', 'oils and fats']","","['A lipid food product is a food product made primarily of plant or animal fat or oil']","","","","","","","['Fats and oils']","","","","","['fat', 'oil']",2,2,20.49958413322332,18.067289914537156,44.48688608513074,""
"http://purl.obolibrary.org/obo/FOODON_03412974","['liquid']","","","['A chemical food component in liquid form.']","","","","","","","","","","","","['liquid']",1,1,30.418275929140794,30.418275929140794,30.418275929140794,""
"http://snomed.info/id/129265001","['Evaluation - action (qualifier value)']","","","","","","","","['Evaluation - action']","['Assessment', 'Evaluation', 'Patient evaluation - action']","","","","","","['Evaluation', 'evaluation', 'evaluate']",3,3,14.015474027452333,6.905121300226046,28.802417626656013,""
"http://purl.obolibrary.org/obo/FOODON_00002647","['food (broiled or grilled)']","['broiled', 'grilled']","","['Food that has undergone a broiling or grilling process.']","","","","","","","","","","","","['grill']",1,1,28.74436376202445,28.74436376202445,28.74436376202445,""
"http://purl.obolibrary.org/obo/UO_0000033","['day']","","['""A time unit which is equal to 24 hours."" [Wikipedia:Wikipedia]']","['A time unit which is equal to 24 hours.']","","","","['day']","","","","","","","","['day']",1,2,22.27560678239624,22.27560678239624,27.424488844015254,""
"http://purl.obolibrary.org/obo/FOODON_00002976","['food (powdered)']","['powder']","","","","","","","","","","","","","","['powder']",1,1,20.69582300512514,20.69582300512514,20.69582300512514,""
"http://purl.obolibrary.org/obo/ENVO_09200001","['temperature of air']","['air temperature']","","['The temperature of a air.', 'The temperature of some air.']","","","","","","","","","","","","['temperature']",1,1,20.491967275326193,20.491967275326193,20.491967275326193,""
"http://purl.obolibrary.org/obo/FOODON_03400215","['flavoring (us cfr)']","","","['Natural or synthetic product, dissolved in a suitable solvent or carried on an appropriate dry base and added to a food product to enhance or impart taste and aroma.']","['aroma']","","","","","","","","","","","['aroma']",1,1,15.069202134759685,15.069202134759685,15.069202134759685,""
"http://purl.obolibrary.org/obo/FOODON_03310357","['sunflower seed oil']","","[""SIREN DB annotation:\n\n* has quality 'liquid, high viscosity, with no visible particles' (http://purl.obolibrary.org/obo/FOODON_03430139)\n\n* derives from 'fat or oil' (http://purl.obolibrary.org/obo/FOODON_03420190)\n\n* formed as a result of 'food bleaching process' (http://purl.obolibrary.org/obo/FOODON_03460197)""]","","","","","","","","['sunflower oil']","","","","","['oleic sunflower oil']",1,1,14.934795037901676,14.934795037901676,14.934795037901676,""
"http://purl.obolibrary.org/obo/PATO_0001863","['chronic']","","","[""A duration quality of a process inhering in a bearer by virtue of the bearer's having slow progressive course of indefinite duration.""]","","","","","","","","","","","","['chronic']",1,1,14.207335704717941,14.207335704717941,14.207335704717941,""
"http://purl.obolibrary.org/obo/UO_1000033","['day based unit']","","","","","","","","","","","","","","","['day']",1,2,11.13780339119812,11.13780339119812,13.712244422007627,""
