"uri","label","chebi_formula","iao_definition","oio_exact_synonym","oio_related_synonym","oio_synonym","rdf_comment","skos_alt_label","skos_pref_label","iao_alternative_term","obo_taxon_notes","oio_narrow_synonym","iao_preferred_label","skos_definition","apollo_label","iao_elucidation","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_nl_axiom"
"http://purl.obolibrary.org/obo/FOODON_03412972","['food additive']","","","","","","[""Damion Dooley's note: manysubclasses here are currently originating from LanguaL additives that have not yet been matched to CHEBI ontology terms.  If matches are possible they will be implemented over time, at which point the corresponding FoodOn id's will be deprecated.""]","","","","","","","","","","['food additive E', 'alginic acid', 'food additive', '2‐diol alginate', 'propane‐1,2‐diol alginate']",5,20,25.795631656016162,7.527383931859998,92.45343908444121,""
"http://purl.obolibrary.org/obo/PATO_0000033","['concentration of']","","[""A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.""]","['concentration']","","","","","","","","","['concentration of']","","","","['concentration']",1,1,46.137743761538,46.137743761538,46.137743761538,""
"http://purl.obolibrary.org/obo/CHEBI_17548","['alginic acid']","['(C12H16O13)n', '(C6H8O6)n.H2O']","['A linear copolymer macromolecule composed of homopolymeric blocks of 1->4-linked beta-D-mannuronic acid and alpha-L-guluronic acid residues, covalently linked together in different sequences or blocks.']","['Alginic acid']","['(Alginate)n', '(Alginate)n+1', 'Alginate', 'alginic acid', 'Norgine']","","['LanguaL curation note: See ""food additive"" comments.', 'LanguaL term definition: Food additive; technological purpose(s): bulking agent, carrier, emulsifier, foaming agent, gelling agent, glazing agent, humectant, sequestrant, stabilizer, thickener.']","","","['alginic acid']","","","","","","","['alginic acid']",1,3,34.92857647651741,30.257863583146616,42.070205842903185,""
"http://purl.obolibrary.org/obo/UO_0000033","['day']","","['A time unit which is equal to 24 hours.']","","","","['""A time unit which is equal to 24 hours."" [Wikipedia:Wikipedia]']","","","","","","['day']","","","","['day']",1,2,23.09134918730208,23.09134918730208,28.42878554854363,""
"http://purl.obolibrary.org/obo/PATO_0000128","['weight']","","['A physical quality inhering in a bearer that has mass near a gravitational body.']","","","","","","","","","","","","","","['weight']",1,1,15.84089795361182,15.84089795361182,15.84089795361182,""
"http://purl.obolibrary.org/obo/FOODON_03411041","['chemical food component', 'chemical food product']","","['Any chemical or chemical mixture that exists in a food material or was added to a food material.']","","","","['LanguaL curation note: A chemical food component is a food substance derived from a nonliving source (e.g., salt, water or synthesized compounds).']","","","","","","","","","","['food additive E', 'food additive']",2,7,5.174285438272986,4.065773628999554,14.578156303905937,""
"http://purl.obolibrary.org/obo/UO_1000033","['day based unit']","","","","","","","","","","","","","","","","['day']",1,2,11.54567459365104,11.54567459365104,14.214392774271815,""
"http://purl.obolibrary.org/obo/CHEBI_16966","['heteroglycan']","","['A polysaccharide composed of two or more different types of monosaccharides,']","['Heteroglycan']","['heteroglycans', 'Heteropolysaccharide']","","","","","","","","","","","","['alginic acid']",1,3,11.522133243200186,9.981372590262259,13.8779923543887,""
"http://purl.obolibrary.org/obo/IAO_0000027","['data item', 'data item']","","['a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.', 'An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.']","","","","","","","['data']","","","['data item', 'data item']","","","","['datum']",1,3,9.890496626014645,9.8340691141504,13.673183196452884,""
"http://snomed.info/id/19939008","['Subacute (qualifier value)']","","","","","","","['Subacute course']","['Subacute']","","","","","","","","['subacute']",1,1,13.077851262309283,13.077851262309283,13.077851262309283,""
"http://purl.obolibrary.org/obo/PATO_0002182","['molecular quality']","","['A quality which inheres in a molecular entity, a single molecule, atom, ion, radical etc.']","['relational molecular quality']","","","","","","","","","['molecular quality']","","","","['concentration']",1,1,10.041309705204785,10.041309705204785,10.041309705204785,""
"http://purl.obolibrary.org/obo/CHMO_0000801","['absorption spectrum']","","['A plot of absorbance vs. wavelength obtained by measuring the amount of radiation absorbed by a sample as a function of the wavelength of incident radiation.']","['absorbance spectra', 'absorbance spectrum', 'absorption spectra']","","","","","","","","","","","","","['absorption']",1,1,9.406121510928566,9.406121510928566,9.406121510928566,""
