"uri","label","skos_alt_label","skos_pref_label","iao_definition","oio_exact_synonym","oio_narrow_synonym","iao_alternative_term","oio_related_synonym","oio_synonym","rdf_comment","iao_preferred_label","apollo_label","skos_definition","oio_broad_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_elucidation","obo_external_ontology_notes"
"http://purl.obolibrary.org/obo/NCBITaxon_3663","['Cucurbita pepo']","","","","","['Cucurbita pepo L.']","","","","","","","","","['Cucurbita pepo L.', 'Cucurbita \xa0 pepo   L.', 'C. \xa0 pepo   L.', 'pumpkin']",4,4,60.07367124541924,33.80898188703257,204.979335772101,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_3660","['Cucurbita']","","","","['marrows', 'pumpkins', 'squashes']","","","","","","","","","","['Cucurbita \xa0 moschataDuchesne', 'Cucurbita \xa0 pepo   L.', 'cucurbita pepoL', 'Cucurbita moschata Duchesne', 'Cucurbita pepo L.', 'C. \xa0 pepo   L.', 'Cucurbita \xa0 moschata   duchesne by Nagase ( Europa ) gmbh.']",7,7,20.082306632273816,11.809668054771151,148.2057804450901,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_3662","['Cucurbita moschata']","","","['A type of winter squash that grows on a vine. It has a sweet, nutty taste similar to that of a pumpkin. It has tan-yellow skin and orange fleshy pulp with a compartment of seeds in the bottom. When ripe, it turns increasingly deep orange, and becomes sweeter and richer.']","['cucurbita moschata', 'ayote', 'Canada pumpkin', 'crookneck pumpkin', 'crookneck winter squash', 'cushaw squash', 'lacayote', 'butternut pumpkin', 'cucurbita moschata var. butternut', 'gramma']","['Cucurbita moschata Duch.', 'Cucurbita moschata Duchesne']","['butternut squash plant']","","","","","","","","['Cucurbita moschata Duchesne', 'Cucurbita \xa0 moschata   duchesne by Nagase ( Europa ) gmbh.']",2,2,74.06092948156612,40.21534518502407,99.02179511055952,"",""
"http://purl.obolibrary.org/obo/FOODON_03411189","['winter squash plant']","","","['Winter squash is an annual fruit representing several squash species within the genus Cucurbita. It differs from summer squash in that it is harvested and eaten in the mature fruit stage when the seeds within have matured fully and the skin has hardened into a tough rind. At this stage, most varieties of this fruit can be stored for use during the winter.']","['curcurbita', 'winter squash']","['cucurbita maxima', 'Cucurbita moschata', 'Cucurbita pepo']","","","","","","","","","['Cucurbita \xa0 pepo   L.', 'Cucurbita moschata Duchesne', 'Cucurbita pepo L.', 'C. \xa0 pepo   L.', 'Cucurbita \xa0 moschata   duchesne by Nagase ( Europa ) gmbh.']",5,5,20.655216458659396,11.741268144031475,95.14281835581598,"",""
"http://purl.obolibrary.org/obo/FOODON_03411190","['summer squash plant']","","","","","['Cucurbita pepo L.']","","","['cucurbita pepo', 'yellow crookneck squash', 'yellow squash']","","","","","","['Cucurbita pepo L.', 'Cucurbita \xa0 pepo   L.', 'C. \xa0 pepo   L.']",3,3,18.533744708166502,13.375811862739809,55.79275187440949,"",""
"http://purl.obolibrary.org/obo/FOODON_03310943","['zucchini squash (whole)']","","","","['green zucchini', 'zucchini squash']","","['zucchini']","","['courgettes']","[""SIREN DB annotation:\n\n* has quality 'whole, natural shape' (http://purl.obolibrary.org/obo/FOODON_03430150)\n\n* has quality 'not heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440003)\n\n* derives from 'fruit, peel present, core, pit or seed present' (http://purl.obolibrary.org/obo/FOODON_03420140)""]","","","","['zucchini']","['zucchini']",1,1,40.06284028712143,40.06284028712143,40.06284028712143,"",""
"http://purl.obolibrary.org/obo/FOODON_03411174","['edible seed producing plant']","","","","","","","","","","","","","","['Cucurbita pepo L.', 'Cucurbita \xa0 pepo   L.', 'C. \xa0 pepo   L.']",3,3,12.620379843412733,9.108133789466779,37.991551747989035,"",""
"http://purl.obolibrary.org/obo/XCO_0000176","['enzyme']","","","['Any of numerous proteins or conjugated proteins produced by living organisms and functioning as specialized catalysts for biochemical reactions.']","","","","","","","","","","","['enzyme', 'enzyme–']",2,2,15.910548750232156,11.6594584898531,28.708954364819196,"",""
"http://purl.obolibrary.org/obo/OBI_1110011","['allergic reaction']","","","['an allergic reaction is an pathologic immune response by an organism to a non-self entity that is normally harmless(the allergen)']","","","","","","","['allergic reaction']","","","","['allergic reaction']",1,1,24.526523238047623,24.526523238047623,24.526523238047623,"",""
"http://purl.obolibrary.org/obo/FOODON_03411017","['oil-producing plant']","","","","","","","","","","","","","","['Cucurbita pepo L.', 'Cucurbita \xa0 pepo   L.', 'C. \xa0 pepo   L.']",3,3,7.1433150385952855,5.1553336650002235,21.50376029154401,"",""
