"uri","chebi_formula","iao_definition","oio_exact_synonym","oio_related_synonym","label","oio_narrow_synonym","iao_alternative_term","oio_synonym","skos_alt_label","skos_pref_label","rdf_comment","iao_preferred_label","oio_broad_synonym","obo_taxon_notes","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_elucidation"
"http://purl.obolibrary.org/obo/CHEBI_34922","['C6H3Cl3N2O2']","['A pyridinemonocarboxylic acid that is pyridine-2-carboxylic acid which is substituted by a chloro group at positions 3,5 and 6, and by an amino group at position 4. It is a systemic herbicide used to control deeply rooted herbaceous weeds and woody plants in rights-of-way, forestry, range lands, pastures, and small grain crops.']","['4-amino-3,5,6-trichloropyridine-2-carboxylic acid']","['3,5,6-trichloro-4-amino-2-pyridinecarboxylic acid', '3,5,6-trichloro-4-aminopicolinic acid', '4-amino-3,5,6-trichloro-2-picolinic acid', '4-amino-3,5,6-trichloro-2-pyridinecarboxylic acid', '4-amino-3,5,6-trichloropicolinic acid', 'Access', 'Amdon', 'Borolin', 'Grazon', 'K-Pin', 'Pathway', 'picloram acid', 'piclorame', 'Tordon']","['picloram']","","","","","","","","","","['picloram', 'picloram residue']",2,9,14.399735372892069,12.874086966552216,49.77590753725753,""
"http://purl.obolibrary.org/obo/CHEBI_28747","['C6H5NO2']","['A pyridinemonocarboxylic acid in which the carboxy group is located at position 2. It is an intermediate in the metabolism of tryptophan.']","['Picolinic acid', 'pyridine-2-carboxylic acid']","['2-carboxypyridine', '2-Picolinic acid', '2-Pyridinecarboxylic acid', 'alpha-picolinic acid', 'alpha-pyridinecarboxylic acid', 'o-pyridinecarboxylic acid', 'PYRIDINE-2-CARBOXYLIC ACID']","['picolinic acid']","","","","","","","","","","['picolinic acid']",1,1,42.19193718168901,42.19193718168901,42.19193718168901,""
"http://purl.obolibrary.org/obo/NCBITaxon_181181","","['*Lithospermum arvense*, the field gromwell, corn gromwell, or bastard alkanet, is a flowering plant of the family *Boraginaceae*. It is also known as *Buglossoides arvensis*. The European Union has granted the refined oil of the seed of *Buglossoides arvensis* novel food status and some farmers are growing it. [https://en.wikipedia.org/wiki/Lithospermum_arvense]']","['corn gromwell', 'pigeonweed']","['Lithospermum arvense']","['Buglossoides arvensis']","['Buglossoides arvensis (L.) I. M. Johnst.', 'Buglossoides arvensis (L.) I.M. Johnst.', 'Lithospermum arvense L.']","['corn gromwell plant']","['buglossoides arvensis', 'lithospermum arvense', 'field gromwell']","","","","","","","['corn gromwell seed', 'corn gromwell']",2,6,9.694018308050321,9.582613087478956,32.806456515062905,""
"http://purl.obolibrary.org/obo/CHEBI_33232","","['Intended use of the molecular entity or part thereof by humans.']","","","['application']","","","","","","","","","","['mrl application', 'application']",2,2,15.536984299707687,9.213310861339302,22.68583239069584,""
"http://purl.obolibrary.org/obo/BTO_0001226","","['A matured ovule containing an embryo and food supply and covered by a seed coat.']","","","['seed']","","","","","","","","","","['seed']",1,2,16.633345121583627,16.627932636234036,20.47138637057514,""
"http://purl.obolibrary.org/obo/CHEBI_33708","","['When two or more amino acids combine to form a peptide, the elements of water are removed, and what remains of each amino acid is called an amino-acid residue.']","['amino acid residue', 'amino-acid residue']","['amino acid residue', 'amino-acid residues']","['amino-acid residue']","['protein residue']","","","","","","","","","['modify', 'residue']",2,2,13.864338962553685,6.932212496630592,17.069109374693134,""
"http://purl.obolibrary.org/obo/NCBITaxon_3708","","","['oilseed rape', 'rape', 'rapeseeds']","","['Brassica napus']","","","","","","","","","","['rape']",1,3,10.935692028438329,10.934514857544277,15.203231040587971,""
"http://snomed.info/id/264337003","","","","","['Seed (substance)']","","","","['Seeds']","['Seed']","","","","","['seed']",1,5,7.884861980088146,7.879891852217587,12.770598711521982,""
"http://purl.obolibrary.org/obo/CHEBI_26420","","['A monocarboxylic acid in which the carboxy group is attached to a pyridine (or substituted pyridine) ring.']","","['pyridinemonocarboxylic acids']","['pyridinemonocarboxylic acid']","","","","","","","","","","['picolinic acid', 'picloram', 'picloram residue']",3,10,5.487600262266372,2.0557555082989185,12.305314483495577,""
"http://purl.obolibrary.org/obo/FOODON_00003038","","","","","['borage food product']","['borage']","","","","","","","","","['borage']",1,6,7.6066623888543425,6.389374501774202,10.93713869261798,""
