"uri","label","iao_definition","oio_exact_synonym","skos_pref_label","chebi_formula","oio_related_synonym","iao_preferred_label","iao_alternative_term","skos_alt_label","rdf_comment","oio_narrow_synonym","oio_broad_synonym","obo_external_definition","obo_relational_adjective","obo_taxon_notes","obo_external_ontology_notes","obo_homology_notes","oio_synonym","apollo_label","iao_elucidation","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_nl_axiom"
"http://purl.obolibrary.org/obo/UBERON_0002107","['liver']","['An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes[GO].']","","","","['iecur', 'jecur']","['liver']","","","","","","['Organ which secretes bile and participates in formation of certain blood proteins.[AAO]']","['hepatic']","['The liver is found in all vertebrates, and is typically the largest visceral organ. Its form varies considerably in different species, and is largely determined by the shape and arrangement of the surrounding organs. Nonetheless, in most species it is divided into right and left lobes; exceptions to this general rule include snakes, where the shape of the body necessitates a simple cigar-like form. The internal structure of the liver is broadly similar in all vertebrates.', 'An organ sometimes referred to as a liver is found associated with the digestive tract of the primitive chordate Amphioxus. However, this is an enzyme secreting gland, not a metabolic organ, and it is unclear how truly homologous it is to the vertebrate liver. The zebrafish liver differs from the mammalian liver in that the hepatocytes are not clearly organized in cords or lobules and the typical portal triads are not apparent. In addition, the zebrafish liver does not have Kuppfer cells. Furthermore, a clear distinction can be made between the male and female liver in the adult zebrafish. The female hepatocytes are very basophilic (Figure 15c) as a result of the production of vitellogenin (Van der Ven et al. 2003).']","[""Only ZFA considers this part_of immune system - we weaken this to an overlaps relation, as in general it's only a subset of cells that have clear immune function.""]","['All vertebrates possess a liver (reference 1); Later in craniate evolution, an anterior gill arch was transformed into jaws, and many new types of feeding subsequently evolved.(...) A liver evolved that, among its many functions, stores considerable energy as glycogen or lipid (reference 2).[well established][VHOG]']","","","","['liver']",1,1,23.786026993156174,23.786026993156174,23.786026993156174,""
"http://purl.obolibrary.org/obo/UBERON_0002114","['duodenum']","['The first part of the small intestine. At the junction of the stomach and the duodenum the alimentary canal is inflected. The duodenum first goes anteriorly for a short distance, turns dorsally, and eventually caudally, thus it is a U-shaped structure with two horizontal sections (a ventral and a dorsal one).']","","","","['proximal intestine', 'upper intestine']","","","","","","","[""The fixed portion of the small intestine deeply lodged in the posterior wall of the abdomen and extending from the pylorus to the beginning of the jejunum. [Dorian_AF, Elsevier's_encyclopaedic_dictionary_of_medicine, Part_B:_Anatomy_(1988)_Amsterdam_etc.:_Elsevier][VHOG]""]","['duodenal']","['In fish, the divisions of the small intestine are not as clear, and the terms anterior intestine or proximal intestine may be used instead of duodenum.', 'In humans, the duodenum is a hollow jointed tube about 10-15 inches (25-38 centimetres) long connecting the stomach to the jejunum. It begins with the duodenal bulb and ends at the ligament of Treitz.']","","","","","","['duodenum']",1,1,16.902818364436477,16.902818364436477,16.902818364436477,""
"http://purl.obolibrary.org/obo/UBERON_0001165","['pyloric antrum']","['the area at the bottom of the stomach on the caudal side of the pyloric canal that contains gastrin-producing G cells, which stimulate acid production, and the luminal pH-sensitive population of somatostatin-producing D cells']","['antrum of stomach', 'stomach pyloric antrum']","","","['antrum of Willis', 'antrum pylori', 'antrum pyloricum', 'gastric antrum', 'stomach antrum']","","","","","","['antrum']","","","","","","","","","['stomach']",1,1,16.687138505378968,16.687138505378968,16.687138505378968,""
"http://purl.obolibrary.org/obo/OBI_0302736","['comet assay']","['An assay that measures DNA damage (DNA breakage) in eucaryotic cells exposed to a challenge by determining the size and shape of DNA migration by detecting fluorescently labeled DNA from a cell placed in an electric field using gel electrophoresis']","","","","","['comet assay']","['SCGE assay', 'single cell gel electrophoresis assay']","","","","","","","","","","","","","['alkaline comet assay', 'comet assay']",2,2,13.272991353629324,6.6724596928850755,16.429522948329193,""
"http://purl.obolibrary.org/obo/CHEBI_36132","['alicyclic ketone']","['A cyclic ketone in which the carbocyclic ring structure which may be saturated or unsaturated, but may not be a benzenoid or other aromatic system.']","['alicyclic ketone', 'alicyclic ketones']","","","","","","","","","","","","","","","","","","['alicyclic aldehyde']",1,2,12.256184469552217,10.35401581316929,12.747288724068293,""
"http://purl.obolibrary.org/obo/IAO_0000027","['data item', 'data item']","['a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.', 'An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.']","","","","","['data item', 'data item']","['data']","","","","","","","","","","","","","['datum', 'Minimum Criteria']",2,3,5.779575847629338,3.8259892539843907,10.639228048969883,""
"http://snomed.info/id/129265001","['Evaluation - action (qualifier value)']","","","['Evaluation - action']","","","","","['Assessment', 'Evaluation', 'Patient evaluation - action']","","","","","","","","","","","","['Evaluation', 'evaluate']",2,2,8.43705094589601,4.221603980669887,10.394808312312781,""
"http://purl.obolibrary.org/obo/CHEBI_50902","['genotoxin']","['A role played by a chemical compound to induce direct or indirect DNA damage. Such damage can potentially lead to the formation of a malignant tumour, but DNA damage does not lead inevitably to the creation of cancerous cells.']","","","","['genotoxic agent', 'genotoxic agents', 'genotoxins']","","","","","","","","","","","","","","","['genotoxic', 'genotoxicity']",2,5,4.343952619261397,2.593750114571209,8.407156466704876,""
"http://purl.obolibrary.org/obo/FOODON_03420106","['organ meat, digestive system']","","","","","","","","","","","","","","","","","","","","['liver']",1,1,7.846462695831792,7.846462695831792,7.846462695831792,""
"http://purl.obolibrary.org/obo/UBERON_0006925","['digestive system gland']","['Any gland that is part of the digestive system.']","","","","['digestive gland']","","","","","","","","","","","","","","","['liver']",1,1,7.338392057174785,7.338392057174785,7.338392057174785,""
