"uri","iao_definition","oio_related_synonym","label","chebi_formula","oio_exact_synonym","skos_pref_label","apollo_label","iao_elucidation","rdf_comment","skos_alt_label","iao_alternative_term","oio_synonym","oio_narrow_synonym","iao_preferred_label","obo_external_ontology_notes","skos_definition","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_broad_synonym","iao_nl_axiom"
"http://purl.obolibrary.org/obo/CHEBI_27617","['A spiroketal, monensin A is the major component of monensin, a mixture of antibiotic substances produced by Streptomyces cinnamonensis. An antiprotozoal, it is used as the sodium salt as a feed additive for the prevention of coccidiosis in poultry and as a growth promoter in cattle.']","['monensic acid', 'monensin', 'Monensin', 'monensina', 'monensinum']","['monensin A']","['C36H62O11']","['Monensin A', ""(2S,3R,4S)-4-[(2S,5R,7S,8R,9S)-2-{(2S,2'R,3'S,5R,5'R)-2-ethyl-5'-[(2S,3S,5R,6R)-6-hydroxy-6-(hydroxymethyl)-3,5-dimethyltetrahydro-2H-pyran-2-yl]-3'-methyloctahydro-2,2'-bifuran-5-yl}-9-hydroxy-2,8-dimethyl-1,6-dioxaspiro[4.5]dec-7-yl]-3-methoxy-2-methylpentanoic acid""]","","","","","","","","","","","","['monensin', 'monensin sodium']",2,11,19.906086086279263,10.37051637459268,42.584169594243065,"",""
"http://purl.obolibrary.org/obo/PATO_0000033","[""A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.""]","","['concentration of']","","['concentration']","","","","","","","","","['concentration of']","","","['concentration']",1,1,41.35477002943454,41.35477002943454,41.35477002943454,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_9986","['A species of rabbit native to southwestern Europe (including Spain, Portugal and western France) and to northwest Africa (including Morocco and Algeria).']","['Lepus cuniculus']","['Oryctolagus cuniculus']","","['domestic rabbit', 'European rabbit', 'Japanese white rabbit', 'rabbit', 'rabbits']","","","","","","['European rabbit']","","","","","","['rabbit']",1,2,21.597204026701384,21.597204026701384,26.589277081343738,"",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000454","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","","['efficacy']","","","","['efficacy']","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","['We often say in natural language it is the efficacy of the triggering planned process such as vaccination. However, processes do not have properties such as roles, dispositions, functions, qualities in BFO. And this is also not a process profile, because it is not the process of a quality changing values (determinates) over time. Nevertheless, it is natural to classify efficacies based on the type of triggering process because that is what differentiates what happens when they are realized. For example, a vaccination efficacy will be realized through different processes than a quarantine efficacy. For individual treatments, the triggering process is a treatment (as defined by OGMS).']","","","","","","","","['efficacy']",1,2,21.436321752050382,20.045898636494194,24.6793961167983,"",""
"http://purl.obolibrary.org/obo/UO_0000033","['A time unit which is equal to 24 hours.']","","['day']","","","","","","['""A time unit which is equal to 24 hours."" [Wikipedia:Wikipedia]']","","","","","['day']","","","['day']",1,2,19.63193222749267,19.63186652957966,24.169662801425048,"",""
"http://purl.obolibrary.org/obo/OBI_0000984","['A measurement datum that measures the quantity of something that may be administered to an organism or that an organism may be exposed to. Quantities of nutrients, drugs, vaccines and toxins are referred to as doses.']","","['dose']","","","","","","","","","","","['dose']","","","['dose']",1,1,18.98644698634152,18.98644698634152,18.98644698634152,"",""
"http://snomed.info/id/276339004","","","['Environment (environment)']","","","['Environment']","","","","['Environments']","","","","","","","['environment']",1,1,16.957428298145402,16.957428298145402,16.957428298145402,"",""
"http://snomed.info/id/228931002","","","['Milliliter/kilogram body weight (qualifier value)']","","","['mL/kg body weight']","","","","['Milliliter/kilogram body weight', 'Millilitre/kilogram body weight', 'millilitre/kilogram body weight', 'milliliter/kilogram body weight']","","","","","","","['body weight']",1,1,16.48837420848936,16.48837420848936,16.48837420848936,"",""
"http://purl.obolibrary.org/obo/IAO_0000027","['a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.', 'An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.']","","['data item', 'data item']","","","","","","","","['data']","","","['data item', 'data item']","","","['datum']",1,3,11.54664357441857,11.344376983789205,15.77309890224157,"",""
"http://purl.obolibrary.org/obo/CHEBI_44137","['A carbotricyclic compound that is pleuromutilin in which the hydroxyacetate group is replaced by a 2-{[2-(diethylamino)ethyl]sulfanyl}acetate group. An antibacterial drug, tiamulin is used in veterinary medicine (generally as its hydrogen fumarate salt) for the treatment of swine dysentery caused by Serpulina hyodysenteriae.']","['tiamulin', 'tiamulina', 'tiamuline', 'tiamulinum']","['tiamulin']","['C28H47NO4S']","['(3aS,4R,5S,6S,8R,9R,9aR,10R)-5-hydroxy-4,6,9,10-tetramethyl-1-oxo-6-vinyldecahydro-3a,9-propanocyclopenta[8]annulen-8-yl {[2-(diethylamino)ethyl]sulfanyl}acetate']","","","","","","","","","","","","['tiamulin']",1,1,15.691326887345124,15.691326887345124,15.691326887345124,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_9103","","","['Meleagris gallopavo']","","['common turkey', 'turkey', 'wild turkey']","","","","","","['wild turkey']","['meleagris gallopavo']","['Meleagris gallopavo Linnaeus, 1758']","","","","['turkey']",1,6,18.587782705936437,8.374296088731281,14.334867638462788,"",""
"http://purl.obolibrary.org/obo/CHEBI_26179","","","['polyether antibiotic']","","","","","","","","","","","","","","['monensin', 'monensin sodium']",2,11,6.566559515842932,3.420994598768719,14.047537163324566,"",""
"http://purl.obolibrary.org/obo/CHEBI_33708","['When two or more amino acids combine to form a peptide, the elements of water are removed, and what remains of each amino acid is called an amino-acid residue.']","['amino acid residue', 'amino-acid residues']","['amino-acid residue']","","['amino acid residue', 'amino-acid residue']","","","","","","","","['protein residue']","","","","['residue']",1,1,13.756261332861511,13.756261332861511,13.756261332861511,"",""
"http://purl.obolibrary.org/obo/CHEBI_35818","['An agent useful in the treatment or prevention of coccidiosis in man or animals.']","['anticoccidial agent', 'coccidiostats']","['coccidiostat']","","","","","","","","","","","","","","['coccidiostat']",1,2,9.991781200591202,9.987421429072882,12.295958096124378,"",""
"http://purl.obolibrary.org/obo/DOID_2113","['A parasitic protozoa infectious disease that occurs in the intestinal tract of animals and humans caused by Coccidia protozoa. Immunocompromised persons are at greater risk of developing the infection.']","['intestinal coccidiosis']","['coccidiosis']","","['Coccidiosis']","","","","","","","","","","","","['coccidiosis']",1,1,12.263106082347633,12.263106082347633,12.263106082347633,"",""
"http://purl.obolibrary.org/obo/UO_1000033","","","['day based unit']","","","","","","","","","","","","","","['day']",1,2,9.815966113746335,9.81593326478983,12.084831400712524,"",""
"http://purl.obolibrary.org/obo/FOODON_03414848","['Rats are various medium-sized, long-tailed rodents of the superfamily *Muroidea*. ""True rats"" are members of the genus Rattus, the most important of which to humans are the black rat, Rattus rattus, and the brown rat, Rattus norvegicus. Many members of other rodent genera and families are also referred to as rats, and share many characteristics with true rats.']","","['rat']","","","","","","['Rat meat is a food that, while taboo in some cultures, is a dietary staple in others.']","","","['rattus']","['Rattus Fischer, 1803', 'Rattus G. Fischer, 1803']","","","","['rat']",1,2,9.801769346473566,9.767766927188443,12.025531683263292,"",""
"http://snomed.info/id/96165004","","","['Nicarbazin (substance)']","","","['Nicarbazin']","","","","","","","","","","","['nicarbazin']",1,6,11.245031257165044,6.559646707874351,11.228605522915412,"",""
"http://purl.obolibrary.org/obo/CHEBI_17064","['A nitroaniline carrying a nitro group at position 4.']","['1-amino-4-nitrobenzene', '4-nitraniline', '4-Nitrobenzeneamine', 'p-aminonitrobenzene', 'p-nitraniline', 'p-Nitroaniline', 'p-nitrophenylamine']","['4-nitroaniline']","['C6H6N2O2']","['4-nitroaniline', '4-Nitroaniline', '4-NITROANILINE']","","","","","","","","","","","","['‐nitroaniline']",1,1,9.609166832801945,9.609166832801945,9.609166832801945,"",""
