"uri","iao_definition","iao_alternative_term","oio_exact_synonym","oio_synonym","rdf_comment","label","skos_alt_label","skos_pref_label","chebi_formula","oio_related_synonym","oio_broad_synonym","obo_relational_adjective","oio_narrow_synonym","iao_preferred_label","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","obo_external_ontology_notes","iao_elucidation","iao_nl_axiom"
"http://purl.obolibrary.org/obo/HP_0002511","['A degenerative disease of the brain characterized by the insidious onset of dementia. Impairment of memory, judgment, attention span, and problem solving skills are followed by severe apraxia and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of senile plaques, neurofibrillary tangles, and neuropil threads.']","","['Alzheimer disease', 'Late-onset form of familial Alzheimer disease']","","['Note that this is a bundled term that refers to a disease rather than to phenotypic features. It is retained for convenience since Alzheimer disease is used for annotation of other diseases (e.g., Down syndrome) as if it were a feature. If possible it is preferable to annotate with the precise phenotypic features.']","['Alzheimer disease']","","","","","","","","","['alzheimer´s disease', ""alzheimer 's disease""]",2,5,50.45027300297449,33.38976339563963,108.22668061830781,"","",""
"http://purl.obolibrary.org/obo/CHEBI_28984","","","['aluminium']","","","['aluminium atom']","","","['Al']","['13Al', 'Al', 'aluminio', 'aluminium', 'Aluminium', 'aluminum']","","","","","['aluminium', 'dietary aluminium']",2,10,18.347234281566077,14.294745980502153,57.04353591389762,"","",""
"http://purl.obolibrary.org/obo/FOODON_03309927","","['tomato']","['garden tomato', 'tomato']","","[""SIREN DB annotation:\n\n* has quality 'whole, natural shape' (http://purl.obolibrary.org/obo/FOODON_03430150)\n\n* has quality 'not heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440003)\n\n* derives from 'fruit, peel present, core, pit or seed present' (http://purl.obolibrary.org/obo/FOODON_03420140)""]","['tomato (whole, raw)']","","","","","","","","","['tomato']",1,1,36.06572206030959,36.06572206030959,36.06572206030959,"","",""
"http://purl.obolibrary.org/obo/FOODON_00003368","['Food contact materials are materials that are intended to be in contact with food. These can be things that are quite obvious like a glass or a can for soft drinks as well as machinery in a food factory or a coffee machine.']","","","","","['food contact material']","","","","","","","","","['food-contact', 'food contact material', 'food-contact article', 'food packaging']",4,5,15.598558973389668,4.634880723152404,30.046200075444254,"","",""
"http://purl.obolibrary.org/obo/FOODON_00002473","['A pome fruit of an apple tree (Malus domestica).']","['apple']","['apple']","","['A whole apple may include a stem.']","['apple (whole)']","","","","","","","","","['apple']",1,1,23.28600000660667,23.28600000660667,23.28600000660667,"","",""
"http://purl.obolibrary.org/obo/HP_0002011","['A structural abnormality of the central nervous system.']","","['Abnormality of the central nervous system', 'Morphological abnormality of the central nervous system', 'Morphological abnormality of the CNS']","","","['Morphological central nervous system abnormality']","","","","['Central nervous system disease']","","","","","['alzheimer´s disease', ""alzheimer 's disease""]",2,5,10.781988111082917,7.135898589536519,23.129682244925878,"","",""
"http://purl.obolibrary.org/obo/FOODON_03490100","['Type of container or wrapping defined by the main container material, the container form, and the material of the liner lids or ends. Also type of container or wrapping by form; prefer description by material first, then by form.  [FDA CFSAN 1995]']","","['food container', 'food wrap', 'food wrapping']","","","['food packaging']","","","","","['container', 'packaging', 'wrapping']","","","","['food packaging']",1,1,23.114804299795622,23.114804299795622,23.114804299795622,"","",""
"http://purl.obolibrary.org/obo/PATO_0000033","[""A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.""]","","['concentration']","","","['concentration of']","","","","","","","","['concentration of']","['concentration']",1,1,21.58115860934547,21.58115860934547,21.58115860934547,"","",""
"http://purl.obolibrary.org/obo/PATO_0001537","[""A solubility quality inhering in a substance by virtue of the bearer's disposition to dissolve in a liquid.""]","","['soluble']","","","['soluble in']","","","","","","","","","['soluble']",1,1,19.399578400282607,19.399578400282607,19.399578400282607,"","",""
"http://snomed.info/id/273930001","","","","","","['World Health Organization handicap scale (assessment scale)']","['WHO handicap scale', 'World Health Organisation handicap scale', 'World Health Organization handicap scale']","['World Health Organisation (WHO) handicap scale', 'World Health Organization (WHO) handicap scale']","","","","","","","['World Health Organisation']",1,1,18.745108640333058,18.745108640333058,18.745108640333058,"","",""
"http://purl.obolibrary.org/obo/CHEBI_65265","['Any substance which is used to neutralise stomach acidity.']","","","","","['antacid']","","","","['antacids']","","","","","['antacid']",1,2,15.122342665141963,15.11890234097168,18.61355215299466,"","",""
"http://purl.obolibrary.org/obo/CHEBI_33521","['An atom of an element that exhibits typical metallic properties, being typically shiny, with high electrical and thermal conductivity.']","","['metal']","","","['metal atom']","","","","['elemental metal', 'elemental metals', 'metal', 'Metal', 'metal element', 'metal elements', 'metales', 'Metall', 'Metalle', 'metallum', 'metals', 'metaux']","","","","","['metal', 'aluminium', 'dietary aluminium']",3,11,3.993048784685827,2.9926295705902834,18.43283023191342,"","",""
"http://purl.obolibrary.org/obo/BTO_0000486","['The mature ovary or ovaries of a seed-bearing plant, together with accessory parts, containing the seeds and occurring in a wide variety of forms.']","","","","","['fruit']","","","","","","","","","['fruit']",1,1,16.867288484339873,16.867288484339873,16.867288484339873,"","",""
"http://purl.obolibrary.org/obo/XCO_0000021","['The clear, colorless, odorless, tasteless liquid each molecule of which contains one atom of oxygen and two atoms of hydrogen (H2O), specifically, as supplied for drinking, that is, to be brought into the mouth and swallowed to quench thirst, for nourishment, etc.']","","['drinking water']","","","['water']","","","","","","","","","['drinking water']",1,2,13.480284522183773,13.460539419858616,16.571867907367956,"","",""
"http://purl.obolibrary.org/obo/NBO_0000268","","","","","","['dementia']","","","","","","","","","['dementia']",1,1,16.39301678050945,16.39301678050945,16.39301678050945,"","",""
"http://purl.obolibrary.org/obo/CHMO_0002815","['The concentration of a solute in a saturated solution.']","","","","['We will probably need to add solubility expressed as a mass concentration and so forth for the different cases.']","['solubility']","","","","","","","","","['solubility']",1,2,13.222844282154151,13.154290102957718,16.19483077177472,"","",""
"http://purl.obolibrary.org/obo/CHEBI_37527","['An acid is a molecular entity capable of donating a hydron (Bronsted acid) or capable of forming a covalent bond with an electron pair (Lewis acid).']","","['acid', 'Acid']","","","['acid']","","","","['acide', 'acido', 'acids', 'Saeure', 'Saeuren']","","","","","['acid']",1,2,12.543352477124099,12.523251906099103,15.417931621104985,"","",""
"http://purl.obolibrary.org/obo/CHEBI_33317","","","['group 13 elements']","","","['boron group element atom']","","","","['boron group element', 'boron group elements', 'Element der Borgruppe', 'group III elements']","","","","","['aluminium', 'dietary aluminium']",2,10,4.916019703479663,3.830182348899888,15.284437000437862,"","",""
