"uri","iao_definition","oio_synonym","label","oio_related_synonym","chebi_formula","oio_exact_synonym","apollo_label","iao_elucidation","rdf_comment","skos_alt_label","skos_pref_label","iao_preferred_label","iao_alternative_term","oio_broad_synonym","obo_external_ontology_notes","oio_narrow_synonym","skos_definition","obo_homology_notes","iao_nl_axiom","obi_isa_term","iedb_alternative_term","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2"
"http://purl.obolibrary.org/obo/CHEBI_27568","","","['selenium atom']","['34Se', 'Se', 'Selen', 'selenio', 'selenium', 'Selenium']","['Se']","['selenium']","","","","","","","","","","","","","","","","['selenium']",1,9,29.24593780948219,26.66173422147926,51.54198588370644
"http://purl.obolibrary.org/obo/PATO_0000033","[""A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.""]","","['concentration of']","","","['concentration']","","","","","","['concentration of']","","","","","","","","","","['concentration']",1,1,45.955656825725825,45.955656825725825,45.955656825725825
"http://snomed.info/id/58296003","","","['Saccharomyces cerevisiae (organism)']","","","","","","","[""Baker's yeast"", ""Brewer's yeast""]","['Saccharomyces cerevisiae']","","","","","","","","","","","['saccharomyces cerevisiae']",1,2,36.01275225856816,35.98991988110984,44.308788798359515
"http://purl.obolibrary.org/obo/GO_0004601","['Catalysis of the reaction: donor + hydrogen peroxide = oxidized donor + 2 H2O.']","","['peroxidase activity']","['MPO', 'donor:hydrogen-peroxide oxidoreductase activity', 'oxyperoxidase activity']","","['peroxidase reaction']","","","","","","","","","","['bacterial catalase-peroxidase activity', 'eosinophil peroxidase activity', 'extensin peroxidase', 'guaiacol peroxidase', 'heme peroxidase', 'horseradish peroxidase (HRP)', 'japanese radish peroxidase', 'lactoperoxidase activity', 'myeloperoxidase activity', 'protoheme peroxidase', 'pyrocatechol peroxidase', 'scopoletin peroxidase', 'secretory plant peroxidase activity', 'thiocyanate peroxidase', 'verdoperoxidase']","","","","","","['peroxidase activity']",1,1,30.19308360420586,30.19308360420586,30.19308360420586
"http://purl.obolibrary.org/obo/BFO_0000019","","","['quality', 'quality']","","","","","['a quality is a specifically dependent continuant that, in contrast to roles and dispositions, does not require any further process in order to be realized. (axiom label in BFO2 Reference: [055-001])']","","","","['quality']","","","","","","","['If an entity is a quality at any time that it exists, then it is a quality at every time that it exists. (axiom label in BFO2 Reference: [105-001])']","","","['quality']",1,1,29.495509817844052,29.495509817844052,29.495509817844052
"http://purl.obolibrary.org/obo/CHEBI_27585","['A selenoamino acid that is the selenium analogue of methionine.']","","['selenomethionine']","['(+-)-selenomethionine', 'Butanoic acid, 2-amino-4-(methylseleno)-', 'Selenium methionine', 'Seleno-DL-methionine']","['C5H11NO2Se']","['2-amino-4-(methylseleno)butanoic acid']","","","","","","","","","","","","","","","","['selenomethionine']",1,1,26.80638930132409,26.80638930132409,26.80638930132409
"http://purl.obolibrary.org/obo/BFO_0000015","['An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.', 'p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])', 'An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.', 'p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])']","","['process', 'process']","","","","","","","","","","","","","","","","","","","['process']",1,1,24.490328913213144,24.490328913213144,24.490328913213144
"http://purl.obolibrary.org/obo/APOLLO_SV_00000454","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","","['efficacy']","","","","['efficacy']","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","['We often say in natural language it is the efficacy of the triggering planned process such as vaccination. However, processes do not have properties such as roles, dispositions, functions, qualities in BFO. And this is also not a process profile, because it is not the process of a quality changing values (determinates) over time. Nevertheless, it is natural to classify efficacies based on the type of triggering process because that is what differentiates what happens when they are realized. For example, a vaccination efficacy will be realized through different processes than a quarantine efficacy. For individual treatments, the triggering process is a treatment (as defined by OGMS).']","","","","","","","","","","","","","['efficacy']",1,2,20.333905274862605,19.01499942941909,23.410210317286083
"http://purl.obolibrary.org/obo/UBERON_0000014","['Any portion of the organ that covers that body and consists of a layer of epidermis and a layer of dermis.']","","['zone of skin']","","","['skin', 'portion of skin', 'region of skin', 'skin region', 'skin zone']","","","","","","","","","['we assume that mouse, HOG and GAID all mean zone of skin when they say skin. We also choose skin as an exact synonym, as it is more intuitive']","","","['(...) it is well-established that neural crest cells contribute to both the dermal skeleton (craniofacial bone, teeth, and the caudal fin rays of teleosts) and the integument, including craniofacial dermis and all pigment cells outside the retina (...).[well established][VHOG]']","","","","['skin']",1,2,14.440674718649033,14.440674718649033,17.778556004795927
"http://purl.obolibrary.org/obo/FOODON_03310675","['Precooked or cured meat, often sausages or meat loaves, that are sliced and served cold or hot on sandwiches or on party trays.']","","['luncheon meat']","","","['cold cut', 'deli meat', 'lunch meat']","","","[""SIREN DB annotation:\n\n* has quality 'solid' (http://purl.obolibrary.org/obo/FOODON_03430151)\n\n* has quality 'fully heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440014)\n\n* derives from 'skeletal meat part, without bone, without skin' (http://purl.obolibrary.org/obo/FOODON_03420268)\n\n* formed as a result of 'curing or aging process' (http://purl.obolibrary.org/obo/FOODON_03460253)\n\n* has substance added  'flavoring, spice or herb added' (http://purl.obolibrary.org/obo/FOODON_03460227)""]","","","","","","","","","","","","","['meat']",1,1,17.395163229059982,17.395163229059982,17.395163229059982
"http://purl.obolibrary.org/obo/CHMO_0001351","['A synthesis method where a flow of carrier gas containing vaporised precursors is projected onto a surface, resulting in a deposit.']","","['gas jet deposition']","","","['physical jet deposition', 'physical-jet deposition', 'PJD', 'vapor jet deposition', 'vapor-jet deposition', 'vapour jet deposition', 'vapour-jet deposition', 'VJD', 'gas-jet deposition', 'GJD', 'jet vapor deposition', 'jet vapour deposition', 'jet-vapor deposition', 'jet-vapour deposition', 'JVD', 'physical JD']","","","","","","","","","","","","","","","","['deposition']",1,1,15.663674988101727,15.663674988101727,15.663674988101727
"http://purl.obolibrary.org/obo/APOLLO_SV_00000121","","","['species']","","","","['species']","['an interbreeding population']","","","","","","","","","","","","","","['specie']",1,2,11.46111960033005,11.461104491531419,14.110274765511233
"http://snomed.info/id/27069008","","","['Genus Saccharomyces (organism)']","","","","","","","['Genus Saccharomyces', 'Saccharomyces species']","['Saccharomyces']","","","","","","","","","","","['saccharomyces cerevisiae']",1,2,11.110543816641531,11.103499641612435,13.67001155234843
"http://purl.obolibrary.org/obo/CHEBI_139492","['A chemical compound that causes a substantial proportion of exposed people or animals to develop an allergic reaction in normal tissue after repeated exposure to the compound.']","","['sensitiser']","['sensitisers', 'sensitizer', 'sensitizers']","","","","","","","","","","","","","","","","","","['sensitiser', 'respiratory sensitiser']",2,2,10.888969226010996,5.4622075403586985,13.449532595686176
"http://purl.obolibrary.org/obo/CHEBI_33303","['Any p-block element belonging to the group 16 family of the periodic table.']","","['chalcogen']","['anfigeno', 'anfigenos', 'calcogeno', 'calcogenos', 'chalcogene', 'chalcogenes', 'Chalkogen', 'Chalkogene', 'group 16 elements', 'group VI elements']","","['chalcogen', 'chalcogens']","","","","","","","","","","","","","","","","['selenium']",1,9,7.122258807285903,6.492928098714601,12.552012019467995
"http://purl.obolibrary.org/obo/CHEBI_25585","","","['nonmetal atom']","['Nichtmetall', 'Nichtmetalle', 'no metal', 'no metales', 'non-metal', 'non-metaux', 'nonmetal', 'nonmetals']","","['nonmetal']","","","","","","","","","","","","","","","","['selenium']",1,9,6.9387490785791615,6.325633493709711,12.22860109285859
"http://snomed.info/id/62093005","","","['Yeast (organism)']","","","","","","","","['Yeast']","","","","","","","","","","","['yeast']",1,1,11.510571367325495,11.510571367325495,11.510571367325495
