"index","title","identifier","issued","source"
0,"Finnish results from the monitoring of pesticide residues in food","10.5281/zenodo.1323497","2018-07-30T00:00:00Z","http://doi.org/10.5281/zenodo.1323497"
1,"Evaluation of data concerning the necessity of flumioxazin as a herbicide to control a serious danger to plant health which cannot be contained by other available means, including non‐chemical methods","10.2903/j.efsa.2017.4688","2017-01-16T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs24688.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
2,"Assessment of genetically modified maize<styled-content style=""fixed-case"" toggle=""no"">MON</styled-content> 87427 × <styled-content style=""fixed-case"" toggle=""no"">MON</styled-content> 89034 × <styled-content style=""fixed-case"" toggle=""no"">MIR</styled-content>162 × <styled-content style=""fixed-case"" toggle=""no"">MON</styled-content> 87411 and subcombinations, for food and feed uses, under Regulation (<styled-content style=""fixed-case"" toggle=""no"">EC</styled-content>) No 1829/2003 (application<styled-content style=""fixed-case"" toggle=""no"">EFSA</styled-content>‐<styled-content style=""fixed-case"" toggle=""no"">GMO</styled-content>‐<styled-content style=""fixed-case"" toggle=""no"">NL</styled-content>‐2017‐144)","10.2903/j.efsa.2019.5848","2019-11-07T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs25848.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
3,"Re‐evaluation of stearyl tartrate (E 483) as a food additive","10.2903/j.efsa.2020.6033","2020-03-11T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs26033.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
4,"2019 Eurobarometer on Food Safety in the EU_Datasets","10.5281/zenodo.3673110","2020-02-18T00:00:00Z","http://doi.org/10.5281/zenodo.3673110"
5,"No risk of Alzheimer's disease from aluminium in consumer products","10.5281/zenodo.581068","2007-10-10T00:00:00Z","http://doi.org/10.5281/zenodo.581068"
6,"Scientific Opinion on safety and efficacy of selenium in the form of organic compounds produced by the selenium‐enriched yeast<italic>Saccharomyces cerevisiae</italic>NCYC R646 (Selemax 1000/2000) as feed additive for all species","10.2903/j.efsa.2012.2778","2012-07-25T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs22778.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
7,"Scientific Opinion on Pyrrolizidine alkaloids in food and feed","10.2903/j.efsa.2011.2406","2011-11-08T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs22406.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
8,"Scientific Opinion on application (EFSA‐GMO‐DE‐2010‐82) for the placing on the market of insect‐resistant genetically modified maize MIR162 for food and feed uses, import and processing under Regulation (EC) No 1829/2003 from Syngenta","10.2903/j.efsa.2012.2756","2012-06-21T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs22756.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
9,"GMOANALYSIS VERSION 2.1.0 – 10 JULY 2014","10.5281/zenodo.161300","2014-07-10T00:00:00Z","http://doi.org/10.5281/zenodo.161300"
10,"Viruses and Food - Annex","10.5281/zenodo.438964","2010-05-04T00:00:00Z","http://doi.org/10.5281/zenodo.438964"
11,"Reasoned opinion on the review of the existing maximum residue levels (MRLs) for fosetyl according to Article 12 of Regulation (EC) No 396/2005","10.2903/j.efsa.2012.2961","2012-11-21T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs22961.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
12,"A risk assessment of shiga toxin-producing Escherichia coli (STEC) in the Norwegian meat chain with emphasis on dry-cured sausages","10.5281/zenodo.827139","2007-03-03T00:00:00Z","http://doi.org/10.5281/zenodo.827139"
13,"Review of the existing maximum residue levels for quinoxyfen according to Article 12 of Regulation (<styled-content style=""fixed-case"" toggle=""no"">EC</styled-content>) No 396/2005","10.2903/j.efsa.2020.6316","2020-12-04T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs26316.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
14,"Peer review of the pesticide risk assessment of the active substance mesotrione","10.2903/j.efsa.2016.4419","2016-03-07T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs24419.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
15,"Modification of the existing maximum residue levels for fludioxonil in elderberries","10.2903/j.efsa.2020.6175","2020-07-09T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs26175.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
16,"Health assessment of benzalkonium chloride residues in food","10.5281/zenodo.582062","2012-07-13T00:00:00Z","http://doi.org/10.5281/zenodo.582062"
