"uri","iao_definition","oio_synonym","label","oio_exact_synonym","rdf_comment","oio_related_synonym","skos_pref_label","skos_alt_label","oio_broad_synonym","iao_preferred_label","iao_alternative_term","iao_elucidation","oio_narrow_synonym","obo_external_definition","obo_location_notes","chebi_formula","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_nl_axiom","obo_relational_adjective"
"http://purl.obolibrary.org/obo/CHEBI_26208","['Any fatty acid containing more than one double bond. Acids in this group are reported to have cardioprotective effects; and levels are lowered in chronic fatigue syndrome.']","","['polyunsaturated fatty acid']","","","['polyunsaturated fatty acids', 'PUFA', 'PUFAs']","","","","","","","","","","","['blood fatty acid', 'fatty acid profile', 'plasma fatty acid']",3,4,20.287990497250018,18.226290643644713,82.87767202381727,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_29073","[""The polar bear (*Ursus maritimus*) is a bear native largely within the Arctic Circle encompassing the Arctic Ocean, its surrounding seas and surrounding land masses. It is the world's largest land carnivore and also the largest bear, together with the omnivorous Kodiak Bear, which is approximately the same size. Although it is closely related to the brown bear, it has evolved to occupy a narrower ecological niche, with many body characteristics adapted for cold temperatures, for moving across snow, ice, and open water, and for hunting the seals which make up most of its diet.""]","['ursus maritimus']","['Ursus maritimus']","['polar bear', 'white bear']","","['Thalarctos maritimus']","","","","","['polar bear']","","['Ursus maritimus Phipps, 1774']","","","","['polar bear', 'polar bear intake']",2,5,22.771325015790378,13.552742961591075,43.92868456796796,"",""
"http://purl.obolibrary.org/obo/CHEBI_35366","['Any aliphatic monocarboxylic acid derived from or contained in esterified form in an animal or vegetable fat, oil or wax.']","","['fatty acid']","['Fatty acid', 'fatty acids']","['LanguaL curation note: See ""food additive"" comments.', 'LanguaL term definition: Food additive; technological purpose(s): antifoaming agent. foam stabilizer, glazing agent.']","['CHO2R', 'OC([*])=O', 'acide gras', 'acides gras', 'acido graso', 'acidos grasos', 'fatty acids', 'Fettsaeure', 'Fettsaeuren']","","","","","['fatty acids']","","","","","['CHO2R']","['fatty acid']",1,1,33.974264993809165,33.974264993809165,33.974264993809165,"",""
"http://purl.obolibrary.org/obo/ENVO_02500036","['An environmental system process that results in the introduction of contaminants into an environment.']","","['environmental pollution']","['pollution']","['Pollutants may be material or immaterial (e.g. heat energy)']","","","","","","","","","","","","['pollution']",1,1,33.86064659420107,33.86064659420107,33.86064659420107,"",""
"http://purl.obolibrary.org/obo/GAZ_00052766","['A populated place. A town in East Greenland.']","","['Illoqqortoormiut']","['Igdlorqortormiut {<1973}', 'Igtorqortormit {<1973}', 'Ittoqqortoormiit', 'Scoresbysund {language: Danish}']","","","","","","","","","","","","","['East Greenland', 'Ittoqqortoormiit']",2,4,14.96226148954266,10.65587544024756,32.302573870909015,"",""
"http://purl.obolibrary.org/obo/CHEBI_5692","['A member of the class of chlorobenzenes that is benzene in which all of the hydrogens are replaced by chlorines. An agricultural fungicide introduced in the mid-1940s and formerly used as a seed treatment, its use has been banned since 1984 under the Stockholm Convention on Persistent Organic Pollutants.']","","['hexachlorobenzene']","['hexachlorobenzene', 'Hexachlorobenzene']","","['1,2,3,4,5,6-hexachlorobenzene', 'HCB', 'Hexachlorbenzol', 'perchlorobenzene', 'phenyl perchloryl']","","","","","","","","","","['C6Cl6']","['hexachlorobenzene']",1,1,31.687592310477804,31.687592310477804,31.687592310477804,"",""
"http://purl.obolibrary.org/obo/OBI_0000181","['a population is a collection of individuals from the same taxonomic class living, counted or sampled at a particular site or in a particular area']","","['population']","","","","","","","['population']","","","","","","","['population']",1,1,29.199910490986206,29.199910490986206,29.199910490986206,"",""
"http://purl.obolibrary.org/obo/GAZ_00001507","['A self-governing Danish province located between the Arctic and Atlantic Oceans, east of the Canadian Arctic Archipelago.']","","['Greenland']","['Gronland {language: Danish}', 'Kalaallit Nunaat', 'Kalatdlit Nunat {<1973}']","['LanguaL curation note: US FDA 1995 Code:  GL']","","","","","","","","","","","","['Greenland']",1,2,22.54416093339243,22.539316439874604,27.749153515564846,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_9709","","","['Phocidae']","['crawling seals', 'earless seals', 'seal', 'seals', 'true seals']","","","","","","","","","","","","","['seal']",1,4,16.583146379931524,16.5817637203633,25.133253972915742,"",""
"http://snomed.info/id/19314006","","","['Seal (organism)']","","","","['Seal']","['Seal - animal']","","","","","","","","","['seal']",1,1,22.484801027977564,22.484801027977564,22.484801027977564,"",""
"http://purl.obolibrary.org/obo/FOODON_03411343","","","['whale']","","","","","","","","","","","","","","['whale']",1,1,22.446324055996,22.446324055996,22.446324055996,"",""
"http://snomed.info/id/733446001","","","['Canadian (ethnic group)']","","","","['Canadian']","","","","","","","","","","['canadian']",1,1,22.18351286916907,22.18351286916907,22.18351286916907,"",""
"http://snomed.info/id/226365003","","","['N-3 fatty acid (substance)']","","","","['N-3 fatty acid']","['Omega 3 fatty acid']","","","","","","","","","['n-3 fatty acid']",1,2,16.13042037892795,16.087869557104902,19.806490727851454,"",""
"http://purl.obolibrary.org/obo/CHMO_0002820","['Experimental method output expressing the contribution of one constituent to the composition of a mixture.']","","['concentration']","","['based heavily on https://doi.org/10.1351/goldbook.C01222']","","","","","","","","","","","","['concentration']",1,3,14.19436399926045,14.193511472711647,19.734504640412887,"",""
"http://purl.obolibrary.org/obo/CHEBI_34852","","","['mirex']","['1,1a,2,2,3,3a,4,5,5,5a,5b,6-dodecachlorooctahydro-1H-1,3,4-(methanetriyl)cyclobuta[cd]pentalene', 'Mirex']","","['1,2,3,4,5,5,6,7,8,9,10,10-dodecachloropentacyclo[5.3.0.0(2,6).0(3,9).0(4,8)]decane', 'CG-1283', 'Dechlorane', 'dodecachlorooctahydro-1,3,4-metheno-2H-cyclobuta[cd]pentalene', 'perchlorodihomocubane', 'perchloropentacyclo[5.2.1.0(2,6).0(3,9).0(5,8)]decane', 'perchloropentacyclodecane']","","","","","","","","","","['C10Cl12']","['mirex']",1,1,17.685348772582934,17.685348772582934,17.685348772582934,"",""
"http://purl.obolibrary.org/obo/CHEBI_61204","['Any straight-chain, C22 fatty acid having five C=C double bonds.']","","['docosapentaenoic acid']","","","['22:5', 'C22:5', 'docosapentaenoic acids']","","","","","","","","","","","['docosapentaenoic acid']",1,1,17.286184490728406,17.286184490728406,17.286184490728406,"",""
"http://purl.obolibrary.org/obo/CHEBI_34623","","","['chlordane']","['1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-1H-4,7-methanoindene', 'Chlordane']","","['1,2,4,5,6,7,10,10-Octachloro-4,7,8,9-tetrahydro-4,7-methyleneindane', '1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methanoindan', '1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methanoindene', '1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.0(2,6)]dec-8-ene', 'Chlorindan']","","","","","","","","","","['C10H6Cl8']","['chlordane']",1,1,16.85034238437565,16.85034238437565,16.85034238437565,"",""
"http://purl.obolibrary.org/obo/CHEBI_27208","['Any fatty acid containing at least one C=C or C#C bond.']","","['unsaturated fatty acid']","","","['alkene acid', 'olefinic acid', 'unsaturated fatty acids']","","","","","","","","","","","['blood fatty acid', 'fatty acid profile', 'plasma fatty acid']",3,4,4.069520576258445,3.6559690233112443,16.624238445845076,"",""
"http://snomed.info/id/223503004","","","['North America (geographic location)']","","","","['North America']","","","","","","","","","","['North']",1,1,16.272367395521194,16.272367395521194,16.272367395521194,"",""
"http://purl.obolibrary.org/obo/PATO_0000025","[""A single physical entity inhering in an bearer by virtue of the bearer's quantities or relative ratios of subparts.""]","","['composition']","['composed of', 'compositionality', 'content', 'structure, composition']","['For example calcium composition (which may inhere in bone), haemoglobin composition (which may inhere in blood).']","","","","","['composition']","","","","","","","['composition']",1,2,12.155202438987388,12.099455455592324,14.896176988668158,"",""
"http://purl.obolibrary.org/obo/UBERON_0001969","['The liquid component of blood, in which erythrocytes are suspended.']","","['blood plasma']","['blood plasm', 'portion of blood plasma']","","","","","['plasma', 'portion of plasma']","","","","","","","","['plasma']",1,1,14.723922988671559,14.723922988671559,14.723922988671559,"",""
"http://purl.obolibrary.org/obo/FOODON_03412406","","['ursidae']","['bear']","","","","","","","","","","","","","","['polar bear', 'polar bear intake']",2,5,7.511735874279026,4.470737887622772,14.491061699320223,"",""
"http://purl.obolibrary.org/obo/GAZ_00228284","","","['Northwest Atlantic Ocean coastal waters of Greenland']","","","","","","","","","","","","","","['Greenland']",1,2,11.272080466696215,11.269658219937302,13.874576757782423,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_117565","","","['Myxini']","['fish', 'fishes']","","['Agnatha', 'Hyperotreti']","","","","","","","","","","","['fish']",1,2,11.148993528604263,11.148746375215197,13.725716815645576,"",""
"http://purl.obolibrary.org/obo/CHEBI_77850","['A highly complex mixture of several hundred polychlorinated compounds obtained by chlorination of camphene to an overall chlorine content of 67-69% by weight and having an overall empirical formula of C10H10Cl8 (including optical isomers, it could theoretically contain over 32,000 congeners). Toxaphene was used from the mid-1940s as an agricultural insecticide (mostly in the USA, particularly on corn and soybeans). Use increased with the phasing out of DDT in the 1970s (it became the most heavily manufactured pesticide in the US) but it is now banned due to concerns about toxicity and carcinogenicity. Total production since its first use is estimated at around 500,000 tons. In the environment, most of the components of toxaphene get metabolised, but from 10 to >100 resist biodegradation, depending on the medium and the specialisation of the enzyme system. Breathing, drinking or eating high levels of toxaphene can damage the lungs, kidneys, and nervous system.']","","['toxaphene']","","","['camphechlor', 'Camphechlor', 'camphechlore', 'chlorinated camphene', 'chlorocamphene', 'polychlorocamphene', 'Toxaphen']","","","","","","","","","","","['toxaphene']",1,1,12.82019259203188,12.82019259203188,12.82019259203188,"",""
"http://purl.obolibrary.org/obo/CHEBI_77853","['Any environmental contaminant that is resistant to environmental degradation through photolytic, biological or chemical processes. Such substances can have significant impact on health and the environment, as they persist in the environment, bioaccumulate in animal tissue and so biomagnify in food chains.']","","['persistent organic pollutant']","","","['persistent organic pollutants', 'POP', 'POPs']","","","","","","","","","","","['organic pollutant']",1,3,9.188075277308387,9.18787099681699,12.77471633223398,"",""
"http://purl.obolibrary.org/obo/FOODON_00003385","['Food produced within a relatively short distance of where it is consumed.']","","['local food']","['100 mile diet', '100-mile food']","","","","","","","","","","","","","['local food']",1,1,12.764031892054525,12.764031892054525,12.764031892054525,"",""
"http://purl.obolibrary.org/obo/XCO_0000239","['A chemical or biological substance which is capable of causing illness, debilitation or death, to living organisms, tissues or cells.']","","['toxic substance']","","","['poison', 'toxic chemical']","","","","","","","","","","","['toxic substance']",1,1,11.977268940471701,11.977268940471701,11.977268940471701,"",""
