"uri","iao_definition","oio_exact_synonym","label","iao_preferred_label","iao_alternative_term","oio_related_synonym","oio_narrow_synonym","oio_broad_synonym","skos_pref_label","skos_alt_label","apollo_label","iao_elucidation","rdf_comment","chebi_formula","iao_obo_unique_label","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_synonym","iao_nl_axiom"
"http://purl.obolibrary.org/obo/CHMO_0000497","['Any method where a sample mixture is first separated by gas chromatography then ionised and characterised according to mass-to-charge ratio and relative abundance.']","['gas chromatography mass spectrometry', 'gas chromatography mass spectroscopy', 'gas chromatography with mass spectrometric detection', 'gas chromatography-mass spectroscopy', 'gas chromatography/mass spectrometry', 'GC MS', 'GC-MS', 'GC/MS', 'GCMS']","['gas chromatography-mass spectrometry']","","","","","","","","","","","","","['Gas Chromatography-Mass spectrometry', 'gc-ms']",2,2,32.613140967354475,25.684464796830454,63.24257068874397,"",""
"http://purl.obolibrary.org/obo/CHEBI_17747","['A phthalate ester that is the bis(2-ethylhexyl) ester of benzene-1,2-dicarboxylic acid.']","['bis(2-ethylhexyl) benzene-1,2-dicarboxylate']","['bis(2-ethylhexyl) phthalate']","","","['2-Ethylhexyl phthalate', '1,2-Benzenedicarboxylic acid bis(2-ethylhexyl) ester', 'Bis(2-ethylhexyl) o-phthalate', 'bis(2-ethylhexyl)phthalate', 'Bis(2-ethylhexyl)phthalate', 'Bis(ethylhexyl) phthalate', 'DEHP', 'di-iso-Octyl phthalate', 'Di-sec-octyl phthalate', 'Di(2-ethylhexyl) o-phthalate', 'Di(2-ethylhexyl)orthophthalate', 'Di(2-ethylhexyl)phthalate', 'Di(ethylhexyl) phthalate', 'Diethylhexyl phthalate', 'Dioctyl phthalate', 'Octyl phthalate', 'Phthalic acid bis(2-ethylhexyl) ester', 'Phthalic acid di(2-ethylhexyl) ester']","","","","","","","","['C24H38O4']","","['bis(2-ethylhexyl ) phthalate', 'dehp']",2,2,23.74262179091726,15.003001887176767,36.94172391360183,"",""
"http://purl.obolibrary.org/obo/CHEBI_34675","['A diester resulting from the formal condensation of the carboxy groups of adipic acid with 2-ethylhexan-1-ol. It is used as a plasticiser in the preparation of various polymers.']","['bis(2-ethylhexyl) adipate']","['bis(2-ethylhexyl) adipate']","","","['adipic acid bis(2-ethylhexyl) ester', 'BEHA', 'bis(2-ethylhexyl) hexanedioate', 'DEHA', 'Di(2-ethylhexyl) adipate', 'Diethylhexyl adipate', 'Dioctyl adipate']","","","","","","","","['C22H42O4']","","['bis(2-ethylhexyl ) adipate', 'deha']",2,2,23.92232568603874,14.322103831561451,35.265156239145405,"",""
"http://purl.obolibrary.org/obo/XCO_0000088","['Any condition in which the main influencing factor is a substance having a specific molecular composition obtained by or used in a reaction involving changes to atoms or molecules.']","","['chemical']","","","","","","","","","","","","","['chemical structure', 'chemical', 'chemical migrant']",3,5,9.824685230420787,4.0686014061304805,19.781417124476437,"",""
"http://purl.obolibrary.org/obo/FOODON_03490172","['Corresponds to FSTA Thesaurus Packaging 2.2.1 Plastic container.']","","['plastic container']","","","","","","","","","","","","","['plastic', 'plastic type']",2,2,8.66493957011423,4.774440936670359,11.756052572053964,"",""
"http://purl.obolibrary.org/obo/CHEBI_51307","['A diester is a compound containing two ester groups.']","['diester']","['diester']","","","['diesters']","","","","","","","","","","['bis(2-ethylhexyl ) adipate', 'dehp', 'deha', 'bis(2-ethylhexyl ) phthalate']",4,4,3.0320885664448034,1.858437990656225,11.267461001079745,"",""
"http://purl.obolibrary.org/obo/IAO_0000027","['a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.', 'An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.']","","['data item', 'data item']","['data item', 'data item']","['data']","","","","","","","","","","","['datum']",1,1,10.461650993689654,10.461650993689654,10.461650993689654,"",""
"http://purl.obolibrary.org/obo/CHMO_0000470","['Spectrometry where the sample is converted into gaseous ions which are characterised by their mass-to-charge ratio and relative abundance.']","['MS', 'mass spectroscopy']","['mass spectrometry']","","","","","","","","","","","","","['Gas Chromatography-Mass spectrometry', 'gc-ms']",2,2,4.955413174546878,3.9026334618552276,9.609410767791989,"",""
"http://purl.obolibrary.org/obo/IAO_0000318","['A part of a publication about an investigation that is about a study design execution']","","['results section']","['results section']","['results']","","","","","","","","","","","['result']",1,1,9.094536801498204,9.094536801498204,9.094536801498204,"",""
"http://purl.obolibrary.org/obo/PATO_0000070","['The number of entities of this type that are part of the whole organism.']","['presence or absence in organism', 'quantitative']","['amount']","","","['count in organism', 'number', 'presence']","","","","","","","['This term was originally named ""presence"". It has been renamed to reduce ambiguity. Consider annotating with the reciprocal relation,PATO:0001555, has_number_of. For example, rather than E=fin ray Q=count in organism C=10, say E=organism Q=has number of E2= fin ray C=10.']","","","['amount']",1,2,6.330017912337694,6.293189340342211,7.747824898484093,"",""
"http://purl.obolibrary.org/obo/CHEBI_131927","['A class of carbonyl compound encompassing dicarboxylic acids and any derivatives obtained by substitution of either one or both of the carboxy hydrogens.']","","['dicarboxylic acids and O-substituted derivatives']","","","['dicarboxylic acids and derivatives']","","","","","","","","","","['bis(2-ethylhexyl ) adipate', 'deha']",2,2,5.0256431917111986,3.0088121262421605,7.40856448005495,"",""
