"uri","label","skos_alt_label","skos_pref_label","iao_definition","oio_exact_synonym","rdf_comment","iao_preferred_label","iao_alternative_term","oio_related_synonym","apollo_label","iao_elucidation","oio_broad_synonym","oio_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_narrow_synonym","obi_isa_term"
"http://purl.obolibrary.org/obo/CHMO_0001279","['nanoflow high-performance liquid chromatography']","","","['Column chromatography where the mobile phase is a liquid, the stationary phase consists of very small particles,  the inlet pressure is relatively high and the flow rate is nL min-1.']","['nano flow HPLC', 'nano high performance liquid chromatography', 'nano high pressure liquid chromatography', 'nano high-performance liquid chromatography', 'nano high-pressure liquid chromatography', 'nano HPLC', 'nano-HPLC', 'nanoflow high performance liquid chromatography', 'nanoflow high pressure liquid chromatography', 'nanoflow high-pressure liquid chromatography', 'nanoflow HPLC', 'nanoflow liquid chromatography', 'nanoflowHPLC', 'nanoHPLC', 'nHPLC']","","","","","","","","","['nanoflow liquid chromatography approach', 'nanoflow liquid chromatography']",2,2,202.69078203332154,186.62166888108328,459.516450104101,"",""
"http://purl.obolibrary.org/obo/CHMO_0000701","['liquid chromatography-tandem mass spectrometry']","","","['A method where a sample mixture is first separated by liquid chromatography before being ionised and characterised by mass-to-charge ratio and relative abundance using two mass spectrometers in series.']","['LC-MS-MS', 'LC-MS/MS', 'LC-MS2', 'LC-MSMS', 'LC/MS/MS', 'LCMSMS', 'liquid chromatography tandem mass spectrometry', 'liquid chromatography tandem mass spectroscopy', 'liquid chromatography-tandem mass spectroscopy']","","","['LC-MS-MS', 'LC-MS/MS', 'LC-MS2', 'LC-MSMS', 'LC/MS/MS', 'LCMSMS', 'liquid chromatography tandem mass spectrometry', 'liquid chromatography tandem mass spectroscopy', 'liquid chromatography-tandem mass spectroscopy']","","","","","","['analytical-scale lc-ms method', 'lc-ms', 'nanoflow liquid chromatography-mass spectrometry']",3,3,136.97379381579424,68.32081267316015,284.97755414383136,"",""
"http://purl.obolibrary.org/obo/OBI_0200198","['tandem mass spectrometry']","","","['Tandem mass spectrometry is a data transformation that uses two or more analyzers separated by a region in which ions can be induced to fragment by transfer of energy (frequently by collision with other molecules).']","","","['tandem mass spectrometry']","","","","","","","['analytical-scale lc-ms method', 'lc-ms', 'nanoflow liquid chromatography-mass spectrometry']",3,3,68.48689690789712,34.160406336580074,142.48877707191568,"",""
"http://purl.obolibrary.org/obo/CHMO_0001009","['high-performance liquid chromatography']","","","['Column chromatography where the mobile phase is a liquid, the stationary phase consists of very small particles and the inlet pressure is relatively high.']","['high performance liquid chromatography', 'high pressure liquid chromatography', 'high-pressure liquid chromatography', 'HPLC']","","","","","","","","","['nanoflow liquid chromatography approach', 'nanoflow liquid chromatography']",2,2,39.562675312594166,36.426187802773285,89.69179522567413,"",""
"http://purl.obolibrary.org/obo/CHMO_0000524","['liquid chromatography-mass spectrometry']","","","['A method where a sample mixture is first separated by liquid chromatography before being converted into ions which are characterised by their mass-to-charge ratio and relative abundance.']","['iquid chromatography/mass spectrometry', 'LC MS', 'LC-MS', 'LC/MS', 'LCMS', 'liquid chromatography mass spectrometry']","","","","","","","","","['analytical-scale lc-ms method', 'lc-ms', 'nanoflow liquid chromatography-mass spectrometry']",3,3,36.70121931867152,18.306108490501575,76.35784498746452,"",""
"http://purl.obolibrary.org/obo/CHMO_0000485","['high-resolution electrospray ionisation mass spectrometry']","","","['Mass spectrometry where the sample is ionised by forcing a solution (usually in an organic solvent) of the sample through a small heated capillary (at a flow rate of 1–10 L min-1) into an electric field to produce a very fine mist of charged droplets. When the ions are analysed using their mass-to-charge ratios the exact mass is determined as opposed to the nominal mass (the number of protons and neutrons).']","['high resolution electrospray ionisation mass spectrometry', 'high resolution electrospray ionisation mass spectroscopy', 'high resolution electrospray ionization mass spectroscopy', 'HR ESI-MS', 'HR-ESI-MS', 'HRESIMS']","","","","","","","","","['full-scan high resolution mass spectrometry']",1,1,70.07966802263316,70.07966802263316,70.07966802263316,"",""
"http://purl.obolibrary.org/obo/CHMO_0000575","['tandem mass spectrometry']","","","['Mass spectrometry involving multiple mass-selection steps, with some form of fragmentation occurring between each stage.']","['double mass spectrometry', 'MS-MS', 'MS/MS', 'MS2', 'tandem mass spectroscopy', 'tandem MS', 'tandem-MS']","","","","","","","","","['analytical-scale lc-ms method', 'lc-ms', 'nanoflow liquid chromatography-mass spectrometry']",3,3,32.49773667099451,16.209463997080928,67.61238959450085,"",""
"http://purl.obolibrary.org/obo/MS_1000073","['electrospray ionization']","","","['A process in which ionized species in the gas phase are produced from an analyte-containing solution via highly charged fine droplets, by means of spraying the solution from a narrow-bore needle tip at atmospheric pressure in the presence of a high electric field. When a pressurized gas is used to aid in the formation of a stable spray, the term pneumatically assisted electrospray ionization is used. The term ion spray is not recommended.']","['electrospray ionisation', 'ESI']","","","","","","","","","['ionization']",1,3,46.68039535986585,44.71896726505465,62.176767793043645,"",""
"http://purl.obolibrary.org/obo/PATO_0000033","['concentration of']","","","[""A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.""]","['concentration']","","['concentration of']","","","","","","","['concentration']",1,1,46.68311158316438,46.68311158316438,46.68311158316438,"",""
"http://purl.obolibrary.org/obo/CHMO_0002280","['ion-pair chromatography']","","","[""A type of column chromatography in which ions in solution can be 'paired' or neutralised and separated as an ion pair on a reversed-phase column. Ion-pairing agents are usually ionic compounds that contain a hydrocarbon chain.""]","['IPC', 'ion pair chromatography', 'ion pairing chromatography', 'ion-pairing chromatography']","","","","","","","","","['reversed-phase c18nano column']",1,1,33.48861270272551,33.48861270272551,33.48861270272551,"",""
"http://purl.obolibrary.org/obo/FOODON_03309927","['tomato (whole, raw)']","","","","['garden tomato', 'tomato']","[""SIREN DB annotation:\n\n* has quality 'whole, natural shape' (http://purl.obolibrary.org/obo/FOODON_03430150)\n\n* has quality 'not heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440003)\n\n* derives from 'fruit, peel present, core, pit or seed present' (http://purl.obolibrary.org/obo/FOODON_03420140)""]","","['tomato']","","","","","","['tomato']",1,1,24.813565191111884,24.813565191111884,24.813565191111884,"",""
"http://purl.obolibrary.org/obo/PATO_0001422","['dead']","","","[""A viability quality inhering in a bearer by virtue of the cessation of the bearer's life.""]","","","['dead']","","","","","","","['dead']",1,1,21.352243409451543,21.352243409451543,21.352243409451543,"",""
