"uri","iao_definition","oio_broad_synonym","oio_exact_synonym","label","chebi_formula","oio_related_synonym","oio_synonym","rdf_comment","obo_external_definition","obo_relational_adjective","obo_homology_notes","skos_pref_label","skos_alt_label","iao_preferred_label","iao_alternative_term","skos_definition","apollo_label","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_narrow_synonym","iao_elucidation","iao_nl_axiom"
"http://purl.obolibrary.org/obo/FOODON_00002403","['Any substance that can be consumed by an organism to satisfy nutritional or other health needs, or to provide a social or organoleptic food experience']","","['food', 'foodstuff', 'nourishment', 'sustenance']","['food material']","","","['food']","","","","","","","","","","","['food category', 'foodstuff']",2,5,19.249589107570817,14.145130411498943,45.848797824950346,"","",""
"http://purl.obolibrary.org/obo/GAZ_00418948","['A quartier of Tours.']","","","['Europe']","","","","","","","","","","","","","","['Europe']",1,1,37.48454963092776,37.48454963092776,37.48454963092776,"","",""
"http://purl.obolibrary.org/obo/PATO_0000033","[""A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.""]","","['concentration']","['concentration of']","","","","","","","","","","['concentration of']","","","","['concentration']",1,1,36.810825489801864,36.810825489801864,36.810825489801864,"","",""
"http://purl.obolibrary.org/obo/OBI_0000181","['a population is a collection of individuals from the same taxonomic class living, counted or sampled at a particular site or in a particular area']","","","['population']","","","","","","","","","","['population']","","","","['population']",1,1,27.619613148075416,27.619613148075416,27.619613148075416,"","",""
"http://snomed.info/id/223369002","","","","['Country (geographic location)']","","","","","","","","['Country']","['Countries']","","","","","['country', 'european country']",2,3,10.522129852582554,8.409724135196647,23.385578725843487,"","",""
"http://purl.obolibrary.org/obo/CHEBI_33216","[""A bisphenol that is 4,4'-methanediyldiphenol in which the methylene hydrogens are replaced by two methyl groups.""]","","[""4,4'-(propane-2,2-diyl)diphenol"", 'bisphenol A', 'Bisphenol A']","['bisphenol A']","['C15H16O2']","['2, 2-Bis(4-hydroxyphenyl)propane', '2,2-Bis(4-Hydroxyphenyl)propane', ""2,2-Bis(4'-hydroxyphenyl)propane"", '2,2-Bis(p-hydroxyphenyl)propane', '2,2-Di(4-hydroxyphenyl)propane', '2,2-Di(4-phenylol)propane', ""4,4'-(1-Methylethane-1,1-diyl)diphenol"", ""4,4'-(1-Methylethylidene)bisphenol"", ""4,4'-(Propane-2,2-diyl)diphenol"", ""4,4'-Bisphenol A"", ""4,4'-Isopropylidenediphenol"", 'bisphenol-A', 'BPA', ""Dianin's compound""]","","","","","","","","","","","","['bisphenol a']",1,2,17.669939092158863,17.629263408888335,21.704169157238827,"","",""
"http://purl.obolibrary.org/obo/IAO_0000027","['a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.', 'An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.']","","","['data item', 'data item']","","","","","","","","","","['data item', 'data item']","['data']","","","['datum', 'category']",2,4,9.543254140546868,7.115233911276064,21.569355827835412,"","",""
"http://purl.obolibrary.org/obo/HANCESTRO_0005","['Includes individuals who either self-report or have been described by authors as\n\nEuropean, Caucasian, White or one of the sub-populations from this region (e.g Dutch). This category also includes individuals who genetically cluster with reference populations from this region, for example 1000 Genomes and/or HapMap CEU, FIN, GBR, IBS and TSI populations.']","","['white', 'Caucasian']","['European']","","","","","","","","","","","","","","['european']",1,1,18.656410927808324,18.656410927808324,18.656410927808324,"","",""
"http://purl.obolibrary.org/obo/CHEBI_22901","['By usage, the methylenediphenols, HOC6H4CH2C6H4OH, commonly p,p-methylenediphenol, and their substitution products (generally derived from condensation of two equivalent amounts of a phenol with an aldehyde or ketone). The term also includes analogues in the the methylene (or substituted methylene) group has been replaced by a heteroatom.']","","","['bisphenol']","","['bisphenols']","","","","","","","","","","","","['bisphenol a', 'bisphenol']",2,4,7.905553827046673,5.871149374176213,17.797996741792083,"","",""
"http://snomed.info/id/223633000","","","","['European country (geographic location)']","","","","","","","","['European country']","","","","","","['european country']",1,1,15.85517412919703,15.85517412919703,15.85517412919703,"","",""
"http://purl.obolibrary.org/obo/FOODON_00003202","['A liquid prepared for consumption']","","['liquid beverage']","['beverage']","","","","[""SIREN DB annotation:\n\n* has quality 'liquid' (http://purl.obolibrary.org/obo/FOODON_03430130)""]","","","","","","","","","","['beverage']",1,1,15.466795064018594,15.466795064018594,15.466795064018594,"","",""
"http://purl.obolibrary.org/obo/IAO_0000318","['A part of a publication about an investigation that is about a study design execution']","","","['results section']","","","","","","","","","","['results section']","['results']","","","['result']",1,1,10.907324998903603,10.907324998903603,10.907324998903603,"","",""
"http://purl.obolibrary.org/obo/GAZ_00418924","['A Division of Tours.']","","","['Tours-Nord']","","","","","","","","","","","","","","['Europe']",1,1,8.682390121926172,8.682390121926172,8.682390121926172,"","",""
"http://purl.obolibrary.org/obo/PATO_0000057","[""A quality of a single process inhering in a bearer by virtue of the bearer's occurrence.""]","['temporal']","['incidence']","['occurrence']","","","","","","","","","","","","","","['occurrence']",1,2,8.965503554953946,6.71833660362432,8.271242576522742,"","",""
"http://purl.obolibrary.org/obo/FOODON_00003194","['A food product not including meat and animal tissue products (such as gelatin or animal-derived rennet).']","","['vegetarian food']","['vegetarian food product']","","","","","","","","","","","","","","['food']",1,1,8.224517195880193,8.224517195880193,8.224517195880193,"","",""
