"uri","label","skos_alt_label","skos_pref_label","iao_preferred_label","iao_definition","iao_alternative_term","oio_broad_synonym","oio_exact_synonym","rdf_comment","oio_related_synonym","apollo_label","oio_synonym","oio_narrow_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2"
"http://purl.obolibrary.org/obo/NCBITaxon_5740","['Giardia', 'Giardia <diplomonads>']","","","","","","","['Giardia']","","","","","","['giardia', 'Giardia']",2,3,32.4407422261764,32.43894982121714,90.20552905568303
"http://snomed.info/id/66953006","['Ascaris (organism)']","['Ascaris species', 'Eelworm', 'Genus: Ascaris']","['Ascaris']","","","","","","","","","","","['Ascaris', 'ascaris']",2,4,17.8568268515289,17.855249989119233,54.12699641538525
"http://snomed.info/id/4779006","['Cryptosporidium muris (organism)']","","['Cryptosporidium muris']","","","","","","","","","","","['cryptosporidium', 'Cryptosporidium']",2,4,19.466402463901712,15.718315243192166,47.64902162347856
"http://purl.obolibrary.org/obo/FOODON_03305806","['green bean pod']","","","","['A green bean pod is a leguminous fruit pod from a green bean plant.', 'Green beans are the unripe, young fruit and protective pods of various cultivars of the common bean (Phaseolus vulgaris).\n\n\n\nImmature or young pods of the runner bean (Phaseolus coccineus), yardlong bean (Vigna unguiculata subsp. sesquipedalis), and hyacinth bean (Lablab purpureus) are used in a similar way.']","","","['French bean', 'green bean', 'snap bean', 'snaps', 'string bean', 'stringless bean', 'haricot vert']","[""SIREN DB annotation:\n\n* has quality 'whole, natural shape' (http://purl.obolibrary.org/obo/FOODON_03430150)\n\n* has quality 'not heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440003)\n\n* derives from 'pod containing small, immature seed' (http://purl.obolibrary.org/obo/FOODON_03420169)""]","","","","","['bean']",1,2,29.30650470825755,29.303915318233027,36.077351633175105
"http://purl.obolibrary.org/obo/NCBITaxon_68459","['Giardiinae']","","","","","","","","","","","","","['giardia', 'Giardia']",2,3,11.666065486832567,11.665420917312924,32.438949821217136
"http://snomed.info/id/608957004","['Oocyst of genus Cryptosporidium (organism)']","['Cryptosporidium oocyst', 'Oocyst of genus Cryptosporidium']","['Genus Cryptosporidium oocyst']","","","","","","","","","","","['cryptosporidium oocyst']",1,1,29.382373584982723,29.382373584982723,29.382373584982723
"http://purl.obolibrary.org/obo/CHMO_0000102","['light microscopy', 'optical microscopy']","","","","['Microscopy where the specimen is illuminated with visible light and a system of lenses is used to produce an image.']","['light microscopy', 'OM', 'optical microscopy']","","['light microscopy', 'OM']","","","","","","['brightfield microscopy']",1,1,24.91855189027862,24.91855189027862,24.91855189027862
"http://snomed.info/id/608946009","['Cyst of genus Giardia (organism)']","['Cyst of genus Giardia', 'Giardia cyst']","['Genus Giardia cyst']","","","","","","","","","","","['giardia cyst']",1,2,19.674193585258212,19.672293565788458,24.219434321201604
"http://purl.obolibrary.org/obo/STATO_0000258","['variable']","","","","['a variable is a data item which can assume any of a set of values, either as determined by an agent or as randomly occuring through observation.']","","","","","","['variable']","","","['variable']",1,2,17.59177141838812,17.591711596173518,21.657937452804006
"http://purl.obolibrary.org/obo/BTO_0000486","['fruit']","","","","['The mature ovary or ovaries of a seed-bearing plant, together with accessory parts, containing the seeds and occurring in a wide variety of forms.']","","","","","","","","","['fruit']",1,4,15.378646717094007,13.648759312549606,20.687650602344508
