"uri","label","skos_alt_label","skos_pref_label","iao_definition","oio_broad_synonym","oio_exact_synonym","oio_related_synonym","rdf_comment","chebi_formula","iao_preferred_label","iao_obo_unique_label","apollo_label","iao_elucidation","iao_alternative_term","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_synonym","skos_definition","iao_nl_axiom"
"http://snomed.info/id/276339004","['Environment (environment)']","['Environments']","['Environment']","","","","","","","","","","","","['environment']",1,1,23.665195609621193,23.665195609621193,23.665195609621193,"","",""
"http://purl.obolibrary.org/obo/ENVO_01000987","['market']","","","['A part of an ecosystem where people gather for the purchase and sale of provisions, livestock, and other goods.']","","['bazaar', 'marketplace', 'mercado', 'palengke', 'souk', 'tianguis']","","['As with campgrounds and fairgrounds, land use is the key differentia here. The regularity of marketplace activities may provide a differentia for further growth of this branch.']","","","","","","","['market']",1,1,21.724611039487023,21.724611039487023,21.724611039487023,"","",""
"http://purl.obolibrary.org/obo/PO_0009002","['plant cell']","","","['A cell which is a plant structure (PO:0009011).']","['cell (broad)']","['c&#233lula vegetal (Spanish, exact)', '植物細胞 (Japanese, exact)']","","['Applies to cells that are living or dead at maturity (e.g., fiber cell or tracheid) and includes any external encapsulating structures (if present) such as the plasma membrane and the plant-type cell wall. Definition of cell GO:0005623: ""The basic structural and functional unit of all organisms. Includes the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope"". GO:0009505. Definition of plant-type cell wall (GO:0009505): A more or less rigid structure lying outside the cell membrane of a cell and composed of cellulose and pectin and other organic and inorganic substances, synonym; exact: cellulose and pectin-containing cell wall.']","","","","","","","['plant cell']",1,1,19.0899940921956,19.0899940921956,19.0899940921956,"","",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000454","['efficacy']","","","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","","","","['We often say in natural language it is the efficacy of the triggering planned process such as vaccination. However, processes do not have properties such as roles, dispositions, functions, qualities in BFO. And this is also not a process profile, because it is not the process of a quality changing values (determinates) over time. Nevertheless, it is natural to classify efficacies based on the type of triggering process because that is what differentiates what happens when they are realized. For example, a vaccination efficacy will be realized through different processes than a quarantine efficacy. For individual treatments, the triggering process is a treatment (as defined by OGMS).']","","","","['efficacy']","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","","['efficacy']",1,1,11.676719381523101,11.676719381523101,11.676719381523101,"","",""
"http://snomed.info/id/308916002","['Environment or geographical location (environment / location)']","['Environments and geographical locations']","['Environment or geographical location']","","","","","","","","","","","","['environment']",1,1,9.61105592207694,9.61105592207694,9.61105592207694,"","",""
"http://purl.obolibrary.org/obo/AGRO_00000325","['crop']","","","['A crop is any cultivated plant, fungus, or alga that is harvested for food, clothing, livestock,fodder, biofuel, medicine, or other uses']","","","","","","","","","","","['crop']",1,4,13.147122166073245,6.2798886475833395,9.518531258982646,"","",""
"http://purl.obolibrary.org/obo/GO_0030870","['Mre11 complex']","","","['Trimeric protein complex that possesses endonuclease activity; involved in meiotic recombination, DNA repair and checkpoint signaling. In Saccharomyces cerevisiae, the complex comprises Mre11p, Rad50p, and Xrs2p; complexes identified in other species generally contain proteins orthologous to the Saccharomyces cerevisiae proteins.']","","['MRN complex', 'MRX complex', 'Rad50 complex', 'RAD50-MRE11-NBN complex', 'Rad50-Rad32-Nbs1 complex', 'RMX complex']","","","","","","","","","['complex']",1,1,9.171396808492464,9.171396808492464,9.171396808492464,"","",""
"http://snomed.info/id/272379006","['Event (event)']","['Events']","['Event']","","","","","","","","","","","","['event']",1,1,9.160271432008468,9.160271432008468,9.160271432008468,"","",""
"http://purl.obolibrary.org/obo/FOODON_00001714","['food component', 'food component product', 'food product component']","","","['A food product which normally exists as an ingredient to another food product, rather than eaten on its own, and is more complex than a chemical food component.']","","","","","","","","","","","['food component consume']",1,1,8.032003090162972,8.032003090162972,8.032003090162972,"","",""
"http://purl.obolibrary.org/obo/PATO_0000001","['quality']","","","['A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities', 'A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities.']","","['trait']","","","","","['quality (PATO)']","","","","['trait']",1,1,7.752507907513727,7.752507907513727,7.752507907513727,"","",""
