"uri","iao_definition","oio_exact_synonym","rdf_comment","label","oio_broad_synonym","skos_pref_label","iao_alternative_term","oio_synonym","iao_preferred_label","oio_related_synonym","obo_external_definition","obo_homology_notes","chebi_formula","oio_narrow_synonym","skos_alt_label","skos_definition","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_elucidation","iao_nl_axiom"
"http://purl.obolibrary.org/obo/UBERON_0008944","['Albumen is the clear liquid contained within an egg and consists of water and proteins, among which are ovomucin and ovomucoid. It protects the egg yolk and provides additional nutrition for the growth of the embryo.']","['egg white']","","['albumen']","","","['egg white, albumen']","['egg white']","","","","","","","","","['albuman', 'albumen protein', 'egg white', 'albumen']",4,9,28.810192833420853,15.10086550777526,116.770888250242,"",""
"http://purl.obolibrary.org/obo/FOODON_03420194","['Poultry, game bird or turtle eggs.']","","['LanguaL curation note: Fish roe are indexed under *OVARY, ROE*.']","['egg or egg component']","","","","","","","","","","","","","['albuman', 'albumen protein', 'egg white', 'albumen']",4,9,7.719500032353442,4.046176728140793,31.287984805850108,"",""
"http://purl.obolibrary.org/obo/BTO_0003801","['A female gamete.']","","","['ovum']","","","","","","['egg cell']","","","","","","","['ovum']",1,1,29.444338962182208,29.444338962182208,29.444338962182208,"",""
"http://purl.obolibrary.org/obo/CHEBI_15377","['An inorganic hydroxy compound that has formula H2O.', 'An oxygen hydride consisting of an oxygen atom that is covalently bonded to two hydrogen atoms.']","['oxidane', 'water', 'Water', 'WATER']","","['water', 'Water']","","","","","['water']","['[H]O[H]', '[OH2]', 'acqua', 'agua', 'aqua', 'BOUND WATER', 'dihydridooxygen', 'dihydrogen oxide', 'eau', 'H2O', 'HOH', 'hydrogen hydroxide', 'InChI=1S/H2O/h1H2', 'InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N', 'Wasser']","","","['H2O']","","","","['water']",1,1,28.614372287169562,28.614372287169562,28.614372287169562,"",""
"http://purl.obolibrary.org/obo/OBI_0302893","['A maintenance process by which material entities that are not actively metabolizing are placed in well identified location and possibly under controlled environment in ad-hoc devices/structures in order to preserve and protect them from decay/alteration and maintain availability', 'A maintenance process by which material entities that are not actively metabolizing are placed in well identified location and possibly under controlled environment in ad-hoc devices/structures in order to preserve and protect them from decay/alteration and maintain availability.']","","","['storage', 'storage']","","","","","['storage']","","","","","","","","['storage']",1,1,26.403456304503543,26.403456304503543,26.403456304503543,"",""
"http://purl.obolibrary.org/obo/FOODON_03304840","","['egg albumen food product']","[""SIREN DB annotation:\n\n* has quality 'liquid, high viscosity' (http://purl.obolibrary.org/obo/FOODON_03430102)\n\n* derives from 'albumen' (http://purl.obolibrary.org/obo/UBERON_0008944)""]","['hen egg white food product']","['egg white']","","","","","","","","","","","","['egg albuman']",1,2,18.650662653714694,18.537075020593914,22.821816351359796,"",""
"http://purl.obolibrary.org/obo/GO_0018991","['The deposition of eggs (either fertilized or not) upon a surface or into a medium such as water.']","","","['oviposition', 'oviposition']","['egg laying', 'egg-laying']","","","","","","","","","['post-mating oviposition']","","","['oviposition']",1,2,18.055862735123505,18.04853240150144,22.220349835183203,"",""
"http://purl.obolibrary.org/obo/CHEBI_27701","['A tetracycline used for treatment of infections caused by a variety of Gram positive and Gram negative microorganisms including Mycoplasma pneumoniae, Pasteurella pestis, Escherichia coli, Haemophilus influenzae (respiratory infections), and Diplococcus pneumoniae.']","['(4S,4aR,5S,5aR,6S,12aS)-4-(dimethylamino)-3,5,6,10,12,12a-hexahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide']","","['oxytetracycline', 'Oxytetracycline']","","","","","","['C22H24N2O9', '[H][C@@]12[C@@H](O)[C@@]3([H])C(C(=O)c4c(O)cccc4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C', '5-Hydroxytetracycline', 'InChI=1S/C22H24N2O9/c1-21(32)7-5-4-6-8(25)9(7)15(26)10-12(21)17(28)13-14(24(2)3)16(27)11(20(23)31)19(30)22(13,33)18(10)29/h4-6,12-14,17,25,27-29,32-33H,1-3H3,(H2,23,31)/t12-,13-,14+,17+,21-,22+/m1/s1', 'InChIKey=IWVCMVBTMGNXQD-PXOLEDIWSA-N', 'oxitetraciclina', 'Oxyterracin', 'Oxyterracine', 'Oxytetracyclin', 'Oxytetracycline (anhydrous)', 'Oxytetracycline amphoteric', 'oxytetracyclinum']","","","['C22H24N2O9']","","","","['oxytetracycline']",1,3,16.770592836193998,15.770359753493517,21.92693741324326,"",""
"http://purl.obolibrary.org/obo/BFO_0000015","['An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.', 'p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])', 'An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.', 'p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])']","","","['process', 'process']","","","","","","","","","","","","","['process']",1,1,21.42194131015044,21.42194131015044,21.42194131015044,"",""
"http://purl.obolibrary.org/obo/UBERON_0006314","['Liquid components of living organisms. includes fluids that are excreted or secreted from the body as well as body water that normally is not.']","['body fluid']","","['bodily fluid']","['fluid', 'fluid']","","","","['bodily fluid']","","","","","","","","['albuman', 'albumen protein', 'egg white', 'albumen']",4,9,4.176367068579273,2.1890432243326585,16.927276227437712,"",""
