"uri","label","skos_alt_label","skos_pref_label","iao_definition","oio_related_synonym","oio_narrow_synonym","oio_broad_synonym","oio_exact_synonym","rdf_comment","iao_alternative_term","apollo_label","iao_elucidation","skos_definition","iao_preferred_label","chebi_formula","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_synonym","obi_isa_term","iao_nl_axiom"
"http://purl.obolibrary.org/obo/NCBITaxon_1639","['Listeria monocytogenes']","","","","['Bacterium monocytogenes', 'Bacterium monocytogenes hominis', 'Corynebacterium infantisepticum', 'Corynebacterium parvulum', 'Erysipelothrix monocytogenes', 'Listerella hepatolytica', 'Listeria momocytogenes', 'Lysteria monocytogenes']","","","","","","","","","","","['listeria monocytogene', 'l. monocytogene']",2,3,24.659853852352242,16.65393907829068,46.31091307511255,"","",""
"http://purl.obolibrary.org/obo/BFO_0000015","['process', 'process']","","","['An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.', 'p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])', 'An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.', 'p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])']","","","","","","","","","","","","['process']",1,1,37.11185276785117,37.11185276785117,37.11185276785117,"","",""
"http://purl.obolibrary.org/obo/UBERON_0001969","['blood plasma']","","","['The liquid component of blood, in which erythrocytes are suspended.']","","","['plasma', 'portion of plasma']","['blood plasm', 'portion of blood plasma']","","","","","","","","['plasma']",1,4,17.477706873688177,17.477503032211292,26.49094088715837,"","",""
"http://purl.obolibrary.org/obo/FOODON_00002502","['ham food product']","","","['Ham is pork from a leg cut that has been preserved by wet or dry curing, with or without smoking.  As a processed meat, the term ""ham"" includes both whole cuts of meat and ones that have been mechanically formed.']","","","","['ham']","","['ham']","","","","","","['ham']",1,4,17.235119162260332,17.233797392055422,26.121552211022095,"","",""
"http://purl.obolibrary.org/obo/PECO_0007178","['atmospheric pressure exposure']","","","['The treatment involving an exposure to a given pressure of the atmosphere at a given point. Its measurement can be expressed in several ways. One is in millibars. Another is in inches or millimeters of mercury (Hg).']","['barometric pressure (related)']","['atmospheric pressure treatment (narrow)']","","","","","","","","","","['atmospheric pressure', 'atmospheric pressure plasma']",2,3,10.292062578592736,8.427500161372933,23.43500991441701,"","",""
"http://purl.obolibrary.org/obo/OGMS_0000090","['treatment']","","","['A planned process whose completion is hypothesized by a health care provider to eliminate, prevent, or alleviate the signs and symptoms of a disorder or pathological process', 'A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder']","","","","","['Apollo-SV currently defines two subclasses of treatment.\n\nSee vaccination and antiviral treatment.']","","['Treatment']","","","['treatment']","","['treatment']",1,3,23.297791747131015,16.32031379800884,22.691587560908797,"","",""
"http://purl.obolibrary.org/obo/OBI_0000181","['population']","","","['a population is a collection of individuals from the same taxonomic class living, counted or sampled at a particular site or in a particular area']","","","","","","","","","","['population']","","['population']",1,1,19.078809786274547,19.078809786274547,19.078809786274547,"","",""
"http://purl.obolibrary.org/obo/UO_0000034","['week']","","","['A time unit which is equal to 7 days.']","","","","","['""A time unit which is equal to 7 days."" [Wikipedia:Wikipedia]']","","","","","['week']","","['week']",1,1,17.856484515847075,17.856484515847075,17.856484515847075,"","",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000454","['efficacy']","","","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","","","","","['We often say in natural language it is the efficacy of the triggering planned process such as vaccination. However, processes do not have properties such as roles, dispositions, functions, qualities in BFO. And this is also not a process profile, because it is not the process of a quality changing values (determinates) over time. Nevertheless, it is natural to classify efficacies based on the type of triggering process because that is what differentiates what happens when they are realized. For example, a vaccination efficacy will be realized through different processes than a quarantine efficacy. For individual treatments, the triggering process is a treatment (as defined by OGMS).']","","['efficacy']","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","","","","['efficacy']",1,1,17.298004346187412,17.298004346187412,17.298004346187412,"","",""
"http://snomed.info/id/129265001","['Evaluation - action (qualifier value)']","['Assessment', 'Evaluation', 'Patient evaluation - action']","['Evaluation - action']","","","","","","","","","","","","","['evaluate', 'evaluation']",2,2,12.385847349438457,6.196223828734763,15.256892701162903,"","",""
"http://purl.obolibrary.org/obo/OBI_0000889","['survival curve']","","","['A survival curve is a report graph which is a graphical representation of data where the percentage of survival is plotted as a function of time.']","","","","","","","","","","['survival curve']","","['survival curve']",1,1,13.163846660377786,13.163846660377786,13.163846660377786,"","",""
"http://purl.obolibrary.org/obo/FOODON_03430137","['sliced']","","","","","","","","['LanguaL curation note: Used for solid products that are divided into uniformly thin pieces (e.g., sliced bread).']","","","","","","","['slice']",1,2,8.950805725685273,8.947277617716368,11.015390853697518,"","",""
"http://purl.obolibrary.org/obo/IAO_0000318","['results section']","","","['A part of a publication about an investigation that is about a study design execution']","","","","","","['results']","","","","['results section']","","['result']",1,1,10.430776647030694,10.430776647030694,10.430776647030694,"","",""
"http://purl.obolibrary.org/obo/UO_1000034","['week based unit']","","","","","","","","","","","","","","","['week']",1,1,8.928242257923538,8.928242257923538,8.928242257923538,"","",""
"http://purl.obolibrary.org/obo/ENVO_00002005","['air']","","","['The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth.']","","","","","","","","","","","","['air']",1,1,8.76251081515711,8.76251081515711,8.76251081515711,"","",""
"http://snomed.info/id/258883008","['Colony-forming units/gram (qualifier value)']","['Colony-forming units/gram']","['cfu/g']","","","","","","","","","","","","","['cfu/g']",1,2,6.5332587954990275,6.533258729448445,8.043384985697358,"","",""
"http://purl.obolibrary.org/obo/FOODON_03311122","['processed cheese sliced']","","","","","","","","[""SIREN DB annotation:\n\n* has quality 'sliced, thin, below 0.5 cm.' (http://purl.obolibrary.org/obo/FOODON_03430145)\n\n* derives from 'curd' (http://purl.obolibrary.org/obo/FOODON_03420245)\n\n* formed as a result of 'lactic acid-other agent fermentation process' (http://purl.obolibrary.org/obo/FOODON_03460107)""]","","","","","","","['slice cheese']",1,5,4.681460419611822,4.663451778758033,7.5578538886028035,"","",""
"http://snomed.info/id/35105006","['Increased (qualifier value)']","['Augmented', 'Increased by']","['Increased']","","","","","","","","","","","","","['increase']",1,1,6.07191873611533,6.07191873611533,6.07191873611533,"","",""
