"uri","rdf_comment","label","skos_alt_label","skos_definition","skos_pref_label","iao_definition","oio_exact_synonym","oio_related_synonym","iao_alternative_term","oio_narrow_synonym","oio_synonym","oio_broad_synonym","iao_preferred_label","chebi_formula","apollo_label","iao_elucidation","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","obi_isa_term"
"http://purl.obolibrary.org/obo/CHEBI_15377","","['water', 'Water']","","","","['An inorganic hydroxy compound that has formula H2O.', 'An oxygen hydride consisting of an oxygen atom that is covalently bonded to two hydrogen atoms.']","['oxidane', 'water', 'Water', 'WATER']","['[H]O[H]', '[OH2]', 'acqua', 'agua', 'aqua', 'BOUND WATER', 'dihydridooxygen', 'dihydrogen oxide', 'eau', 'H2O', 'HOH', 'hydrogen hydroxide', 'InChI=1S/H2O/h1H2', 'InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N', 'Wasser']","","","","","['water']","['H2O']","","","['water', 'h2o']",2,2,46.714541861480186,30.618176079996417,75.39079285539708,""
"http://purl.obolibrary.org/obo/CHEBI_32145","['LanguaL curation note: See ""food additive"" comments.', 'LanguaL term definition: Food additive; technological purpose(s): acidity regulator.']","['sodium hydroxide', 'Sodium Hydroxide']","","","","['An alkali metal hydroxide that has formula HNaO.']","['sodium hydroxide', 'Sodium hydroxide']","['[OH-].[Na+]', 'Aetznatron', 'caustic soda', 'HNaO', 'hydroxyde de sodium', 'InChI=1S/Na.H2O/h;1H2/q+1;/p-1', 'InChIKey=HEMHJVSKTPXQMS-UHFFFAOYSA-M', 'NaOH', 'Natriumhydroxid', 'soda lye', 'sodium hydrate', 'soude caustique']","['sodium hydroxide']","","","","","['HNaO']","","","['sodium hydroxide', 'naoh']",2,3,47.95980681260879,19.056386073399615,52.991585643627474,""
"http://snomed.info/id/83512007","","['Bacillus subtilis (organism)']","","","['Bacillus subtilis']","","","","","","","","","","","","['bacillus subtilis']",1,1,46.79794210899313,46.79794210899313,46.79794210899313,""
"http://purl.obolibrary.org/obo/CHEBI_29377","['LanguaL curation note: See ""food additive"" comments.', 'LanguaL term definition: Food additive; technological purpose(s): acidity regulator, anticaking agent, raising agent.']","['sodium carbonate']","","","","","['disodium trioxidocarbonate', 'sodium carbonate']","['Natriumkarbonat', 'disodium carbonate', 'Na2CO3']","['sodium carbonate']","","","","","['CNa2O3']","","","['na2co3', 'sodium carbonate']",2,2,29.429043033763396,16.495851805678573,40.61755158785365,""
"http://purl.obolibrary.org/obo/CHEBI_31344","['LanguaL curation note: See ""food additive"" comments.', 'LanguaL term definition: Food additive; technological purpose(s): acidity regulator, dough conditioner, flour treatment agent.']","['calcium oxide']","","","","['A member of the class of calcium oxides of calcium and oxygen in a 1:1 ratio.']","['calcium oxide', 'Calcium oxide']","['Aetzkalk', 'Branntkalk', 'burnt lime', 'calcium monoxide', 'calx', 'caustic lime', 'gebrannter Kalk', 'Kalziumoxid', 'Lime', 'limestone', 'quicklime']","['calcium oxide']","","","","","['CaO']","","","['calcium oxide']",1,1,34.63474345529173,34.63474345529173,34.63474345529173,""
"http://purl.obolibrary.org/obo/NCBITaxon_1051503","","['Bacillus subtilis subsp. spizizenii DV1-B-1']","","","","","['Bacillus subtilis subsp. spizizenii str. DV1-B-1', 'Bacillus subtilis subsp. spizizenii strain DV1-B-1']","","","","","","","","","","['B. subtili', 'b. subtilis']",2,2,13.373026143218556,13.344950786848088,32.85912321518174,""
"http://purl.obolibrary.org/obo/CHEBI_16134","","['ammonia']","","","","['An azane that consists of a single nitrogen atom covelently bonded to three hydrogen atoms.']","['ammonia', 'Ammonia', 'AMMONIA', 'azane']","['[NH3]', 'ammoniac', 'Ammoniak', 'amoniaco', 'NH3', 'R-717', 'spirit of hartshorn']","","","","","","['H3N']","","","['ammonia']",1,1,30.07515480554359,30.07515480554359,30.07515480554359,""
"http://purl.obolibrary.org/obo/GO_0060417","","['yolk']","","","","['The cytoplasmic part that serves as a nutrient reserve or energy source for the developing embryo.']","","","","","","","","","","","['yolk']",1,1,28.224596349760102,28.224596349760102,28.224596349760102,""
"http://purl.obolibrary.org/obo/FOODON_00001304","","['food fermentation']","","","","['A fermentation process in which either carbohydrates, proteins or fats are modified through microbial, enzymatic and/or other biological process.']","","","","","","","","","","","['fermentation', 'pidan fermentation']",2,2,13.335081101690989,10.325558634254685,25.42450765445604,""
"http://purl.obolibrary.org/obo/NCBITaxon_2","","['Bacteria', 'Bacteria']","","","","","['Bacteria <prokaryote>', 'eubacteria']","['bact-', 'bacteria', 'Monera', 'not Bacteria Haeckel 1894', 'Procaryotae', 'Prokaryota', 'Prokaryotae', 'prokaryote', 'prokaryotes']","['eubacteria']","","","","['Bacteria']","","","","['bacteria']",1,1,24.923205069790757,24.923205069790757,24.923205069790757,""
"http://purl.obolibrary.org/obo/CHEBI_52625","","['inorganic hydroxy compound']","","","","","","['inorganic hydroxides']","","","","","","","","","['water', 'h2o']",2,2,15.410051883588658,10.10023138774817,24.869686893034263,""
"http://purl.obolibrary.org/obo/CHEBI_16670","","['peptide']","","","","['Amide derived from two or more amino carboxylic acid molecules (the same or different) by formation of a covalent bond from the carbonyl carbon of one to the nitrogen atom of another with formal loss of water. The term is usually applied to structures formed from alpha-amino acids, but it includes those derived from any amino carboxylic acid.', 'Amide derived from two or more amino carboxylic acid molecules (the same or different) by formation of a covalent bond from the carbonyl carbon of one to the nitrogen atom of another with formal loss of water. The term is usually applied to structures formed from alpha-amino acids, but it includes those derived from any amino carboxylic acid. X = OH, OR, NH2, NHR, etc.']","['Peptide', 'peptides']","['C2H4NO2R(C2H2NOR)n', 'Peptid', 'peptido', 'peptidos']","","","","","['peptide']","['(C2H2NOR)nC2H3NOR']","","","['peptide', 'protein']",2,2,18.625195090570813,9.606825044388307,23.654777966761383,""
"http://purl.obolibrary.org/obo/FOODON_03430151","","['food (solid)']","","","","['A solid product is a hard or soft product capable of retaining its own shape at room temperature (20 degrees C.). A soft product that is spreadable or formable is considered semisolid.']","","","","","['solid']","","","","","","['semisolid', 'solid']",2,2,18.628041768801328,9.428279976002994,23.215148439815653,""
"http://purl.obolibrary.org/obo/CHEBI_37176","","['mononuclear parent hydride']","","","","","['mononuclear parent hydrides']","['mononuclear hydride', 'mononuclear hydrides']","","","","","","","","","['ammonia', 'water', 'h2o']",3,3,8.258042332568872,5.380582147974457,22.443309445616393,""
"http://purl.obolibrary.org/obo/CHEBI_33693","","['oxygen hydride']","","","","","['oxygen hydride']","['hydrides of oxygen', 'oxygen hydrides']","","","","","","","","","['water', 'h2o']",2,2,11.376385307547915,7.45643978556508,18.35990837088243,""
"http://snomed.info/id/264337003","","['Seed (substance)']","['Seeds']","","['Seed']","","","","","","","","","","","","['seed']",1,2,14.212510997521415,14.212510997521415,17.497653514201673,""
"http://snomed.info/id/103493004","","['Staphylococcus cohnii subspecies urealyticus (organism)']","['Staphylococcus cohnii subsp urealyticus', 'Staphylococcus cohnii urealyticus']","","['Staphylococcus cohnii subspecies urealyticus']","","","","","","","","","","","","['s. cohnii']",1,1,17.24954771941081,17.24954771941081,17.24954771941081,""
"http://purl.obolibrary.org/obo/FOODON_03411283","","['melon plant']","","","","['Melon is a name given to various members of the plant family *Cucurbitaceae* with sweet flavored, fleshy fruit e.g. gourds or cucurbits. Melon can be referred as a plant or a fruit. Many different cultivars have been produced, particularly of muskmelons.']","","","","","['cucumis spp.']","","","","","","['melon']",1,1,16.928523424724613,16.928523424724613,16.928523424724613,""
"http://purl.obolibrary.org/obo/CHEBI_33978","","['alkali metal hydroxide']","","","","","","['alkali metal base', 'alkali metal bases', 'alkali metal hydroxides']","","","","","","","","","['sodium hydroxide', 'naoh']",2,3,14.796412426444716,5.879217754176781,16.348801390672836,""
"http://purl.obolibrary.org/obo/PR_000000001","['The definition above excludes protein complexes, which some also consider a protein. Those who wish to refer to a class representing both senses of the word are directed to CHEBI:36080. Note that the definition allows for experimentally-manipulated genes, and allows for artifically-produced derivatives that mimic those found naturally. Proteins (in the sense defined here) that descended from a common ancestor can be classified into families and superfamilies composed of products of evolutionarily-related genes. The domain architecture of a protein is described by the order of its constituent domains. Proteins with the same domains in the same order are defined as homeomorphic [PRO:WCB].', 'Proteins descended from a common ancestor can be classified into families and superfamilies composed of products of evolutionarily-related genes. The domain architecture of a protein is described by the order of its constituent domains. Proteins with the same domains in the same order are defined as homeomorphic [PRO:WCB].']","['protein']","","","","['An amino acid chain that is produced de novo by ribosome-mediated translation of a genetically-encoded mRNA, and any derivatives thereof.', 'An amino acid chain that is produced de novo by ribosome-mediated translation of a genetically-encoded mRNA.']","['natural protein']","","","['native protein']","","","['protein']","","","","['protein']",1,1,16.17868397969188,16.17868397969188,16.17868397969188,""
"http://snomed.info/id/223369002","","['Country (geographic location)']","['Countries']","","['Country']","","","","","","","","","","","","['country', 'african country']",2,2,9.778691720937163,6.4320971861135146,15.83768103355042,""
"http://purl.obolibrary.org/obo/HANCESTRO_0487","","['Indian']","","","","","['Asian Indian', 'Indian Asian']","","","","","","","","","","['asian']",1,1,15.658190238449336,15.658190238449336,15.658190238449336,""
"http://snomed.info/id/413621007","","['Bacillus subtilis group (organism)']","","","['Bacillus subtilis group']","","","","","","","","","","","","['bacillus subtilis']",1,1,15.437563705177093,15.437563705177093,15.437563705177093,""
"http://purl.obolibrary.org/obo/NCBITaxon_3635","","['Gossypium hirsutum']","","","","","['American cotton', 'American upland cotton', 'cotton']","['Gossypium hirsutum subsp. mexicanum', 'Gossypium lanceolatum', 'Gossypium purpurascens']","['upland cotton plant']","['Gossypium hirsutum L.']","['american cotton', 'american upland cotton', 'bourbon cotton', 'cotton', 'gossypium hirsutum']","","","","","","['cotton']",1,1,15.398400072929798,15.398400072929798,15.398400072929798,""
"http://purl.obolibrary.org/obo/FOODON_03412972","[""Damion Dooley's note: manysubclasses here are currently originating from LanguaL additives that have not yet been matched to CHEBI ontology terms.  If matches are possible they will be implemented over time, at which point the corresponding FoodOn id's will be deprecated.""]","['food additive']","","","","","","","","","","","","","","","['naoh', 'na2co3', 'sodium carbonate', 'sodium hydroxide', 'calcium oxide']",5,6,3.9218822004422553,1.700846658884761,14.557290230783169,""
"http://purl.obolibrary.org/obo/NCBITaxon_596319","","['Staphylococcus warneri L37603']","","","","","['Staphylococcus warneri str. L37603', 'Staphylococcus warneri strain L37603']","","","","","","","","","","['s. warneri']",1,1,14.32903065196724,14.32903065196724,14.32903065196724,""
"http://purl.obolibrary.org/obo/GO_0043464","","['malolactic fermentation']","","","","['The anaerobic enzymatic conversion of L-malate to L-lactate and carbon dioxide, yielding energy in the form of ATP.']","['malo-lactate fermentation', 'malolactate fermentation']","","","","","['L-malate fermentation', 'malate fermentation']","","","","","['fermentation']",1,2,10.848173101596677,10.848089593439362,13.355564898427994,""
"http://snomed.info/id/84408007","","['Bacillus cereus (organism)']","","","['Bacillus cereus']","","","","","","","","","","","","['bacillus spp . ( B. cereus']",1,1,13.264277779853225,13.264277779853225,13.264277779853225,""
