"uri","iao_alternative_term","oio_exact_synonym","oio_related_synonym","label","skos_alt_label","skos_pref_label","iao_definition","rdf_comment","oio_broad_synonym","apollo_label","iao_preferred_label","iao_elucidation","oio_narrow_synonym","chebi_formula","obo_external_ontology_notes","obo_homology_notes","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_synonym","iao_nl_axiom","iedb_alternative_term","obi_isa_term"
"http://purl.obolibrary.org/obo/NCBITaxon_562","['Bacillus coli', 'Bacterium coli', 'Bacterium coli commune', 'E. coli', 'Enterococcus coli']","['E. coli', 'Escherichia/Shigella coli']","['Bacillus coli', 'Bacterium coli', 'Bacterium coli commune', 'Enterococcus coli']","['Escherichia coli', 'Escherichia coli']","","","","","","","","","","","","","['e. coli', 'escherichia coli', ""escherichia coli '""]",3,7,79.3549060350882,70.55319946657194,379.4612034822358,"","","",""
"http://snomed.info/id/83285000","","","","['Enteropathogenic Escherichia coli (organism)']","['EPEC', 'Escherichia coli enteropathogenic', 'Localised adhering EPEC', 'Localized adhering EPEC']","['Enteropathogenic Escherichia coli']","","","","","","","","","","","['enteropathogenic', 'enteropathogenic e. coli', 'epec']",3,10,172.4386260927415,62.352009501453914,373.2258444624975,"","","",""
"http://snomed.info/id/116394005","","","","['Enterotoxigenic Escherichia coli (organism)']","['Escherichia coli enterotoxigenic', 'ETEC']","['Enterotoxigenic Escherichia coli']","","","","","","","","","","","['etec', 'ETEC', 'enterotoxigenic escherichia coli']",3,6,159.31669375493914,52.62996059892001,270.2711407654549,"","","",""
"http://snomed.info/id/116398008","","","","['Escherichia coli, diarrheagenic strain (organism)']","['Escherichia coli, diarrhoeagenic strain', 'Escherichia coli, diarrheagenic strain']","['Diarrheagenic Escherichia coli']","","","","","","","","","","","['etec', 'ETEC', 'Diarrhoeagenic', 'enterotoxigenic escherichia coli']",4,7,52.55490943195618,20.36705173102224,146.0553836380903,"","","",""
"http://snomed.info/id/303349001","","","","['Escherichia coli enteroadherent (organism)']","['Escherichia coli enteroadherent']","['Enteroadherent Escherichia coli']","","","","","","","","","","","['enteropathogenic', 'enteropathogenic e. coli', 'epec']",3,10,56.8835328130454,20.56849244743878,123.11861356828983,"","","",""
"http://purl.obolibrary.org/obo/NCBITaxon_561","","","","['Escherichia', 'Escherichia']","","","","","","","","","","","","","['e. coli', 'escherichia coli', ""escherichia coli '""]",3,7,19.325288253417067,17.181809985251007,92.41012943850315,"","","",""
"http://purl.obolibrary.org/obo/FOODON_00001256","['Dairy products']","['dairy product', 'milk product']","","['dairy food product']","","","['A dairy food product has mammilian milk or a milk component as an ingredient.']","","","","","","","","","","['dairy', 'dairy product', 'dairy sample']",3,3,25.807044881928,12.765628977247863,53.24757684670915,"","","",""
"http://purl.obolibrary.org/obo/UBERON_0001913","","['mammary gland milk', 'mammal milk']","","['milk']","","","['An emulsion of fat globules within a fluid that is secreted by the mammary gland during lactation.']","['LanguaL curation note: See scope note for *MILK OR MILK COMPONENT*. for lowfat milk use *FAT PARTIALLY REMOVED*; for skim milk, use *FAT FULLY REMOVED* (both found in D3. TREATMENT APPLIED).', 'LanguaL term definition: Milk is a secretion from the mammary glands of female mammals.']","","","['milk']","","","","['ncit:Milk refers specifically to cow milk']","['The detailed similarities of mammary glands in living monotremes, marsupials, and eutherians argue for a monophyletic origin of these glands, perhaps by the combination of parts of preexisting sebaceous and sweat glands.[well established][VHOG]']","['milk']",1,1,33.32913024389235,33.32913024389235,33.32913024389235,"","","",""
"http://purl.obolibrary.org/obo/UBERON_0006539","","","['lactiferous gland fluid', 'lactiferous gland secretion', 'mammary gland fluid', 'mammary gland secreted fluid', 'mammary gland secretion', 'secretion of mammary gland']","['mammary gland fluid/secretion']","","","['A substance that is secreted by a mammary gland. The substance may differ depending on phase, with colostrum produced during pregancy/early lactation, and milk produced afterwards.']","","","","","","","","","","['milk']",1,1,13.535832954535325,13.535832954535325,13.535832954535325,"","","",""
"http://purl.obolibrary.org/obo/MP_0005036","","['diarrhoea']","","['diarrhea']","","","['abnormally frequent discharge of semi-solid or fluid fecal matter from the bowel']","","","","","","","","","","['diarrhoea']",1,1,13.117026975574758,13.117026975574758,13.117026975574758,"","","",""
"http://purl.obolibrary.org/obo/OBI_0002692","","","","['polymerase chain reaction assay']","","","['An assay that uses polymerase chain reaction technique to amplify DNA.']","","","","['polymerase chain reaction assay']","","","","","","['duplex-polymerase chain reaction assay']",1,1,12.667194980903865,12.667194980903865,12.667194980903865,"","","",""
"http://purl.obolibrary.org/obo/FOODON_00001092","","","","['vertebrate animal food product']","","","['A food product which is derived from or produced by an animal that has a vertibrae.']","","","","","","","","","","['dairy', 'dairy product', 'animal-source food', 'dairy sample']",4,4,5.176574790572121,1.9419063471782385,11.773518484118995,"","","",""
