"uri","label","skos_pref_label","iao_definition","oio_exact_synonym","skos_alt_label","oio_related_synonym","iao_alternative_term","oio_synonym","oio_narrow_synonym","rdf_comment","iao_preferred_label","obi_isa_term","iedb_alternative_term","chebi_formula","obo_external_definition","obo_taxon_notes","obo_homology_notes","obo_external_ontology_notes","oio_broad_synonym","obo_relational_adjective","apollo_label","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2"
"http://purl.obolibrary.org/obo/UBERON_0000955","['brain']","","['The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP].']","","","['encephalon', 'synganglion', 'suprasegmental levels of nervous system', 'suprasegmental structures', 'the brain']","['brain']","","","","['brain']","","","","['Cavitated compound organ which is comprised of gray and white matter and surrounds the cerebral ventricular system.[TAO]', 'Part of the central nervous system situated within the cranium and composed of both nerve cell bodies and nerve fibers.[AAO]', 'The part of the central nervous system contained within the cranium, comprising the forebrain, midbrain, hindbrain, and metencephalon. It is derived from the anterior part of the embryonic neural tube (or the encephalon). Does not include retina. (CUMBO)']","","['(...) at some stage of its development, every chordate exhibits five uniquely derived characters or synapomorphies of the group: (...) (4) a single, tubular nerve cord that is located dorsal to the notochord (...) (reference 1); The neural tube is destined to differentiate into the brain and spinal cord (the central nervous system) (reference 2).[well established][VHOG]']","","","","","['brain']",1,1,34.14091453416759,34.14091453416759,34.14091453416759
"http://purl.obolibrary.org/obo/FOODON_03412338","['reed fescue plant']","","","","","","","['alta fescue', 'festuca arundinacea', 'festuca elatior', 'meadow fescue', 'tall fescue']","['Festuca arundinacea Schreb.']","","","","","","","","","","","","","['fescue', 'endophyte-infected tall fescue']",2,4,10.013383693462073,9.075317360422012,27.511217739062122
"http://purl.obolibrary.org/obo/UBERON_0002037","['cerebellum']","","['Part of the metencephalon that lies in the posterior cranial fossa behind the brain stem. It is concerned with the coordination of movement[MESH]. A large dorsally projecting part of the brain concerned especially with the coordination of muscles and the maintenance of bodily equilibrium, situated between the brain stem and the back of the cerebrum , and formed in humans of two lateral lobes and a median lobe[BTO]. Brain structure derived from the anterior hindbrain, and perhaps including posterior midbrain. The cerebellum plays a role in somatic motor function, the control of muscle tone, and balance[ZFA].']","['epencephalon-1']","","['corpus cerebelli', 'parencephalon']","","","","","['cerebellum']","","","","['Dorsal part of the hindbrain that coordinates muscle movement, posture, and balance.[AAO]', 'Specialized brain region derived from the dorsal metencephalon (anterior hindbrain, and perhaps including posterior midbrain) and becoming distinctive late in the segmentation period. Kimmel et al, 1995.[TAO]']","[""The absence of a cerebellum in hagfishes and lampreys appears to be the only exception [to the rule that vertebrates possess the same number of brain divisions]. Both hagfishes and lampreys do possess a thin band of cells located medial to the lateral line centers of the medulla (Ronan and Northcutt, 1998), which has been interpreted as a primitive cerebellum (Larsell, 1967), but more recent experimental studies (Kishida et al., 1987; Weigle and Northcutt, 1998) fail to support Larsell's claim[http://icb.oxfordjournals.org/content/42/4/743.full]""]","['However, although the lamprey possesses a region comparable to the cerebellum and display expression of LjFgf8/17 at the MHB (midbrain hindbrain boundary), it does not have Purkinje cells and cerebellar nuclei, as well as components of the rhombic lip-derived cerebellar and pre-cerebellar systems. It is noteworthy that the latter structures require specific expression of Pax6 in the rhombic lip of the gnathostome hindbrain. Interestingly, the lamprey rhombic lip does not express Pax6. Thus, it is tempting to speculate that in vertebrate evolution the rostral hindbrain is incapable of differentiating into the cerebellum before the co-option of Pax6 in that region. In other words, cerebellum has been brought about as an evolutionary innovation in gnathostomes, based on exaptation of MHB, rhombic lip, and some regulatory gene expression already present in the vertebrate common ancestor.[well established][VHOG]']","['almost all AOs agree that the cerebellum is part of the hindbrain (sometimes specifically part of the metencephalon, which, when present, is part of the hindbrain). However, ABA has cerebellum and brain stem as partof siblings, with the hindbrain part of the brainstem']","['infratentorial region']","['cerebellar']","","['cerebellum']",1,1,25.517908807660078,25.517908807660078,25.517908807660078
"http://purl.obolibrary.org/obo/UBERON_0002369","['adrenal gland']","","['Either of a pair of complex endocrine organs near the anterior medial border of the kidney consisting of a mesodermal cortex that produces glucocorticoid, mineralocorticoid, and androgenic hormones and an ectodermal medulla that produces epinephrine and norepinephrine[BTO].']","['glandula suprarenalis', 'glandula adrenalis']","","['adrenal', 'adrenal capsule', 'atrabiliary capsule', 'epinephros', 'glandula suprarenalis', 'interrenal gland', 'suprarenal capsule', 'suprarenal gland', 'adrenal medulla cell', 'epinephric gland']","","","","","['adrenal gland']","","","","['Anatomical structure which is found on the surface of the kidney and secretes various hormones including epinephrine, norephinephrine, aldosterone, corticosterone, and cortisol.[AAO]']","['The origin of the adrenal gland is still controversial. It is thought to share the same origin as the kidney and gonads, derived from coelomic epithelium of the urogenital ridge and/or the underlying mesenchyme (Keegan and Hammer, 2002; Morohashi, 1997). We follow Kardong and state homology at the level of the cortex and medulla rather than gland as a whole']","['All craniates have groups of cells homologous to the mammalian adrenocortical and chromaffin tissues, but they are scattered in and near the kidneys in fishes. (...) The cortical and chromaffin tissues come together to form adrenal glands in tetrapods.[well established][VHOG]']","","","","","['adrenal gland']",1,1,24.374073625424668,24.374073625424668,24.374073625424668
"http://purl.obolibrary.org/obo/NCBITaxon_9913","['Bos taurus']","","['Cattle (colloquially cows) are the most common type of large domesticated ungulates. They are a prominent modern member of the subfamily *Bovinae*, are the most widespread species of the genus *Bos*, and are most commonly classified collectively as *Bos taurus*... with three subspecies: *Bos taurus primigenius, Bos taurus indicus, Bos taurus taurus*.']","['bovine', 'cattle', 'cow', 'dairy cow', 'domestic cattle', 'domestic cow', 'Bos taurus Linnaeus, 1758']","","['Bos bovis', 'Bos primigenius taurus', 'Bos Tauurus']","['cattle']","","","","","","","","","","","","","","","['cattle']",1,1,22.785310222036465,22.785310222036465,22.785310222036465
"http://purl.obolibrary.org/obo/UBERON_0000014","['zone of skin']","","['Any portion of the organ that covers that body and consists of a layer of epidermis and a layer of dermis.']","['skin', 'portion of skin', 'region of skin', 'skin region', 'skin zone']","","","","","","","","","","","","","['(...) it is well-established that neural crest cells contribute to both the dermal skeleton (craniofacial bone, teeth, and the caudal fin rays of teleosts) and the integument, including craniofacial dermis and all pigment cells outside the retina (...).[well established][VHOG]']","['we assume that mouse, HOG and GAID all mean zone of skin when they say skin. We also choose skin as an exact synonym, as it is more intuitive']","","","","['skin']",1,2,17.177114586981062,17.177083776813163,21.14747072938112
"http://purl.obolibrary.org/obo/UBERON_0002114","['duodenum']","","['The first part of the small intestine. At the junction of the stomach and the duodenum the alimentary canal is inflected. The duodenum first goes anteriorly for a short distance, turns dorsally, and eventually caudally, thus it is a U-shaped structure with two horizontal sections (a ventral and a dorsal one).']","","","['proximal intestine', 'upper intestine']","","","","","","","","","[""The fixed portion of the small intestine deeply lodged in the posterior wall of the abdomen and extending from the pylorus to the beginning of the jejunum. [Dorian_AF, Elsevier's_encyclopaedic_dictionary_of_medicine, Part_B:_Anatomy_(1988)_Amsterdam_etc.:_Elsevier][VHOG]""]","['In fish, the divisions of the small intestine are not as clear, and the terms anterior intestine or proximal intestine may be used instead of duodenum.', 'In humans, the duodenum is a hollow jointed tube about 10-15 inches (25-38 centimetres) long connecting the stomach to the jejunum. It begins with the duodenal bulb and ends at the ligament of Treitz.']","","","","['duodenal']","","['duodenum']",1,1,18.64191923094961,18.64191923094961,18.64191923094961
"http://purl.obolibrary.org/obo/XCO_0000013","['diet']","","['The food and drink consumed by an organism day to day.']","","","","","","","","","","","","","","","","","","","['diet']",1,5,11.021479070406075,11.020297365606538,17.860117623086108
"http://purl.obolibrary.org/obo/PATO_0000033","['concentration of']","","[""A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.""]","['concentration']","","","","","","","['concentration of']","","","","","","","","","","","['concentration']",1,1,16.489400388049276,16.489400388049276,16.489400388049276
"http://purl.obolibrary.org/obo/UBERON_0001155","['colon']","","['Last portion of the large intestine before it becomes the rectum.']","['large bowel']","","['hindgut']","","","['posterior intestine']","","['colon']","","","","['The last portion of the digestive system, it extracts water and salt from solid wastes before they are eliminated from the body.[AAO]', 'The posterior intestine has short longitudinally arranged epithelial folds which are similar to the colon of higher vertebrates. Wallace et al, 2005.[TAO]']","['In mammals, the colon consists of four sections: the ascending colon, the transverse colon, the descending colon, and the sigmoid colon[WP]', 'In zebrafish, the posterior intestine has short longitudinally arranged epithelial folds which are similar to the colon of higher vertebrates[ZFIN]']","['Although all vertebrates have a digestive tract and accessory glands, various parts of this system are not necessarily homologous, analogous, or even present in all species. Therefore, broad comparisons can be best made under the listings of headgut, foregut, midgut, pancreas and biliary system, hindgut.[uncertain][VHOG]']","","","['colonic']","","['colon']",1,1,15.92549217227635,15.92549217227635,15.92549217227635
