"uri","iao_definition","oio_exact_synonym","label","skos_alt_label","skos_pref_label","apollo_label","iao_preferred_label","oio_related_synonym","rdf_comment","iao_elucidation","oio_broad_synonym","skos_definition","iao_alternative_term","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_narrow_synonym","obi_isa_term","iao_nl_axiom"
"http://purl.obolibrary.org/obo/DOID_11976","['A primary bacterial infectious disease that involves intoxication caused by botulinum neurotoxins (BoNTA, B, E and F) located in neuromuscular junction resulting in descending muscle paralysis, has_material_basis_in Clostridium botulinum A, has_material_basis_in Clostridium botulinum B, has_material_basis_in Clostridium botulinum E and has_material_basis_in Clostridium botulinum F.']","['Botulism poisoning', 'Food poisoning due to Clostridium botulinum', 'Foodborne botulism', 'Infection due to clostridium botulinum', 'Intoxication with Clostridium botulinum toxin']","['botulism']","","","","","","","","","","","['botulism', 'food-borne botulism']",2,5,21.648592899925223,15.784830304094475,51.16357872001307,"","",""
"http://purl.obolibrary.org/obo/NCBITaxon_1491","","","['Clostridium botulinum']","","","","","['Bacillus botulinus', 'Bacillus putrificus', 'Botulobacillus botulinus', 'Clostridium putrificum', 'Ermengemillus botulinus', 'Pacinia putrifica']","","","","","","['c. botulinum', 'clostridium botulinum']",2,2,39.94300372432864,20.287629347957733,49.95400306350106,"","",""
"http://purl.obolibrary.org/obo/OGMS_0000031","['A disposition (i) to undergo pathological processes that (ii) exists in an organism because of one or more disorders in that organism.']","","['disease']","","","['disease']","['disease']","","","","","","","['disease']",1,3,22.165312029453737,22.160824909341773,30.812170959215845,"","",""
"http://purl.obolibrary.org/obo/IAO_0000088","['A document assembled by an author for the purpose of providing information for the audience. A report is the output of a documenting process and has the objective to be consumed by a specific audience. Topic of the report is on something that has completed. A report is not a single figure. Examples of reports are journal article, patent application, grant progress report, case report (not patient record).']","","['report']","","","","['report']","","","","","","","['report']",1,2,19.947352575405798,19.927927043089948,24.53415604864527,"","",""
"http://purl.obolibrary.org/obo/OBI_0302893","['A maintenance process by which material entities that are not actively metabolizing are placed in well identified location and possibly under controlled environment in ad-hoc devices/structures in order to preserve and protect them from decay/alteration and maintain availability', 'A maintenance process by which material entities that are not actively metabolizing are placed in well identified location and possibly under controlled environment in ad-hoc devices/structures in order to preserve and protect them from decay/alteration and maintain availability.']","","['storage', 'storage']","","","","['storage']","","","","","","","['storage']",1,1,20.604933185580006,20.604933185580006,20.604933185580006,"","",""
"http://purl.obolibrary.org/obo/OGMS_0000073","['The representation of a conclusion of a diagnostic process.']","","['diagnosis']","","","","['diagnosis']","","","","","","","['diagnosis']",1,1,20.129606460975584,20.129606460975584,20.129606460975584,"","",""
"http://purl.obolibrary.org/obo/OGMS_0000090","['A planned process whose completion is hypothesized by a health care provider to eliminate, prevent, or alleviate the signs and symptoms of a disorder or pathological process', 'A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder']","","['treatment']","","","['Treatment']","['treatment']","","['Apollo-SV currently defines two subclasses of treatment.\n\nSee vaccination and antiviral treatment.']","","","","","['treatment']",1,1,19.729185025226958,19.729185025226958,19.729185025226958,"","",""
"http://purl.obolibrary.org/obo/OBI_0000286","['a precipitate is a material entity which is output of a precipitation process']","","['precipitate']","","","","['precipitate']","","","","","","['precipited material']","['precipitate']",1,1,11.642523097011168,11.642523097011168,11.642523097011168,"","",""
"http://purl.obolibrary.org/obo/DOID_0050338","['A bacterial infectious disease that results_in infection by bacteria as a result of their presence or activity within the normal, healthy host, and their intrinsic virulence is, in part, a necessary consequence of their need to reproduce and spread.']","","['primary bacterial infectious disease']","","","","","","","","","","","['botulism', 'food-borne botulism']",2,5,3.5023467506396146,2.553697110038683,8.27733213467887,"","",""
"http://purl.obolibrary.org/obo/PATO_0000057","[""A quality of a single process inhering in a bearer by virtue of the bearer's occurrence.""]","['incidence']","['occurrence']","","","","","","","","['temporal']","","","['occurrence', 'incident']",2,2,6.256962220899094,3.132864769160925,7.714017916635167,"","",""
