"uri","label","skos_pref_label","iao_definition","oio_exact_synonym","skos_alt_label","oio_synonym","iao_preferred_label","iao_alternative_term","chebi_formula","oio_related_synonym","apollo_label","iao_elucidation","rdf_comment","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2"
"http://purl.obolibrary.org/obo/CHEBI_27750","['ethyl acetate']","","['The acetate ester formed between acetic acid and ethanol.']","['ethyl acetate', 'Ethyl acetate', 'ETHYL ACETATE']","","","","","['C4H8O2']","['Acetyl ester', '1-acetoxyethane', 'acetic acid ethyl ester', 'acetic acid, ethyl ester', 'acetic ester', 'acetoxyethane', 'AcOEt', 'CH3-CO-O-CH3', 'Essigester', 'Essigsaeureethylester', 'ethyl acetic ester', 'ethyl ethanoate', 'Ethylacetat', 'Ethylazetat', 'EtOAc', 'vinegar naphtha']","","","","['ethyl acetate', 'ethyl acetate extract']",2,2,61.759476561413635,44.573020839154516,109.75165118406323
"http://purl.obolibrary.org/obo/CHEBI_17790","['methanol']","","['The primary alcohol that is the simplest aliphatic alcohol, comprising a methyl and an alcohol group.']","['methanol', 'Methanol', 'METHANOL']","","","","","['CH4O']","['carbinol', 'CH3OH', 'MeOH', 'Methyl alcohol', 'Methylalkohol', 'spirit of wood', 'wood alcohol', 'wood naphtha', 'wood spirit']","","","","['methanol']",1,4,58.9983489075084,58.984388404347854,89.40361466995387
"http://purl.obolibrary.org/obo/CHEBI_134179","['volatile organic compound']","","['Any organic compound having an initial boiling point less than or equal to 250 degreeC (482 degreeF) measured at a standard atmospheric pressure of 101.3 kPa.']","","","","","","","['VOC', 'VOCs', 'volatile organic compounds']","","","","['ethyl acetate', 'dichloromethane', 'methanol', 'acetone', 'ethyl acetate extract', 'ethanol']",6,10,7.979233847759767,6.1996636427642855,74.21973139134158
"http://purl.obolibrary.org/obo/CHMO_0001279","['nanoflow high-performance liquid chromatography']","","['Column chromatography where the mobile phase is a liquid, the stationary phase consists of very small particles,  the inlet pressure is relatively high and the flow rate is nL min-1.']","['nano flow HPLC', 'nano high performance liquid chromatography', 'nano high pressure liquid chromatography', 'nano high-performance liquid chromatography', 'nano high-pressure liquid chromatography', 'nano HPLC', 'nano-HPLC', 'nanoflow high performance liquid chromatography', 'nanoflow high pressure liquid chromatography', 'nanoflow high-pressure liquid chromatography', 'nanoflow HPLC', 'nanoflow liquid chromatography', 'nanoflowHPLC', 'nanoHPLC', 'nHPLC']","","","","","","","","","","['high-performance liquid chromatography']",1,1,70.85624802449037,70.85624802449037,70.85624802449037
"http://purl.obolibrary.org/obo/CHEBI_16236","['ethanol', 'Ethanol']","","['A primary alcohol that is ethane in which one of the hydrogens is substituted by a hydroxy group.']","['ethanol', 'Ethanol', 'ETHANOL']","","","","","['C2H6O']","['alcohol', '[CH2Me(OH)]', '[OEtH]', '1-hydroxyethane', 'Aethanol', 'Aethylalkohol', 'alcohol etilico', 'alcool ethylique', 'Alkohol', 'C2H5OH', 'C2H6O', 'CCO', 'Dehydrated ethanol', 'etanol', 'Ethyl alcohol', 'EtOH', 'hydroxyethane', 'InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3', 'InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N', 'Methylcarbinol', 'spiritus vini']","","","","['ethanol']",1,1,50.51470497017428,50.51470497017428,50.51470497017428
"http://purl.obolibrary.org/obo/NCBITaxon_3486","['Humulus lupulus']","","","['common hop', 'European hop']","","","","","","","","","","['H. lupulus', 'humulus lupulus']",2,3,20.741884277865047,14.856893452235825,41.313727521052066
"http://purl.obolibrary.org/obo/CHEBI_50584","['alkyl alcohol']","","['An aliphatic alcohol in which the aliphatic alkane chain is substituted by a hydroxy group at unspecified position.']","","","","","","","['alkyl alcohols', 'hydroxyalkane', 'hydroxyalkanes']","","","","['ethanol', 'methanol']",2,5,13.091291236190889,12.71232165602939,41.204615902248584
"http://purl.obolibrary.org/obo/CHEBI_15347","['acetone']","","['A methyl ketone that consists of propane bearing an oxo group at C2.']","['acetone', 'Acetone', 'ACETONE', 'propan-2-one']","","","","","['C3H6O']","['methyl ketone', '2-Propanone', 'Aceton', 'Azeton', 'beta-Ketopropane', 'Dimethyl ketone', 'dimethylcetone', 'Dimethylketon', 'dimethylketone', 'Propanon', 'propanone', 'Pyroacetic ether']","","","","['acetone']",1,1,40.81812143170715,40.81812143170715,40.81812143170715
"http://purl.obolibrary.org/obo/CHEBI_15767","['dichloromethane']","","['A member of the class of chloromethanes that is methane in which two of the hydrogens have been replaced by chlorine. A dense, non-flammible colourless liquid at room temperature (b.p. 40degreeC, d = 1.33) which is immiscible with water, it is widely used as a solvent, a paint stripper, and for the removal of caffeine from coffee and tea.']","['dichloromethane', 'Dichloromethane']","","","","","['CH2Cl2']","['chlorure de methylene', 'DCM', 'Dichlormethan', 'methane dichloride', 'Methylenchlorid', 'methylene bichloride', 'Methylene chloride', 'Methylene dichloride']","","","","['dichloromethane']",1,2,31.807475811447855,31.719574662500975,39.05137713941503
"http://purl.obolibrary.org/obo/PATO_0000033","['concentration of']","","[""A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.""]","['concentration']","","","['concentration of']","","","","","","","['concentration']",1,1,20.600207876954226,20.600207876954226,20.600207876954226
"http://purl.obolibrary.org/obo/PATO_0000070","['amount']","","['The number of entities of this type that are part of the whole organism.']","['presence or absence in organism', 'quantitative']","","","","","","['count in organism', 'number', 'presence']","","","['This term was originally named ""presence"". It has been renamed to reduce ambiguity. Consider annotating with the reciprocal relation,PATO:0001555, has_number_of. For example, rather than E=fin ray Q=count in organism C=10, say E=organism Q=has number of E2= fin ray C=10.']","['amount', 'quantitative']",2,4,6.257414742250368,6.088684573037627,18.45744015121884
"http://purl.obolibrary.org/obo/CHEBI_23982","['ethanols']","","['Any primary alcohol based on an ethanol skeleton.']","","","","","","","","","","","['ethanol']",1,1,18.16567118352082,18.16567118352082,18.16567118352082
"http://purl.obolibrary.org/obo/CHEBI_33232","['application']","","['Intended use of the molecular entity or part thereof by humans.']","","","","","","","","","","","['application']",1,1,16.723348979588458,16.723348979588458,16.723348979588458
"http://purl.obolibrary.org/obo/CHEBI_15734","['primary alcohol']","","['A primary alcohol is a compound in which a hydroxy group, -OH, is attached to a saturated carbon atom which has either three hydrogen atoms attached to it or only one other carbon atom and two hydrogen atoms attached to it.']","['Primary alcohol']","","","","","['CH3OR']","['[H]C([H])(O)[*]', '1-Alcohol', 'a primary alcohol', 'CH3OR', 'primary alcohols']","","","","['ethanol', 'methanol']",2,5,4.7316150514339,4.594643217473734,14.89267767969693
"http://purl.obolibrary.org/obo/CHMO_0001009","['high-performance liquid chromatography']","","['Column chromatography where the mobile phase is a liquid, the stationary phase consists of very small particles and the inlet pressure is relatively high.']","['high performance liquid chromatography', 'high pressure liquid chromatography', 'high-pressure liquid chromatography', 'HPLC']","","","","","","","","","","['high-performance liquid chromatography']",1,1,13.83024282772124,13.83024282772124,13.83024282772124
"http://purl.obolibrary.org/obo/CHEBI_23990","['ethyl ester']","","['Any carboxylic ester resulting from the formal condensation of the carboxy group of a carboxylic acid with ethanol.']","","","","","","['C3H5O2R']","['carboxylic acid ethyl ester', 'carboxylic acid ethyl esters', 'ethyl carboxylate', 'ethyl carboxylates', 'ethyl esters']","","","","['ethyl acetate', 'ethyl acetate extract']",2,2,7.579603439656302,5.470347886325974,13.469576478606788
"http://purl.obolibrary.org/obo/NCBITaxon_6960","['Hexapoda', 'Hexapoda']","","","['insects']","","","","","","['Atelocerata', 'hexapods', 'insects', 'Tracheata', 'Uniramia']","","","","['insect']",1,3,9.342753216709381,9.342751133214252,12.990059996577784
"http://purl.obolibrary.org/obo/NCBITaxon_3484","['Humulus']","","","","","","","","","","","","","['H. lupulus', 'humulus lupulus']",2,3,6.058607751458417,4.339629352207179,12.067547308987814
"http://purl.obolibrary.org/obo/CHEBI_23148","['chloromethanes']","","['A halomethane that is methane in which one or more hydrogens has been replaced by chlorine.']","","","","","","","","","","","['dichloromethane']",1,2,9.813144831655471,9.786025838919361,12.048011040434568
