"uri","label","skos_pref_label","iao_preferred_label","iao_definition","oio_exact_synonym","obo_external_ontology_notes","obo_homology_notes","rdf_comment","skos_alt_label","iao_alternative_term","oio_related_synonym","obi_isa_term","apollo_label","chebi_formula","iao_elucidation","oio_broad_synonym","iedb_alternative_term","skos_definition","oio_narrow_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_synonym"
"http://purl.obolibrary.org/obo/CHMO_0002820","['concentration']","","","['Experimental method output expressing the contribution of one constituent to the composition of a mixture.']","","","","['based heavily on https://doi.org/10.1351/goldbook.C01222']","","","","","","","","","","","","['concentration']",1,4,45.152313329967946,41.537702174793594,62.95938332110964,""
"http://purl.obolibrary.org/obo/OGMS_0000090","['treatment']","","['treatment']","['A planned process whose completion is hypothesized by a health care provider to eliminate, prevent, or alleviate the signs and symptoms of a disorder or pathological process', 'A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder']","","","","['Apollo-SV currently defines two subclasses of treatment.\n\nSee vaccination and antiviral treatment.']","","","","","['Treatment']","","","","","","","['treatment a', 'treatment']",2,5,28.365279775584487,17.305933560922167,56.09395077487036,""
"http://purl.obolibrary.org/obo/UBERON_0001913","['milk']","","['milk']","['An emulsion of fat globules within a fluid that is secreted by the mammary gland during lactation.']","['mammary gland milk', 'mammal milk']","['ncit:Milk refers specifically to cow milk']","['The detailed similarities of mammary glands in living monotremes, marsupials, and eutherians argue for a monophyletic origin of these glands, perhaps by the combination of parts of preexisting sebaceous and sweat glands.[well established][VHOG]']","['LanguaL curation note: See scope note for *MILK OR MILK COMPONENT*. for lowfat milk use *FAT PARTIALLY REMOVED*; for skim milk, use *FAT FULLY REMOVED* (both found in D3. TREATMENT APPLIED).', 'LanguaL term definition: Milk is a secretion from the mammary glands of female mammals.']","","","","","","","","","","","","['milk']",1,9,30.758429548723214,27.296668216448772,52.76942888249829,""
"http://purl.obolibrary.org/obo/UO_0000033","['day']","","['day']","['A time unit which is equal to 24 hours.']","","","","['""A time unit which is equal to 24 hours."" [Wikipedia:Wikipedia]']","","","","","","","","","","","","['day']",1,7,32.011956235371855,22.294653088915464,39.96963027569539,""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000243","['duration']","","","['A measurement datum that quantifies a temporal region that is occupied by a processual entity.']","","","","","","","","","['Duration']","","['A measurement datum that quantifies a temporal region that is occupied by a processual entity.']","","","","","['duration']",1,1,30.15174381222255,30.15174381222255,30.15174381222255,""
"http://snomed.info/id/228931002","['Milliliter/kilogram body weight (qualifier value)']","['mL/kg body weight']","","","","","","","['Milliliter/kilogram body weight', 'Millilitre/kilogram body weight', 'millilitre/kilogram body weight', 'milliliter/kilogram body weight']","","","","","","","","","","","['body weight']",1,4,18.857513713995953,18.857512151675675,28.58264357146596,""
"http://purl.obolibrary.org/obo/UBERON_0006539","['mammary gland fluid/secretion']","","","['A substance that is secreted by a mammary gland. The substance may differ depending on phase, with colostrum produced during pregancy/early lactation, and milk produced afterwards.']","","","","","","","['lactiferous gland fluid', 'lactiferous gland secretion', 'mammary gland fluid', 'mammary gland secreted fluid', 'mammary gland secretion', 'secretion of mammary gland']","","","","","","","","","['milk']",1,9,12.491804054552437,11.085892085675802,21.431047532079592,""
"http://purl.obolibrary.org/obo/OBI_0000066","['investigation']","","['investigation']","['a planned process that consists of parts: planning, study design execution, documentation and which produce conclusion(s).']","","","","","","","","['study']","","","","","","","","['investigation']",1,1,20.006098654304893,20.006098654304893,20.006098654304893,""
"http://purl.obolibrary.org/obo/UO_1000033","['day based unit']","","","","","","","","","","","","","","","","","","","['day']",1,7,16.005978117685927,11.147326544457732,19.984815137847693,""
"http://purl.obolibrary.org/obo/NCBITaxon_9913","['Bos taurus']","","","['Cattle (colloquially cows) are the most common type of large domesticated ungulates. They are a prominent modern member of the subfamily *Bovinae*, are the most widespread species of the genus *Bos*, and are most commonly classified collectively as *Bos taurus*... with three subspecies: *Bos taurus primigenius, Bos taurus indicus, Bos taurus taurus*.']","['bovine', 'cattle', 'cow', 'dairy cow', 'domestic cattle', 'domestic cow', 'Bos taurus Linnaeus, 1758']","","","","","['cattle']","['Bos bovis', 'Bos primigenius taurus', 'Bos Tauurus']","","","","","","","","","['dairy cattle', 'cow']",2,9,19.52086648515482,4.9254986573734465,19.043771133539703,""
