"uri","label","iao_definition","chebi_formula","oio_exact_synonym","oio_related_synonym","skos_alt_label","skos_pref_label","iao_alternative_term","rdf_comment","iao_preferred_label","apollo_label","iao_elucidation","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_narrow_synonym"
"http://purl.obolibrary.org/obo/NCBITaxon_1613","['Limosilactobacillus fermentum']","","","","['Bacillus casei d', 'Bacillus d', 'Lactobacillus cellobiosus', 'Lactobacillus fermentum', 'Lactobacterium fermentum']","","","","","","","","['amylolytic l. fermentum', 'l. fermentum ogie1', 'l. fermentum', 'l. fermentum k9']",4,5,81.32846396567346,65.61632829606927,425.36614121513054,""
"http://purl.obolibrary.org/obo/NCBITaxon_337330","['Lactiplantibacillus plantarum subsp. plantarum']","","","","['Lactobacillus plantarum subsp. plantarum']","","","","","","","","['amylolytic l. plantarum a6', 'l. plantarum', 'l. plantarum strain']",3,3,59.41614217444706,34.40711621952175,143.5178453202717,""
"http://purl.obolibrary.org/obo/NCBITaxon_2742598","['Limosilactobacillus']","","","","","","","","","","","","['l. fermentum', 'amylolytic l. fermentum', 'lactobacillus fermentum', 'l. fermentum ogie1', 'l. fermentum k9']",5,6,15.672894195414933,12.665576023987681,108.4027564496216,""
"http://snomed.info/id/14332009","['Lactobacillus plantarum (organism)']","","","","","['Lactobacillus arizonensis']","['Lactobacillus plantarum']","","","","","","['lactobacillus plantarum']",1,1,77.85298903912786,77.85298903912786,77.85298903912786,""
"http://purl.obolibrary.org/obo/NCBITaxon_1598","['Limosilactobacillus reuteri']","","","","['Lactobacillus reuteri', 'Lactobacillus fermentum biotype II', 'Lactobacillus fermentum subsp. reuteri']","","","","","","","","['lactobacillus fermentum']",1,1,66.25720765425383,66.25720765425383,66.25720765425383,""
"http://purl.obolibrary.org/obo/FOODON_00001053","['fermented dairy food product']","","","","","","","","","","","","['fermented food', 'amylolytic lactic acid bacteria']",2,3,17.641910568659256,11.833570332001903,32.90653607157417,""
"http://purl.obolibrary.org/obo/NCBITaxon_1036177","['Lactobacillus plantarum subsp. plantarum NC8']","","","['Lactobacillus plantarum subsp. plantarum str. NC8', 'Lactobacillus plantarum subsp. plantarum strain NC8']","['Lactobacillus plantarum subsp. plantarum CCUG 61730']","","","","","","","","['l. plantarum strain']",1,1,28.929602334790477,28.929602334790477,28.929602334790477,""
"http://purl.obolibrary.org/obo/PATO_0001678","['efficient']","[""An efficiency quality inhering in a bearer by virtue of the bearer's having efficiency.""]","","","","","","","","","","","['efficient']",1,2,22.610636401886474,22.610636401029176,27.836958687300275,""
"http://purl.obolibrary.org/obo/CHMO_0001624","['fermentation']","['The process in which cells (microorganisms, plant or animal cells) are cultured in a bioreactor in a liquid or solid medium to convert organic substances into biomass (growth) or into products.']","","","","","","","","","","","['fermentation']",1,3,18.70945061966256,18.70853371099523,26.012142664257876,""
"http://purl.obolibrary.org/obo/NCBITaxon_1590","['Lactiplantibacillus plantarum']","","","['Lactobacillus arizonae']","['Lactobacillus arabinosus', 'Lactobacillus arizonensis', 'Lactobacillus plantari', 'Lactobacillus plantarum', 'Lactobacterium plantarum', 'Streptobacterium plantarum']","","","","","","","","['amylolytic l. plantarum a6', 'l. plantarum']",2,2,11.752970611785322,9.373231416795658,23.079602987554058,""
"http://purl.obolibrary.org/obo/PATO_0000140","['position']","[""A spatial quality inhering in a bearer by virtue of the bearer's spatial location relative to other objects in the vicinity.""]","","['location', 'placement', 'relational spatial quality']","","","","","","['position']","","","['position']",1,1,20.18936712893294,20.18936712893294,20.18936712893294,""
"http://purl.obolibrary.org/obo/CHEBI_28053","['melibiose']","['A glycosylglucose formed by an alpha-(1->6)-linkage between D-galactose and D-glucose.']","['C12H22O11']","['alpha-D-galactopyranosyl-(1->6)-D-glucopyranose', 'melibiose', 'Melibiose']","['(Gal)1 (Glc)1', '6-O-(alpha-D-Galactopyranosyl)-D-glucopyranose', '6-O-alpha-D-galactopyranosyl-D-glucopyranose', 'alpha-D-Gal-(1->6)-D-Glc', 'alpha-D-galactosyl-(1->6)-D-glucose', 'alpha-D-Galp-(1->6)-D-Glcp', 'D-Melibiose', 'D-mellibiose', 'Gal-alpha(1,6)Glc']","","","","","","","","['melibiose']",1,1,17.47876059645335,17.47876059645335,17.47876059645335,""
"http://purl.obolibrary.org/obo/CHEBI_30849","['L-arabinose']","['The L-enantiomer of arabinose.']","['C5H10O5']","['L-arabino-pentose', 'L-arabinose']","['L-Ara']","","","","","","","","['l-arabinose']",1,1,15.70271871831991,15.70271871831991,15.70271871831991,""
"http://purl.obolibrary.org/obo/FOODON_03316095","['fermented product']","","","","","","","","[""SIREN DB annotation:\n\n* formed as a result of 'microbial/enzymatic modification process' (http://purl.obolibrary.org/obo/FOODON_03460119)""]","","","","['fermented product']",1,1,15.085836664283754,15.085836664283754,15.085836664283754,""
"http://purl.obolibrary.org/obo/CHEBI_65327","['D-xylose']","['Any xylose with D-configuration.']","['C10H15O5']","","","","","","","","","","['d-xylose']",1,1,13.489354845648762,13.489354845648762,13.489354845648762,""
"http://purl.obolibrary.org/obo/PATO_0000515","['tolerant to']","['A resistance quality inhering in a bearer by virtue of its disposition to endure or being insensitive to a stimulus.']","","['tolerant']","","","","","","","","","['tolerant']",1,1,11.868916461183655,11.868916461183655,11.868916461183655,""
