"uri","label","skos_alt_label","skos_pref_label","iao_definition","chebi_formula","oio_exact_synonym","oio_related_synonym","iao_alternative_term","skos_definition","iao_preferred_label","rdf_comment","oio_broad_synonym","apollo_label","iao_elucidation","oio_narrow_synonym","obi_isa_term","iedb_alternative_term","oio_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_obo_unique_label","iao_nl_axiom"
"http://purl.obolibrary.org/obo/FOODON_03302458","['cheddar cheese']","","","","","","","['cheddar']","","","[""SIREN DB annotation:\n\n* has quality 'solid' (http://purl.obolibrary.org/obo/FOODON_03430151)\n\n* derives from 'curd' (http://purl.obolibrary.org/obo/FOODON_03420245)\n\n* formed as a result of 'curing or aging process' (http://purl.obolibrary.org/obo/FOODON_03460253)\n\n* formed as a result of 'interior bacteria curing process' (http://purl.obolibrary.org/obo/FOODON_03460328)""]","","","","","","","","['cheddar cheese', 'cheddar']",2,5,41.73475268751747,37.066213121276895,120.14320561883446,"",""
"http://snomed.info/id/14332009","['Lactobacillus plantarum (organism)']","['Lactobacillus arizonensis']","['Lactobacillus plantarum']","","","","","","","","","","","","","","","","['Lactobacillus plantarum']",1,1,37.4579287227491,37.4579287227491,37.4579287227491,"",""
"http://purl.obolibrary.org/obo/GO_0019268","['obsolete glutamate biosynthetic process, using glutamate dehydrogenase (NAD(P)+)']","","","['OBSOLETE. The chemical reactions and pathways resulting in the formation of glutamate, catalyzed by the enzyme glutamate dehydrogenase (NADP+).']","","['glutamate anabolism, using glutamate dehydrogenase (NAD(P)+)', 'glutamate biosynthetic process, using glutamate dehydrogenase (NAD(P)+)', 'glutamate formation, using glutamate dehydrogenase (NAD(P)+)', 'glutamate synthesis, using glutamate dehydrogenase (NAD(P)+)']","","","","","['This term was made obsolete because it represents a molecular function.']","","","","","","","","['glutamate dehydrogenase']",1,2,30.246194170798507,30.235627142291264,37.22442344021181,"",""
"http://snomed.info/id/226820002","['Cheddar cheese (substance)']","","['Cheddar cheese']","","","","","","","","","","","","","","","","['cheese']",1,3,23.00876729371713,22.96659313565996,31.93250237487331,"",""
"http://purl.obolibrary.org/obo/OBI_0000181","['population']","","","['a population is a collection of individuals from the same taxonomic class living, counted or sampled at a particular site or in a particular area']","","","","","","['population']","","","","","","","","","['population']",1,2,24.217712699904094,24.170174684789565,29.756975532749397,"",""
"http://purl.obolibrary.org/obo/PATO_0000068","['qualitative']","","","","","","","","","","['TODO: define this or obsolete it and move children somewhere else.']","","","","","","","","['intensity', 'qualitative', 'presence']",3,4,19.46517828741346,6.498091644237297,29.547795467619785,"",""
"http://purl.obolibrary.org/obo/GO_1904183","['negative regulation of pyruvate dehydrogenase activity']","","","['Any process that stops, prevents or reduces the frequency, rate or extent of pyruvate dehydrogenase activity.']","","['down regulation of pyruvate dehydrogenase activity', 'down regulation of pyruvic acid dehydrogenase activity', 'down regulation of pyruvic dehydrogenase activity', 'down-regulation of pyruvate dehydrogenase activity', 'down-regulation of pyruvic acid dehydrogenase activity', 'down-regulation of pyruvic dehydrogenase activity', 'downregulation of pyruvate dehydrogenase activity', 'downregulation of pyruvic acid dehydrogenase activity', 'downregulation of pyruvic dehydrogenase activity', 'negative regulation of pyruvic acid dehydrogenase activity', 'negative regulation of pyruvic dehydrogenase activity']","","","","","","","","","['inhibition of pyruvate dehydrogenase activity', 'inhibition of pyruvic acid dehydrogenase activity', 'inhibition of pyruvic dehydrogenase activity']","","","","['dehydrogenase activity']",1,1,28.961006042414624,28.961006042414624,28.961006042414624,"",""
"http://purl.obolibrary.org/obo/PATO_0000044","['frequency']","","","[""A physical quality which inheres in a bearer by virtue of the number of the bearer's repetitive actions in a particular time.""]","","","","","","","","","","","","","","","['frequency']",1,1,22.40274993627507,22.40274993627507,22.40274993627507,"",""
"http://snomed.info/id/75284005","['Glutamate dehydrogenase (substance)']","['GDH - Glutamate dehydrogenase', 'Glutamic dehydrogenase']","['Glutamate dehydrogenase']","","","","","","","","","","","","","","","","['glutamate dehydrogenase']",1,2,17.562650036189908,17.56261455871391,21.622114797690724,"",""
"http://purl.obolibrary.org/obo/CHEBI_29987","['Glutamate', 'glutamate(2-)']","","","['A dicarboxylic acid anion that has formula C5H7NO4.', 'A dicarboxylic acid dianion that is the conjugate base of glutamate(1-).']","['C5H7NO4']","['glutamate', '2-aminopentanedioate', 'glutamate(2-)']","['C5H7NO4', 'glutamic acid dianion', 'InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-2', 'InChIKey=WHUUTDBJXJRKMK-UHFFFAOYSA-L', 'NC(CCC([O-])=O)C([O-])=O']","","","","","","","","","","","","['glutamate']",1,5,12.96017654888485,12.94883003611668,20.98560681748588,"",""
