"uri","iao_preferred_label","iao_definition","iao_alternative_term","label","skos_pref_label","skos_alt_label","apollo_label","iao_elucidation","oio_exact_synonym","oio_related_synonym","skos_definition","chebi_formula","rdf_comment","oio_broad_synonym","oio_synonym","obo_external_ontology_notes","obo_homology_notes","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_narrow_synonym"
"http://purl.obolibrary.org/obo/UBERON_0001913","['milk']","['An emulsion of fat globules within a fluid that is secreted by the mammary gland during lactation.']","","['milk']","","","","","['mammary gland milk', 'mammal milk']","","","","['LanguaL curation note: See scope note for *MILK OR MILK COMPONENT*. for lowfat milk use *FAT PARTIALLY REMOVED*; for skim milk, use *FAT FULLY REMOVED* (both found in D3. TREATMENT APPLIED).', 'LanguaL term definition: Milk is a secretion from the mammary glands of female mammals.']","","","['ncit:Milk refers specifically to cow milk']","['The detailed similarities of mammary glands in living monotremes, marsupials, and eutherians argue for a monophyletic origin of these glands, perhaps by the combination of parts of preexisting sebaceous and sweat glands.[well established][VHOG]']","['milk']",1,1,46.36824119219053,46.36824119219053,46.36824119219053,""
"http://snomed.info/id/66543000","","","","['Campylobacter jejuni (organism)']","['Campylobacter jejuni']","['Campylobacter fetus ss. jejuni']","","","","","","","","","","","","['campylobacter jejuni']",1,1,25.859568738497003,25.859568738497003,25.859568738497003,""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000243","","['A measurement datum that quantifies a temporal region that is occupied by a processual entity.']","","['duration']","","","['Duration']","['A measurement datum that quantifies a temporal region that is occupied by a processual entity.']","","","","","","","","","","['duration']",1,1,21.822679286072557,21.822679286072557,21.822679286072557,""
"http://purl.obolibrary.org/obo/XCO_0000020","","['A liquid consumed by an organism.']","","['drink']","","","","","","","","","","","","","","['drink']",1,1,20.4802071235192,20.4802071235192,20.4802071235192,""
"http://purl.obolibrary.org/obo/NCBITaxon_9913","","['Cattle (colloquially cows) are the most common type of large domesticated ungulates. They are a prominent modern member of the subfamily *Bovinae*, are the most widespread species of the genus *Bos*, and are most commonly classified collectively as *Bos taurus*... with three subspecies: *Bos taurus primigenius, Bos taurus indicus, Bos taurus taurus*.']","['cattle']","['Bos taurus']","","","","","['bovine', 'cattle', 'cow', 'dairy cow', 'domestic cattle', 'domestic cow', 'Bos taurus Linnaeus, 1758']","['Bos bovis', 'Bos primigenius taurus', 'Bos Tauurus']","","","","","","","","['cow']",1,2,16.578863174478208,16.578838538526526,20.41094444645433,""
"http://purl.obolibrary.org/obo/UBERON_0006539","","['A substance that is secreted by a mammary gland. The substance may differ depending on phase, with colostrum produced during pregancy/early lactation, and milk produced afterwards.']","","['mammary gland fluid/secretion']","","","","","","['lactiferous gland fluid', 'lactiferous gland secretion', 'mammary gland fluid', 'mammary gland secreted fluid', 'mammary gland secretion', 'secretion of mammary gland']","","","","","","","","['milk']",1,1,18.831357511590337,18.831357511590337,18.831357511590337,""
"http://purl.obolibrary.org/obo/FOODON_03307455","","","","['cow milk (raw)']","","","","","['milk']","","","","[""SIREN DB annotation:\n\n* has quality 'liquid, low viscosity, with no visible particles' (http://purl.obolibrary.org/obo/FOODON_03430123)\n\n* has quality 'not heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440003)\n\n* derives from 'milk (mammary secretion)' (http://purl.obolibrary.org/obo/UBERON_0001913)\n\n* has consumer 'not pasteurized claim or use' (http://purl.obolibrary.org/obo/FOODON_03510121)""]","['raw milk']","","","","['raw milk']",1,1,18.258219055567157,18.258219055567157,18.258219055567157,""
"http://purl.obolibrary.org/obo/NBO_0000134","","['""A feeding behavior associated with the intake of food."" [NBO:GVG]']","","['food consumption']","","","","","","","","","","","","","","['food consumption']",1,1,14.446905026888723,14.446905026888723,14.446905026888723,""
"http://purl.obolibrary.org/obo/PATO_0000161","","[""A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.""]","","['rate']","","","","","","","","","","","","","","['rate']",1,1,13.240258512512902,13.240258512512902,13.240258512512902,""
"http://purl.obolibrary.org/obo/OBI_0001000","['questionnaire']","['A document with a set of printed or written questions with a choice of answers, devised for the purposes of a survey or statistical study.']","","['questionnaire']","","","","","","","","","","","","","","['questionnaire']",1,1,11.778481372888667,11.778481372888667,11.778481372888667,""
"http://purl.obolibrary.org/obo/PATO_0001309","","[""A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.""]","","['duration']","","","","","['period']","['time']","","","","","","","","['period']",1,1,11.006463260289232,11.006463260289232,11.006463260289232,""
"http://snomed.info/id/261324000","","","","['Vehicle (physical object)']","['Vehicle']","","","","","","","","","","","","","['vehicle']",1,2,7.943350821913242,7.94327749859888,9.779321716048392,""
"http://purl.obolibrary.org/obo/SYMP_0000039","","['Enteritis is a digestive system symptom involving the inflammation of the small intestines and especially of the human ileum.']","","['enteritis']","","","","","","","","","","","","","","['enteritis']",1,1,8.965648301335012,8.965648301335012,8.965648301335012,""
"http://purl.obolibrary.org/obo/GO_0007588","","['The elimination by an organism of the waste products that arise as a result of metabolic activity. These products include water, carbon dioxide (CO2), and nitrogenous compounds.']","","['excretion']","","","","","","","","","","","","","","['excrete', 'excretion']",2,2,7.255656669644336,3.6289714423479422,8.935575834869825,""
