"uri","label","skos_pref_label","iao_definition","oio_narrow_synonym","rdf_comment","oio_exact_synonym","iao_preferred_label","apollo_label","oio_related_synonym","skos_alt_label","chebi_formula","iao_alternative_term","obi_isa_term","iedb_alternative_term","iao_elucidation","oio_broad_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_synonym"
"http://purl.obolibrary.org/obo/OBI_0302893","['storage', 'storage']","","['A maintenance process by which material entities that are not actively metabolizing are placed in well identified location and possibly under controlled environment in ad-hoc devices/structures in order to preserve and protect them from decay/alteration and maintain availability', 'A maintenance process by which material entities that are not actively metabolizing are placed in well identified location and possibly under controlled environment in ad-hoc devices/structures in order to preserve and protect them from decay/alteration and maintain availability.']","","","","['storage']","","","","","","","","","","['storage']",1,3,34.28887193591389,34.26596638103532,47.643028566600535,""
"http://purl.obolibrary.org/obo/PATO_0000169","['viability']","","[""An organismal quality inhering in a bearer or a population by virtue of the bearer's disposition to survive and develop normally or the number of surviving individuals in a given population.""]","","","","['viability']","","","","","","","","","","['viability']",1,2,20.363378492764987,20.359891756638525,25.065966992492736,""
"http://purl.obolibrary.org/obo/OGMS_0000090","['treatment']","","['A planned process whose completion is hypothesized by a health care provider to eliminate, prevent, or alleviate the signs and symptoms of a disorder or pathological process', 'A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder']","","['Apollo-SV currently defines two subclasses of treatment.\n\nSee vaccination and antiviral treatment.']","","['treatment']","['Treatment']","","","","","","","","","['treatment']",1,3,23.36990743653178,16.362261034435956,22.74991054416174,""
"http://purl.obolibrary.org/obo/PATO_0001167","['damaged']","","['A structural quality inhering in a bearer by virtue of the bearer being harmed or injured or spoiled, such that its functionality is impaired.']","","","","['damaged']","","","","","","","","","","['damage']",1,2,17.158298224732366,17.158298224732366,21.124343001885247,""
"http://purl.obolibrary.org/obo/UO_0000035","['month']","","[""A time unit which is approximately equal to the length of time of one of cycle of the moon's phases which in science is taken to be equal to 30 days.""]","","['""A time unit which is approximately equal to the length of time of one of cycle of the moon\'s phases which in science is taken to be equal to 30 days."" [Wikipedia:Wikipedia]']","","['month']","","","","","","","","","","['month']",1,1,19.060342353156972,19.060342353156972,19.060342353156972,""
"http://purl.obolibrary.org/obo/OBI_0000838","['material maintenance']","","['a process with that achieves the objective to maintain some or all of the characteristics of an input material over time', 'A process with that achieves the objective to maintain some or all of the characteristics of an input material over time.']","","","","['material maintenance']","","","","","","","","","","['storage']",1,3,12.330674270184058,12.322437168167014,17.132983190517656,""
"http://snomed.info/id/708058007","['Flow cytometry technique (qualifier value)']","['Flow cytometry']","","","","","","","","['Flow cytometry technique']","","","","","","","['flow cytometry']",1,1,17.114671500458833,17.114671500458833,17.114671500458833,""
"http://purl.obolibrary.org/obo/IAO_0000027","['data item', 'data item']","","['a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.', 'An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.']","","","","['data item', 'data item']","","","","","['data']","","","","","['datum', 'plate count datum']",2,3,8.555960980175383,5.697795500447042,15.844306316992569,""
"http://snomed.info/id/84408007","['Bacillus cereus (organism)']","['Bacillus cereus']","","","","","","","","","","","","","","","['bacillus cereus endospore']",1,2,12.62993324513969,12.596489728450322,15.508097956938236,""
"http://purl.obolibrary.org/obo/FOODON_03440022","['heat-treated']","","","","","","","","","","","","","","","","['heat-treated']",1,2,12.21686886767755,12.216100327381195,15.03978367091636,""
