"uri","iao_definition","oio_exact_synonym","oio_narrow_synonym","label","iao_preferred_label","apollo_label","iao_elucidation","oio_related_synonym","rdf_comment","skos_alt_label","skos_pref_label","iao_alternative_term","iao_nl_axiom","skos_definition","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_obo_unique_label"
"http://purl.obolibrary.org/obo/NCBITaxon_644","","","","['Aeromonas hydrophila']","","","","['Aeromonas dourgesi', 'Aeromonas liquefaciens', 'Bacillus hydrophilus', 'Bacillus hydrophilus fuscus', 'Bacterium hydrophilum', 'Proteus hydrophilus', 'Proteus ichthyosmius', 'Pseudomonas hydrophila']","","","","","","","['aeromonas hydrophila', 'a. hydrophila']",2,3,69.8140334741204,54.88187313913969,152.61432411862285,""
"http://purl.obolibrary.org/obo/PATO_0000033","[""A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.""]","['concentration']","","['concentration of']","['concentration of']","","","","","","","","","","['concentration']",1,1,46.67662943884787,46.67662943884787,46.67662943884787,""
"http://purl.obolibrary.org/obo/IAO_0000027","['a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.', 'An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.']","","","['data item', 'data item']","['data item', 'data item']","","","","","","","['data']","","","['datum', 'variable']",2,4,11.535643458440088,8.889851074935684,26.948989096180572,""
"http://purl.obolibrary.org/obo/NCBITaxon_642","","","","['Aeromonas']","","","","","","","","","","","['aeromonas hydrophila', 'a. hydrophila']",2,3,11.374647509179002,8.941783342637024,24.86511744582742,""
"http://purl.obolibrary.org/obo/ENVO_09200001","['The temperature of a air.', 'The temperature of some air.']","['air temperature']","","['temperature of air']","","","","","","","","","","","['temperature']",1,3,13.997891777039115,13.996552241281263,19.460654658038337,""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000032","['A measurement datum that is the output of counting.']","","","['count']","","['count']","['A measurement datum that is the output of counting.']","","","","","","","","['count']",1,2,14.198964368633266,14.161180970833545,17.43445883860806,""
"http://snomed.info/id/121826005","","","","['Optical density measurement (procedure)']","","","","","","","['Optical density measurement']","","","","['optical density measurement']",1,2,11.666070496318065,11.427810505288765,14.069285060350607,""
"http://snomed.info/id/250573004","","","","['Hydrogen ion concentration measurement (procedure)']","","","","","","['Hydrogen ion concentration', 'Hydrogen ion concentration - observation']","['Hydrogen ion concentration measurement']","","","","['hydrogen ion concentration']",1,1,13.167425490119758,13.167425490119758,13.167425490119758,""
"http://purl.obolibrary.org/obo/CHMO_0002354","['The measurement of pH, the negative logarithm to base ten of the hydrogen ion activity in a solution. Operationally the pH of a solution X, pH(X), is measured relative to that of a standard reference solution, pH(S), and defined as pH(X) = pH(S) - (E(X) - E(S))/(RT/F)ln 10, where E(X) and E(S) are the electromotive forces measured in cells containing the solution X and the reference solution respectively.']","['measurement of pH', 'pH sensing', 'sensing of pH']","","['pH measurement']","","","","","","","","","","","['ph']",1,3,9.464784196643606,9.082894999557062,12.628758842500664,""
"http://purl.obolibrary.org/obo/STATO_0000258","['a variable is a data item which can assume any of a set of values, either as determined by an agent or as randomly occuring through observation.']","","","['variable']","","['variable']","","","","","","","","","['variable']",1,1,11.441935598085035,11.441935598085035,11.441935598085035,""
"http://purl.obolibrary.org/obo/GO_0040007","['The increase in size or mass of an entire organism, a part of an organism or a cell.']","","","['growth']","","","","['growth pattern', 'non-developmental growth']","[""See also the biological process term 'cell growth ; GO:0016049'.""]","","","","","","['growth']",1,5,7.100660038275529,7.006308723842137,11.354820451760808,""
