"uri","label","skos_alt_label","skos_pref_label","iao_definition","oio_exact_synonym","iao_preferred_label","iao_elucidation","iao_nl_axiom","oio_related_synonym","rdf_comment","chebi_formula","iao_alternative_term","apollo_label","oio_narrow_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_broad_synonym"
"http://snomed.info/id/7224005","['Lactobacillus hilgardii (organism)']","","['Lactobacillus hilgardii']","","","","","","","","","","","","['lactobacillus hilgardii', 'lactobacillus hilgardii B706']",2,2,39.83557780336161,36.724416875322504,90.42612133880614,""
"http://purl.obolibrary.org/obo/GO_0043687","['post-translational protein modification']","","","['The process of covalently altering one or more amino acids in a protein after the protein has been completely translated and released from the ribosome.']","['post-translational amino acid modification', 'post-translational modification', 'posttranslational amino acid modification', 'posttranslational modification', 'posttranslational protein modification', 'PTM']","","","","","['This term should only be used to annotate a protein modification process that occurs after the protein has been released from the ribosome, and is therefore strictly post-translational. Modification of a free protein (one not attached to a ribosome) and modification of a C-terminal residue are post-translational processes. Some protein modifications occur while the protein is still in the ribosome but before translation has been completed; these modification processes are considered co-translational and should not be annotated using this term.']","","","","","['modification', 'posttranslational']",2,2,35.061498280933144,18.615156225572903,45.83589118131384,""
"http://purl.obolibrary.org/obo/NCBITaxon_1588","['Lentilactobacillus hilgardii']","","","","","","","","['Lactobacillus Type II']","","","","","","['wine-related l. hilgardii strain B706', 'l. hilgardii b706 cell']",2,2,18.43004357817964,14.562759155763539,35.85771915501162,""
"http://snomed.info/id/14332009","['Lactobacillus plantarum (organism)']","['Lactobacillus arizonensis']","['Lactobacillus plantarum']","","","","","","","","","","","","['Lactobacillus']",1,1,26.791840662514403,26.791840662514403,26.791840662514403,""
"http://purl.obolibrary.org/obo/GO_0030115","['S-layer']","","","['A crystalline protein layer surrounding some bacteria.']","","","","","","","","","","","['s-layer', 's-layer protein']",2,6,8.89842675772653,6.22094490332118,21.297651965107235,""
"http://purl.obolibrary.org/obo/CHEBI_18295","['histamine', 'Histamine']","","","['A member of the class of imidazoles that is 1H-imidazole substituted at position C-4 by a 2-aminoethyl group.', 'An aralkylamine that has formula C5H9N3.', 'An aralkylamino compound that has formula C5H9N3.']","['2-(1H-imidazol-4-yl)ethanamine', 'Histamine', 'HISTAMINE']","","","","['1H-Imidazole-4-ethanamine', '2-(4-Imidazolyl)ethylamine', 'C5H9N3', 'InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8)', 'InChIKey=NTYJJOPFIAHURM-UHFFFAOYSA-N', 'NCCc1c[nH]cn1']","","['C5H9N3']","","","","['histamine']",1,1,19.736834475077373,19.736834475077373,19.736834475077373,""
"http://purl.obolibrary.org/obo/BFO_0000019","['quality', 'quality']","","","","","['quality']","['a quality is a specifically dependent continuant that, in contrast to roles and dispositions, does not require any further process in order to be realized. (axiom label in BFO2 Reference: [055-001])']","['If an entity is a quality at any time that it exists, then it is a quality at every time that it exists. (axiom label in BFO2 Reference: [105-001])']","","","","","","","['quality']",1,1,19.454779840107424,19.454779840107424,19.454779840107424,""
"http://snomed.info/id/43690008","['Genus Lactobacillus (organism)']","['Genus Lactobacillus', 'Lactobacillus species']","['Lactobacillus']","","","","","","","","","","","","['Lactobacillus', 'lactobacillus hilgardii', 'lactobacillus hilgardii B706']",3,3,4.725040268791704,3.9633015618268694,16.531594710780624,""
"http://purl.obolibrary.org/obo/PR_000000001","['protein']","","","['An amino acid chain that is produced de novo by ribosome-mediated translation of a genetically-encoded mRNA, and any derivatives thereof.', 'An amino acid chain that is produced de novo by ribosome-mediated translation of a genetically-encoded mRNA.']","['natural protein']","['protein']","","","","['The definition above excludes protein complexes, which some also consider a protein. Those who wish to refer to a class representing both senses of the word are directed to CHEBI:36080. Note that the definition allows for experimentally-manipulated genes, and allows for artifically-produced derivatives that mimic those found naturally. Proteins (in the sense defined here) that descended from a common ancestor can be classified into families and superfamilies composed of products of evolutionarily-related genes. The domain architecture of a protein is described by the order of its constituent domains. Proteins with the same domains in the same order are defined as homeomorphic [PRO:WCB].', 'Proteins descended from a common ancestor can be classified into families and superfamilies composed of products of evolutionarily-related genes. The domain architecture of a protein is described by the order of its constituent domains. Proteins with the same domains in the same order are defined as homeomorphic [PRO:WCB].']","","","","['native protein']","['protein']",1,1,16.24188961364105,16.24188961364105,16.24188961364105,""
"http://purl.obolibrary.org/obo/GO_0047485","['protein N-terminus binding']","","","['Interacting selectively and non-covalently with a protein N-terminus, the end of any peptide chain at which the 2-amino (or 2-imino) function of a constituent amino acid is not attached in peptide linkage to another amino-acid residue.']","['N-terminal binding', 'N-terminal end binding']","","","","['amino-terminal binding', 'amino-terminus binding']","","","","","['NH2-terminal binding', 'NH2-terminus binding']","['n-terminal domain']",1,1,16.169886627241652,16.169886627241652,16.169886627241652,""
"http://purl.obolibrary.org/obo/GO_0008022","['protein C-terminus binding']","","","['Interacting selectively and non-covalently with a protein C-terminus, the end of any peptide chain at which the 1-carboxyl function of a constituent amino acid is not attached in peptide linkage to another amino-acid residue.']","['C-terminal binding', 'C-terminal end binding']","","","","['carboxy-terminal binding', 'carboxy-terminus binding', 'carboxyl-terminal binding', 'carboxyl-terminus binding', 'carboxylate-terminal binding']","","","","","['carboxylate-terminus binding', 'COOH-terminal binding', 'COOH-terminus binding']","['c-terminal domain']",1,1,16.089992783215155,16.089992783215155,16.089992783215155,""
"http://purl.obolibrary.org/obo/XCO_0000072","['wine']","","","['Alcoholic drink made by fermenting the juice of grapes.']","","","","","","","","","","","['wine']",1,3,8.839190974268622,8.83834840245281,12.288743902249305,""
"http://purl.obolibrary.org/obo/GO_0071555","['cell wall organization']","","","['A process that results in the assembly, arrangement of constituent parts, or disassembly of the cell wall, the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis.']","['cell wall organisation', 'cell wall organisation in other organism', 'cell wall organization at cellular level', 'cell wall organization in other organism', 'cellular cell wall organisation', 'cellular cell wall organization']","","","","['cell wall organization and biogenesis']","","","","","","['cell wall']",1,1,12.119880419593994,12.119880419593994,12.119880419593994,""
"http://snomed.info/id/386945006","['Amino acid derivative (substance)']","","['Amino acid derivative']","","","","","","","","","","","","['amino acid sequence']",1,1,11.174930413286942,11.174930413286942,11.174930413286942,""
