"uri","label","skos_pref_label","iao_definition","oio_synonym","oio_exact_synonym","oio_related_synonym","iao_alternative_term","iao_preferred_label","skos_alt_label","apollo_label","iao_elucidation","rdf_comment","oio_broad_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","obo_homology_notes","obo_relational_adjective","oio_narrow_synonym","iao_nl_axiom"
"http://purl.obolibrary.org/obo/NCBITaxon_28901","['Salmonella enterica', 'Salmonella enterica']","","","","","['Bacillus cholerae-suis', 'Salmonella cholerae-suis', 'Salmonella choleraesuis', 'Salmonella enterica ser. choleraesuis']","['Bacillus cholerae-suis', 'Salmonella cholerae-suis', 'Salmonella choleraesuis', 'Salmonella enterica ser. choleraesuis']","","","","","","","['salmonella', 'Salmonella', 'salmonella enterica']",3,11,50.601515914133685,41.1420267724914,253.41057989498736,"","","",""
"http://purl.obolibrary.org/obo/BTO_0001487","['adipose tissue']","","['Connective tissue in which fat is stored and which has the cells distended by droplets of fat.']","","","['adipose', 'bodyfat', 'fat', 'fat tissue']","","","","","","","","['adipose trim', 'adipose tissue']",2,4,42.85564303075585,33.82548709029402,102.53970230608448,"","","",""
"http://purl.obolibrary.org/obo/NCBITaxon_590","['Salmonella', 'Salmonella']","","","","","","","","","","","","","['salmonella', 'Salmonella', 'salmonella enterica']",3,11,14.780467022472097,12.017394320367055,74.02004962932772,"","","",""
"http://purl.obolibrary.org/obo/FOODON_03450014","['boiling']","","['Cooked in boiling water at 100 degrees C (212 degrees F).']","","","","","","","","","","","['boil', 'boil water']",2,2,12.771878220652358,9.35342037378194,23.030822477696308,"","","",""
"http://purl.obolibrary.org/obo/UBERON_0002507","['abdominal lymph node']","","['A lymph node that is part of an abdomen [Automatically generated definition].']","","['abdomen lymph node', 'lymph node of abdomen']","['parietal abdominal lymph node']","","","","","","","","['lymph node']",1,1,23.003231194855037,23.003231194855037,23.003231194855037,"","","",""
"http://purl.obolibrary.org/obo/FOODON_00001282","['ground beef food product']","","['A ground beef product is made of beef that has been finely chopped with a knife or a meat grinder (American English) or mincing machine (British English). Ground beef is used in many recipes including hamburgers and spaghetti Bolognese.']","","['beef mince', 'hamburger meat', 'minced beef', 'beef mince', 'ground beef']","","","","","","","","","['ground beef']",1,1,22.697801978791187,22.697801978791187,22.697801978791187,"","","",""
"http://purl.obolibrary.org/obo/FOODON_03414374","['bovine']","","['The biological subfamily *Bovinae* includes a diverse group of 10 genera of medium- to large-sized ungulates, including domestic cattle, the bison, African buffalo, the water buffalo, the yak, and the four-horned and spiral-horned antelopes. The evolutionary relationship between the members of the group is obscure, and their classification into loose tribes rather than formal subgroups reflects this uncertainty. General characteristics include cloven hoofs and usually at least one of the sexes of a species having true horns.']","['bovinae']","","","","","","","","","","['cattle', 'bovine']",2,3,11.987892937646594,7.65448290926289,21.285420282814673,"","","",""
"http://purl.obolibrary.org/obo/BTO_0000421","['connective tissue']","","['The tissue which binds together and is the support of the various structures of the body. It is made up of fibroblasts, fibroglia, collagen fibrils, and elastic fibrils. It is derived from the mesoderm and in a broad sense includes the collagenous, elastic, mucous, reticular, osseous, and cartilaginous tissue. Some also include the blood in this group of tissues. Connective tissue is classified according to concentration of fibers as loose (areolar) and dense, the latter having more abundant fibers than the former.']","","","['Bindegewebe']","","","","","","","","['adipose trim', 'adipose tissue']",2,4,8.158231365170007,6.439202172842132,19.52001081697314,"","","",""
"http://purl.obolibrary.org/obo/PATO_0000169","['viability']","","[""An organismal quality inhering in a bearer or a population by virtue of the bearer's disposition to survive and develop normally or the number of surviving individuals in a given population.""]","","","","","['viability']","","","","","","['viability']",1,1,18.66708720473003,18.66708720473003,18.66708720473003,"","","",""
"http://purl.obolibrary.org/obo/NCBITaxon_9913","['Bos taurus']","","['Cattle (colloquially cows) are the most common type of large domesticated ungulates. They are a prominent modern member of the subfamily *Bovinae*, are the most widespread species of the genus *Bos*, and are most commonly classified collectively as *Bos taurus*... with three subspecies: *Bos taurus primigenius, Bos taurus indicus, Bos taurus taurus*.']","","['bovine', 'cattle', 'cow', 'dairy cow', 'domestic cattle', 'domestic cow', 'Bos taurus Linnaeus, 1758']","['Bos bovis', 'Bos primigenius taurus', 'Bos Tauurus']","['cattle']","","","","","","","['cattle']",1,1,14.609282764705188,14.609282764705188,14.609282764705188,"","","",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000454","['efficacy']","","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","","","","","","","['efficacy']","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","['We often say in natural language it is the efficacy of the triggering planned process such as vaccination. However, processes do not have properties such as roles, dispositions, functions, qualities in BFO. And this is also not a process profile, because it is not the process of a quality changing values (determinates) over time. Nevertheless, it is natural to classify efficacies based on the type of triggering process because that is what differentiates what happens when they are realized. For example, a vaccination efficacy will be realized through different processes than a quarantine efficacy. For individual treatments, the triggering process is a treatment (as defined by OGMS).']","","['efficacy']",1,1,14.05620558310601,14.05620558310601,14.05620558310601,"","","",""
