"uri","label","skos_alt_label","skos_pref_label","iao_definition","oio_exact_synonym","rdf_comment","iao_alternative_term","iao_preferred_label","oio_related_synonym","chebi_formula","oio_narrow_synonym","oio_synonym","oio_broad_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_elucidation","iao_nl_axiom"
"http://purl.obolibrary.org/obo/FOODON_00002933","['hazelnut']","","","['The hazelnut is the nut of the hazel and therefore includes any of the nuts deriving from species of the genus Corylus, especially the nuts of the species Corylus avellana. It also is known as cobnut or filbert nut according to species.']","","","","","","","['cobnut']","","","['hazelnut']",1,2,52.437173605574266,51.637040155381754,63.57265350896536,"",""
"http://purl.obolibrary.org/obo/FOODON_03306867","['peanut butter']","","","","","[""SIREN DB annotation:\n\n* has quality 'semisolid' (http://purl.obolibrary.org/obo/FOODON_03430144)\n\n* has quality 'fully heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440014)\n\n* derives from 'seed, skin removed, germ present' (http://purl.obolibrary.org/obo/FOODON_03420132)""]","","","","","","","","['peanut butter']",1,1,62.221880655327965,62.221880655327965,62.221880655327965,"",""
"http://snomed.info/id/442571000124108","['Tree nut (substance)']","","['Tree nut']","","","","","","","","","","","['tree nut', 'Brazil nut']",2,2,35.4333797406947,21.25948298892617,52.346987424835476,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_32201","['Carya illinoinensis']","","","['The pecan, *Carya illinoinensis*, is a species of hickory, native to south-central North America, in Mexico from Coahuila south to Jalisco and Veracruz, in the United States from southern Iowa, Illinois, Missouri, and Indiana east to western Kentucky, southwestern Ohio, North Carolina, South Carolina, and western Tennessee, south through Georgia, Alabama, Mississippi, Louisiana, Texas, Oklahoma, Arkansas, and Florida, and west into New Mexico.\n\n\n\n""Pecan"" is from an Algonquian word, meaning a nut requiring a stone to crack. In Mexico, pecans and walnuts share the same Spanish name, nuez, which is a cognate of the English word nut.']","['pecan']","['LanguaL curation note: When indexing the pecan fruit (drupaceous nut) index both *PECAN [B1320]* and *FRUIT [C0167]* (or its more precidese narrower terms).']","['pecan tree']","","['Carya illinoensis']","","['Carya illinoinensis (Wangenh.) K. Koch', 'Carya illinoinensis (Wangenh.) K.Koch']","['carya illinoinensis', 'pecan nut', 'carya pecan']","","['pecan']",1,1,51.641393290789416,51.641393290789416,51.641393290789416,"",""
"http://purl.obolibrary.org/obo/FOODON_00002280","['stone pine nut food product']","","","['Stone pine nut food product is a pine nut product made from the stone pine (Pinus pinea), which has been cultivated for its nuts for over 5,000 years.']","","","","","","","['pine nut']","","","['pine nut']",1,1,46.02316029030021,46.02316029030021,46.02316029030021,"",""
"http://purl.obolibrary.org/obo/CHMO_0000701","['liquid chromatography-tandem mass spectrometry']","","","['A method where a sample mixture is first separated by liquid chromatography before being ionised and characterised by mass-to-charge ratio and relative abundance using two mass spectrometers in series.']","['LC-MS-MS', 'LC-MS/MS', 'LC-MS2', 'LC-MSMS', 'LC/MS/MS', 'LCMSMS', 'liquid chromatography tandem mass spectrometry', 'liquid chromatography tandem mass spectroscopy', 'liquid chromatography-tandem mass spectroscopy']","","['LC-MS-MS', 'LC-MS/MS', 'LC-MS2', 'LC-MSMS', 'LC/MS/MS', 'LCMSMS', 'liquid chromatography tandem mass spectrometry', 'liquid chromatography tandem mass spectroscopy', 'liquid chromatography-tandem mass spectroscopy']","","","","","","","['lc-ms/ms', 'lc-tandem ms method']",2,2,31.790035435079737,18.26444600177297,44.97234131584537,"",""
"http://purl.obolibrary.org/obo/FOODON_03301825","['pistachio nut (whole, raw)']","","","","['pistachio', 'pistachio nut']","[""SIREN DB annotation:\n\n* has quality 'whole, natural shape' (http://purl.obolibrary.org/obo/FOODON_03430150)\n\n* derives from 'seed (anatomical part)' (http://purl.obolibrary.org/obo/FOODON_03420155)\n\n* formed as a result of 'water removal process' (http://purl.obolibrary.org/obo/FOODON_03460138)\n\n* formed as a result of 'preservation by dehydration or drying' (http://purl.obolibrary.org/obo/FOODON_03470116)""]","","","","","","","","['pistachio']",1,1,40.37981737285676,40.37981737285676,40.37981737285676,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_171929","['Anacardium occidentale']","","","['The cashew is a tree in the family *Anacardiaceae*. Its English name derives from the Portuguese name for the fruit of the cashew tree, caju, which in turn derives from the indigenous Tupi name, acajú. It is now widely grown in tropical climates for its cashew nuts and cashew apples. \n\nThe fruit of the cashew tree is an accessory fruit (sometimes called a pseudocarp or false fruit). What appears to be the fruit is an oval or pear-shaped structure that develops from the pedicel and the receptacle of the cashew flower. Called the cashew apple, better known in Central America as ""marañón"", it ripens into a yellow and/or red structure about 5 to 11 cm long. It is edible, and has a strong ""sweet"" smell and a sweet taste. The pulp of the cashew apple is very juicy, but the skin is fragile, making it unsuitable for transport. In Latin America, a fruit drink is made from the cashew apple pulp which has a very refreshing taste and tropical flavor that can be described as having notes of mango, raw green pepper, and just a little hint of grapefruit-like citrus. The true fruit of the cashew tree is a kidney or boxing-glove shaped drupe that grows at the end of the cashew apple. The drupe develops first on the tree, and then the pedicel expands into the cashew apple. Within the true fruit is a single seed, the cashew nut. Although a nut in the culinary sense, in the botanical sense the nut of the cashew is a seed. The seed is surrounded by a double shell containing an allergenic phenolic resin, anacardic acid, a potent skin irritant chemically related to the more well known allergenic oil urushiol which is also a toxin found in the related poison ivy. Properly roasting cashews destroys the toxin, but it must be done outdoors as the smoke (not unlike that from burning poison ivy) contains urushiol droplets which can cause severe, sometimes life-threatening, reactions by irritating the lungs.']","['cashew', 'maranon']","['LanguaL curation note: When indexing the pecan fruit (drupe, seed) index both *PECAN [B1221]* and *FRUIT [C0167]* (or its more precise narrower terms).']","['cashew plant']","","","","['Anacardium occidentale L.']","['anacardium occidentale', 'cashew apple']","","['cashew']",1,1,39.93317802120182,39.93317802120182,39.93317802120182,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_3755","['Prunus dulcis']","","","['A species of tree native to Iran and surrounding countries but widely cultivated elsewhere, which produces drupe fruit containing almond seed.']","['almond', 'sweet almond']","","","","['Amygdalus communis', 'Prunus amygdalus', 'Prunus communis', 'Prunus dulcis var. sativa']","","['Prunus dulcis (Mill.) D. A. Webb', 'Prunus dulcis (P. Mill.) D.A. Webber', 'Prunus dulcis (Mill.) D.A.Webb var. amara (DC.) Buchheim', 'Prunus dulcis (Mill.) D.A.Webb var. dulcis']","","","['almond']",1,1,38.89979102085838,38.89979102085838,38.89979102085838,"",""
"http://purl.obolibrary.org/obo/FOODON_00003206","['peanut (whole)']","","","['A seed of a peanut plant (Arachis hypogaea).']","['peanut']","","","","","","","","","['peanut']",1,1,37.357160272113376,37.357160272113376,37.357160272113376,"",""
