"uri","label","skos_alt_label","skos_pref_label","iao_definition","oio_exact_synonym","chebi_formula","oio_related_synonym","iao_preferred_label","obo_external_ontology_notes","obo_homology_notes","rdf_comment","iao_alternative_term","obi_isa_term","iedb_alternative_term","apollo_label","iao_elucidation","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_nl_axiom","oio_broad_synonym"
"http://purl.obolibrary.org/obo/UBERON_0001913","['milk']","","","['An emulsion of fat globules within a fluid that is secreted by the mammary gland during lactation.']","['mammary gland milk', 'mammal milk']","","","['milk']","['ncit:Milk refers specifically to cow milk']","['The detailed similarities of mammary glands in living monotremes, marsupials, and eutherians argue for a monophyletic origin of these glands, perhaps by the combination of parts of preexisting sebaceous and sweat glands.[well established][VHOG]']","['LanguaL curation note: See scope note for *MILK OR MILK COMPONENT*. for lowfat milk use *FAT PARTIALLY REMOVED*; for skim milk, use *FAT FULLY REMOVED* (both found in D3. TREATMENT APPLIED).', 'LanguaL term definition: Milk is a secretion from the mammary glands of female mammals.']","","","","","","['milk']",1,2,31.758418099283457,31.73526943548058,39.07069967148759,"",""
"http://purl.obolibrary.org/obo/CHEBI_2504","['aflatoxin B1']","","","[""An aflatoxin having a tetrahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h]chromene skeleton with oxygen functionality at positions 1, 4 and 11.""]","[""(6aR,9aS)-4-methoxy-2,3,6a,9a-tetrahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h]chromene-1,11-dione"", 'aflatoxin B1', 'Aflatoxin B1']","['C17H12O6']","[""2,3,6aalpha,9aalpha-Tetrahydro-4-methoxycyclopenta(c)furo(3',2':4,5)furo(2,3-h)(1)benzopyran-1,11-dione""]","","","","","","","","","","['aflatoxin b1(afb1', 'aflatoxin b1']",2,2,21.627833223810658,15.577912621348354,38.35732019069657,"",""
"http://purl.obolibrary.org/obo/PATO_0000165","['time']","","","['A quality in which events occur in sequence.']","","","","['time']","","","","","","","","","['time']",1,1,32.245992009816526,32.245992009816526,32.245992009816526,"",""
"http://purl.obolibrary.org/obo/PATO_0000033","['concentration of']","","","[""A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.""]","['concentration']","","","['concentration of']","","","","","","","","","['concentration']",1,1,28.623311570966706,28.623311570966706,28.623311570966706,"",""
"http://purl.obolibrary.org/obo/CHEBI_33232","['application']","","","['Intended use of the molecular entity or part thereof by humans.']","","","","","","","","","","","","","['application']",1,1,22.214914376356674,22.214914376356674,22.214914376356674,"",""
"http://purl.obolibrary.org/obo/OBCS_0000058","['sensitivity']","","","['A data item that measures the proportion of actual positives which are correctly identified as such (e.g. the percentage of sick people who are correctly identified as having the condition).']","","","","","","","","","","","","","['sensitivity']",1,2,12.984639385727904,12.960049726017232,15.955692816858429,"",""
"http://purl.obolibrary.org/obo/UBERON_0006539","['mammary gland fluid/secretion']","","","['A substance that is secreted by a mammary gland. The substance may differ depending on phase, with colostrum produced during pregancy/early lactation, and milk produced afterwards.']","","","['lactiferous gland fluid', 'lactiferous gland secretion', 'mammary gland fluid', 'mammary gland secreted fluid', 'mammary gland secretion', 'secretion of mammary gland']","","","","","","","","","","['milk']",1,2,12.897925602813116,12.88852432398995,15.867634717740291,"",""
"http://purl.obolibrary.org/obo/CHMO_0000059","['sonochemiluminescence detection']","","","['The detection of chemiluminescence caused the emission of light by tiny bubbles in a liquid excited by sound.']","['SCL detection', 'sono chemiluminescence detection', 'sono-chemiluminescence detection', 'sonodynamic chemiluminescence detection']","","","","","","","","","","","","['detection']",1,5,8.685898887812249,8.665799616277225,14.044285313737292,"",""
"http://purl.obolibrary.org/obo/CHMO_0002467","['analyte']","","","['The component of a system to be analysed.']","","","","","","","","","","","","","['analyte']",1,1,11.921023032764262,11.921023032764262,11.921023032764262,"",""
"http://snomed.info/id/762952008","['Peanut (substance)']","['Peanuts']","['Peanut']","","","","","","","","","","","","","","['peanut']",1,2,10.424861520095734,9.53937359556259,11.74434650898689,"",""
"http://purl.obolibrary.org/obo/CHMO_0000058","['chemiluminescence detection']","","","['The detection of luminescence emitted from a sample as a result of a chemical reaction.']","['CL detection']","","","","","","","","","","","","['detection', 'cl', 'catalyze']",3,7,2.8652780736604364,2.0432703107344383,10.98946351140558,"",""
"http://snomed.info/id/64652000","['Horseradish peroxidase (substance)']","","['Horseradish peroxidase']","","","","","","","","","","","","","","['horseradish peroxidase']",1,1,9.854089444407185,9.854089444407185,9.854089444407185,"",""
"http://purl.obolibrary.org/obo/IAO_0000318","['results section']","","","['A part of a publication about an investigation that is about a study design execution']","","","","['results section']","","","","['results']","","","","","['result']",1,1,7.685208661942622,7.685208661942622,7.685208661942622,"",""
"http://purl.obolibrary.org/obo/OBI_0000395","['signal amplification function']","","","['A signal amplification function is a signal conversion function to inject energy into an input signal so as to produce an output signal with increased differential magnitude while also seeking to minimize increases in the signal to noise ratio. For example, to produce a 0.1 KW output signal from a 1 mW RMS input signal.']","","","","['signal amplification function']","","","","","","","","","['signal amplification']",1,1,7.6579574581205465,7.6579574581205465,7.6579574581205465,"",""
