keyword,count
risk assessment,1278
consumer risk assessment,992
safety,925
pesticide,864
Opinion,722
peer review,658
efficacy,642
Regulation (EC) No 396/2005,585
health claims,579
food safety,388
MRL application,371
Germany,367
monitoring,320
fungicide,303
herbicide,293
insecticide,264
MRL review,215
GMO,184
pesticide residues,176
food,176
food contact materials,171
MRL,169
zootechnical additive,164
Norway,161
safety assessment,160
QPS,158
residues,156
environment,146
poultry,141
pesticides,140
European Union,139
food control,134
chemicals,134
maximum residue levels,134
plant health,130
quarantine,125
nutritional additive,123
Technical Report,123
agriculture,122
crops,121
exposure,120
plant-protection products,120
zoonoses,118
flavourings,115
pest risk,114
surveillance,112
Belgium,111
MRLreview,110
plant pest,108
chickens for fattening,108
Spain,103
food enzyme,101
Salmonella,100
toxicity,99
children,99
food additive,99
data collection,97
confirmatory data,97
feed,95
exposure assessment,94
veterinary products,94
BSE,91
Regulation (EC) No 1829/2003,89
Flavourings,88
plastic,87
resistance to antibiotics,86
digestibility enhancers,86
occurrence,84
maize,83
pest risk assessment,83
food supplements,82
dietary exposure,81
genetically modified microorganism,81
Food contact materials,80
Bulgaria,80
human health,80
technological additive,79
animal health,79
acaricide,76
pest control,76
silage additive,75
foods,75
recycling process,74
residue monitoring,74
plant growth regulator,74
Slovakia,74
public consultation,73
Zootechnical additive,72
novel food,72
Regulation (EC) No 396/2005,72
Czech Republic,71
Veterinary medicinal products,69
zootechnical additives,69
Statement,68
farmed animal species,68
animal products,67
Finland,67
poly(ethylene terephthalate) (PET),67
Directive 2001/18/EC,66
infants,64
control,64
xylanase,62
piglets,62
JECFA,62
fish,61
antimicrobial resistance,61
pigs,61
genetically modified organisms,61
avian influenza,59
Safety assessment,58
bovine spongiform encephalopathy,57
Austria,57
guidance,57
Campylobacter,56
animal welfare,55
Food supplements,55
scrapie,54
detection,53
spread,53
impact,52
compounds of trace elements,52
health claim,51
Working Plans,50
maize (Zea mays),50
indicator species,50
import,50
esters,49
wild birds,49
plant protection products,48
Evaluation,48
Nutritional additive,48
Technological additive,48
risk,48
safety evaluation,47
bacteria,47
ESBL,47
nutrition,47
glyphosate,46
Sweden,46
yeast,46
aliphatic,45
cattle,45
various crops,45
immune system,44
Dietary Reference Value,44
oxidative damage,44
blood pressure,43
bone,43
feed additive,42
renewal,41
MRLapplication,41
body weight,41
food additives,41
Pest control,41
Quarantine,40
digestibility enhancer,40
meat,40
laying hens,40
skin,40
TSE,40
milk,39
ingredient,39
sensory additives,39
amino acid,39
United Kingdom,39
food contamination,39
herbicide tolerance,39
contaminants,39
Netherlands,39
LDL‐cholesterol,38
endo‐1,38
plant pests,38
pathogens,38
disease surveillance,38
epidemiology,38
dioxins,37
host plants,37
Effectiveness,37
turkeys for fattening,37
application,37
Pest management,37
food and feed safety,37
flavouring substances,37
Italy,37
evaluation,36
environmental risk assessment,36
transmissible spongiform encephalopathies,36
GMOs,35
Regulation (EC) No 1829/2003,35
unsaturated,35
genotoxicity,34
pigs for fattening,34
TSE surveillance,34
human and animal health,34
dogs,34
consumer safety,34
spongiform encephalopathy,34
selenium,34
nematicide,34
Saccharomyces cerevisiae,33
gut flora stabiliser,33
AmpC,33
FGE.19,33
coccidiostat,33
plant protection,33
amino acids,33
quarantine pest,33
import and processing,32
feed safety,32
Zoonotic bacteria,32
alicyclic,32
Indicator bacteria,32
ADI,32
Antimicrobial resistence,32
Listeria monocytogenes,32
welfare,32
potential distribution,31
sheep,31
alcohols,31
Ireland,31
quality loss,31
insect resistance,31
yield loss,31
Escherichia coli,31
environmental safety,31
viruses,30
nutritional additives,30
saturated,30
feeds,30
priority pests,30
Enterococcus faecium,30
sows,30
yield losses,30
pest monitoring,30
maximum residue level,29
blood cholesterol,29
XML,29
enzyme,29
Bacillus subtilis,29
consultation,29
Recycling,29
triazole fungicide,29
Animal Health Law,29
public health,28
stunning,28
Plastic,28
PAT,28
cholesterol,28
joints,28
prevalence,28
turkeys,28
bowel function,28
eggs,28
energy‐yielding metabolism,28
preservative,28
Process,28
iron,28
listing,28
categorisation,28
slaughter,27
comments,27
coccidiostats,27
Cyprus,27
GBR,27
carry‐over,27
genetically modified microorganisms,27
aldehydes,27
copper,27
chemical substances,27
zinc,27
Standard Sample Description,26
cats,26
vision,26
6‐phytase,26
Cry1Ab,26
vitamin D,25
Poland,25
repellent,25
risk reduction options,25
strawberries,25
mycotoxins,24
swine,24
toxicology,24
systematic review,24
hair,24
lead,24
other zootechnical additives,24
food chain,24
uncertainty,24
cultivation,24
Q fever,24
Lactobacillus plantarum,24
annual work plan,24
Safety,24
processing,24
maximum residue limits,24
fungi,24
cadmium,24
Food Contact Materials,23
plant protection product,23
cereals,23
French overseas departments,23
tolerance,23
Adequate Intake,23
health,23
flavouring,23
Shiga toxin-producing Escherichia coli,23
calcium,23
vegetables,23
Pesticides,22
zoonotic bacteria,22
survey,22
MON 810,22
food allergy,22
technological additives,22
basic substance,22
lettuce,22
Croatia,22
food supplement,22
antibiotic resistance,22
analysis,22
risk factors,22
manganese,21
vitamins and provitamins,21
third countries,21
all animal species,21
chickens,21
foodborne diseases,21
Safety evaluation,21
norway,21
caffeine,21
Zoonoses,21
gut flora stabilisers,21
norwegian scientific committee for food safety,21
honey,21
antibiotics,21
Plastics,21
Guidance Document,21
distribution,21
