"CUI","count","name"
"C0441833",6251,"Groups"
"C1511726",4657,"Data"
"C0016452",4267,"Food"
"C0015179",3886,"European Union"
"C0441889",3757,"Levels (qualifier value)"
"C0000857",3635,"Abstracting"
"C0439861",3236,"Substance"
"C0220825",3125,"Evaluation"
"C0036043",3108,"Safety"
"C1707496",2750,"Consumer"
"C0035647",2569,"Risk"
"C0031809",2512,"Physical Examination"
"C0036397",2449,"Science"
"C0032098",2280,"Plants"
"C0442796",2150,"Additive"
"C3245505",2112,"Potential"
"C0870705",2111,"control act - information"
"C0003062",2042,"Animals"
"C0086930",2037,"Risk Assessment"
"C0851285",2018,"Regulation"
"C1709915",2005,"Residue"
"C0806909",1994,"Maximum"
"C2987508",1990,"Feeding Activity"
"C0086418",1984,"Homo sapiens"
"C0274281",1947,"Injury due to exposure to external cause"
"C1548151",1926,"Species - Nature of Abnormal Testing"
"C1516048",1896,"Assessed"
"C1280519",1694,"Effectiveness"
"C0014406",1613,"Environment"
"C0370003",1610,"Specimen"
"C0599437",1546,"Authority"
"C0282443",1541,"Review [Publication Type]"
"C0392747",1438,"Changing"
"C0086045",1431,"Mental concentration"
"C0871010",1410,"Opinions"
"C1280500",1398,"Effect"
"C0205396",1397,"Identified"
"C0033268",1355,"production"
"C1512806",1341,"Intake"
"C0456984",1288,"Test Result"
"C1272683",1281,"Request - action"
"C0680022",1258,"member"
"C0679809",1253,"Health Risk Assessment"
"C0018684",1246,"Health"
"C0009830",1219,"Consumption of goods"
"C0696628",1182,"Applicant (person)"
"C2699424",1170,"Concern"
"C0025018",1165,"Meat Products"
"C1535514",1152,"European race"
"C1521840",1089,"Target"
"C0947630",1079,"Scientific Study"
"C0012634",1074,"Disease"
"C0750572",1053,"Estimated"
"C0080194",1032,"Muscle strain"
"C3887511",1012,"Evidence"
"C0039005",998,"Family suidae"
"C0439228",994,"day"
"C0449416",985,"Source"
"C0178602",950,"Dosage"
"C0332157",949,"Exposure to"
"C0010028",945,"Zea mays"
"C0031253",942,"Pesticides"
"C0034866",940,"Recommendation"
"C0969756",928,"Organisms, Genetically Modified"
"C0016453",927,"Food Additives"
"C3858554",917,"trust framework"
"C0032850",912,"Fowls, Domestic"
"C0185125",897,"Application procedure"
"C0040539",890,"Toxicity aspects"
"C0028707",874,"Science of nutrition"
"C0679739",866,"Peer"
"C0150312",863,"Present"
"C0032659",845,"geographic population"
"C0014442",843,"Enzymes"
"C0008972",839,"Clinical Research"
"C0449255",819,"Context"
"C0086035",818,"Competence"
"C0239307",815,"ethnic european"
"C2347946",803,"Relevance"
"C0439801",788,"Limited (extensiveness)"
"C0684224",780,"Report (document)"
"C0439234",763,"year"
"C1709793",759,"Quantitation"
"C0454664",755,"Country"
"C0392756",748,"Reduced"
"C1283828",744,"intent"
"C0027361",744,"Persons"
"C0038951",740,"Surveys"
"C0008051",738,"Chickens"
"C0005910",737,"Body Weight"
"C0036563",709,"Plant seeds"
"C0243161",681,"criteria"
"C1456535",656,"Food Safety"
"C0026409",648,"Mongolian language"
"C0179038",647,"Analyzer, device"
"C0008059",646,"Child"
"C0444099",646,"Skin Specimen"
"C0332261",632,"Spreading (qualifier value)"
"C0275724",629,"Benign foot rot"
"C0001675",628,"Adult"
"C0023252",617,"Statutes and Laws"
"C0243132",609,"occurrence characteristics"
"C0682897",607,"flavor enhancers"
"C1184743",607,"bony process"
"C1254351",596,"Pharmacologic Substance"
"C0205410",595,"Sufficient"
"C0150369",590,"Preventive monitoring"
"C0457083",587,"Usage"
"C0868928",585,"Case (situation)"
"C0205250",577,"High"
"C0005595",577,"Aves"
"C0443211",577,"Established"
"C0205197",575,"Complete"
"C0021270",575,"Infant"
"C0332197",575,"Absent"
"C0450254",571,"Pathogenic organism"
"C0087130",566,"Uncertainty"
"C0010352",566,"Avian crop"
"C0012155",562,"Diet"
"C0016767",554,"Fruit"
"C4310811",552,"MEESTER-LOEYS SYNDROME"
"C2985927",550,"Animal Species Code"
"C0150098",547,"Data Set"
"C0423896",544,"Feeling content"
"C0012652",544,"Disease Outbreaks"
"C1514873",543,"Requirement"
"C0442726",543,"Detected (finding)"
"C0028128",541,"nitric oxide"
"C0007452",539,"Cattle"
"C0242295",536,"Dietary Supplements"
"C0026336",530,"Study models"
"C0003050",528,"Animal feed (substance)"
"C0150600",523,"Advice"
"C0031251",516,"Pesticide Residues"
"C0033204",513,"Probability"
"C0079809",512,"Measures"
"C3812881",506,"Author"
"C0205251",502,"low"
"C0178476",501,"analytical method"
"C0301630",501,"Reduction (chemical)"
"C0054966",500,"CD59 Antigen"
"C0032485",483,"Polyethylene Terephthalates"
"C0332281",483,"Associated with"
"C1516876",480,"Engineered Gene"
"C4505221",479,"Dietary Exposure"
"C0025663",478,"Methods"
"C3658296",476,"Acceptable Daily Intake"
"C0520510",468,"Materials"
"C0600210",465,"population migration"
"C0700287",465,"Reporting"
"C0442805",463,"Increase"
"C0086715",462,"Normal Range"
"C0036111",461,"Salmonella"
"C0037733",457,"Soybeans"
"C0726639",455,"Impact food supplement"
"C0870840",453,"Manufacture"
"C0014834",450,"Escherichia coli"
"C0598309",447,"genotoxicity"
"C0043047",445,"water"
"C1707478",444,"Conclusion"
"C0683579",440,"scenario"
"C0023866",440,"Literature"
"C0029235",439,"Organism"
"C0444706",437,"Measured"
"C0032064",436,"Plague"
"C0015176",435,"Europe"
"C0020517",434,"Hypersensitivity"
"C0025017",432,"Meat"
"C1318228",431,"Market"
"C0439849",430,"Relationships"
"C2349179",425,"End Point"
"C0042614",425,"veterinary aspects"
"C1709694",422,"Processing (action)"
"C1167395",421,"Host (organism)"
"C0034019",421,"public health medicine (field)"
"C2827365",420,"Contaminant"
"C0332173",418,"Daily"
"C0015392",417,"Eye"
"C0237834",416,"Resistance (Psychotherapeutic)"
"C0001779",414,"Age"
"C0205217",413,"Increased"
"C0013227",413,"Pharmaceutical Preparations"
"C1550602",412,"additive ingredient"
"C0184511",411,"Improved"
"C2699414",409,"Committee"
"C0016163",409,"Fishes"
"C0205195",406,"Combined"
"C1764827",406,"Isolate - microorganism"
"C0598697",404,"Hazard"
"C0079946",402,"National origin"
"C0392366",400,"Tests (qualifier value)"
"C1301746",400,"Documents"
"C0332158",399,"Contact with"
"C0683312",398,"Categories"
"C0037775",398,"Spatial Distribution"
"C0868922",396,"Animal product"
"C0012180",394,"Dietetics"
"C0036945",393,"Sheep"
"C0004048",393,"Inspiration function"
"C3714412",392,"Bioactive substance"
"C0035950",391,"Ruminants"
"C0039798",389,"therapeutic aspects"
"C0439858",386,"Conventional"
"C1511790",384,"Detection"
"C0035648",378,"risk factors"
"C0282114",374,"Recycling"
"C0009932",373,"Control Groups"
"C0034693",372,"Rattus norvegicus"
"C0376554",369,"Knowledge"
"C0443354",368,"Analyte"
"C2936506",367,"Livestock"
"C0243107",367,"development aspects"
"C0010995",363,"Data Collection"
"C0005903",360,"Body Temperature"
"C0439663",360,"Infected"
"C0282619",357,"No-Observed-Adverse-Effect Level"
"C2348235",355,"Specification"
"C0205369",355,"Specific qualifier value"
"C1555306",353,"proposal - intent"
"C0042776",349,"Virus"
"C0026131",349,"Milk (body substance)"
"C0016674",348,"France"
"C0017480",347,"Germany"
"C0678695",346,"Nutrients"
"C0449738",346,"Direction"
"C2347938",344,"Regulatory Assessment"
"C0001688",344,"aspects of adverse effects"
"C0205265",342,"Initially"
"C0041401",332,"Meleagridinae"
"C0950153",332,"Plants, Genetically Modified"
"C0034037",332,"Publishing"
"C0449851",332,"Techniques"
"C1882932",331,"Representation (action)"
"C0022108",330,"Irritants"
"C0457432",330,"Non-compliance"
"C0001829",328,"Agriculture"
"C1522240",327,"Process"
"C0870883",327,"Metabolite"
"C1301808",324,"Geographic state"
"C0681562",323,"food product"
"C0699788",322,"Import"
"C0010124",321,"Corticosterone"
"C1521827",319,"Preparation"
