"CUI","count","name"
"C0370003",41495,"Specimen"
"C0441889",29177,"Levels (qualifier value)"
"C0086045",28253,"Mental concentration"
"C0008972",27283,"Clinical Research"
"C0016452",22304,"Food"
"C1764827",20416,"Isolate - microorganism"
"C0080194",20071,"Muscle strain"
"C0086418",17928,"Homo sapiens"
"C0025663",17461,"Methods"
"C0456984",17395,"Test Result"
"C0014834",17289,"Escherichia coli"
"C0442726",17115,"Detected (finding)"
"C0220825",15969,"Evaluation"
"C0259846",15334,"adulteration"
"C1511790",15172,"Detection"
"C0036111",13933,"Salmonella"
"C1280500",13914,"Effect"
"C0392756",13606,"Reduced"
"C0205250",13238,"High"
"C0450254",13187,"Pathogenic organism"
"C0439228",12567,"day"
"C0009830",11291,"Consumption of goods"
"C0445623",11035,"Microorganism"
"C0205409",10732,"Isolated"
"C1511726",10601,"Data"
"C0150312",10577,"Present"
"C1548151",10480,"Species - Nature of Abnormal Testing"
"C0035647",10444,"Risk"
"C0033268",10406,"production"
"C1292732",10313,"Investigates"
"C3245505",10269,"Potential"
"C0025017",10261,"Meat"
"C0026131",10230,"Milk (body substance)"
"C0449286",10161,"Degree or extent"
"C0018270",9918,"Growth"
"C1280519",9421,"Effectiveness"
"C0014406",9312,"Environment"
"C1707455",9234,"Comparison"
"C0012634",9219,"Disease"
"C0012652",9053,"Disease Outbreaks"
"C0332281",8950,"Associated with"
"C0020517",8926,"Hypersensitivity"
"C0205217",8866,"Increased"
"C0936012",8720,"Analysis"
"C0392366",8510,"Tests (qualifier value)"
"C0337174",8286,"Storage area"
"C0016163",8100,"Fishes"
"C0274281",8082,"Injury due to exposure to external cause"
"C0006632",7736,"cadmium"
"C0020283",7718,"Hydrogen-Ion Concentration"
"C0205396",7605,"Identified"
"C0441833",7594,"Groups"
"C0868928",7460,"Case (situation)"
"C1446409",7407,"Positive"
"C0449416",7375,"Source"
"C0392747",7329,"Changing"
"C0027361",7309,"Persons"
"C0003062",7249,"Animals"
"C0032659",7214,"geographic population"
"C0005903",7198,"Body Temperature"
"C0026955",7146,"Mycotoxins"
"C0205279",7036,"Contaminated"
"C0332157",6923,"Exposure to"
"C0039798",6768,"therapeutic aspects"
"C1516048",6766,"Assessed"
"C0750572",6750,"Estimated"
"C0301630",6632,"Reduction (chemical)"
"C0004611",6611,"Bacteria"
"C0205251",6563,"low"
"C0439234",6557,"year"
"C0205148",6464,"Surface"
"C0445150",6408,"Serotype O157:H7"
"C0002778",6273,"Analysis of substances"
"C1456535",6265,"Food Safety"
"C0237820",6260,"Recovery - action"
"C0026336",6249,"Study models"
"C1707496",6176,"Consumer"
"C0442805",6176,"Increase"
"C0069299",6115,"ochratoxin A"
"C0010453",6072,"Anthropological Culture"
"C0423896",6063,"Feeling content"
"C0008051",6005,"Chickens"
"C0003232",5811,"Antibiotics"
"C3242390",5810,"foodborne"
"C1512806",5731,"Intake"
"C0025018",5665,"Meat Products"
"C0043047",5646,"water"
"C0521095",5614,"Determined by"
"C0009932",5605,"Control Groups"
"C0007968",5597,"Cheese"
"C0015852",5363,"Fermentation"
"C0001734",5338,"Aflatoxins"
"C0237881",5324,"Statistical Significance"
"C1210581",5316,"Lactobacillales"
"C0012155",5316,"Diet"
"C1709793",5258,"Quantitation"
"C0025424",5176,"mercury"
"C0332306",5133,"Quality"
"C0042440",5127,"Vegetables"
"C0033105",5092,"Statistical Prevalence"
"C0025344",4988,"Menstruation"
"C0039005",4979,"Family suidae"
"C0441994",4870,"Lower - spatial qualifier"
"C0016767",4796,"Fruit"
"C0038172",4748,"Staphylococcus aureus"
"C0229961",4732,"Carcass"
"C0037592",4683,"Soil"
"C0030705",4683,"Patients"
"C0023861",4654,"Listeria monocytogenes"
"C2987620",4639,"Inoculation"
"C0057445",4614,"deoxynivalenol"
"C0205195",4612,"Combined"
"C0032447",4591,"Polychlorinated Biphenyls"
"C0947630",4546,"Scientific Study"
"C0237834",4520,"Resistance (Psychotherapeutic)"
"C0013710",4519,"Egg Food Product"
"C2718050",4498,"Limit of Detection"
"C0018684",4491,"Health"
"C0443224",4487,"Fresh (qualifier value)"
"C0205216",4485,"Decreased"
"C1709915",4477,"Residue"
"C0007452",4463,"Cattle"
"C0023175",4441,"lead"
"C1707520",4404,"Correlation"
"C0175923",4401,"Cattle for beef production"
"C0087111",4332,"Therapeutic procedure"
"C1521970",4269,"Characteristics"
"C4054723",4257,"Influence"
"C1709694",4252,"Processing (action)"
"C0870705",4195,"control act - information"
"C0449943",4180,"Serotype"
"C1698986",4178,"Storage"
"C0444706",4115,"Measured"
"C0243107",4063,"development aspects"
"C0000715",4024,"Abattoirs"
"C0032098",4022,"Plants"
"C1880022",4019,"Characterization"
"C0032520",4010,"Polymerase Chain Reaction"
"C0020792",4000,"Identification (Psychology)"
"C0001884",3977,"Airway Resistance Test"
"C0032850",3936,"Fowls, Domestic"
"C0282443",3929,"Review [Publication Type]"
"C0029235",3851,"Organism"
"C0031253",3826,"Pesticides"
"C0036043",3816,"Safety"
"C0007584",3801,"Cell Count"
"C0008059",3800,"Child"
"C0025953",3790,"Microbiological"
"C0806909",3763,"Maximum"
"C0184511",3724,"Improved"
"C0009450",3684,"Communicable Diseases"
"C0007757",3682,"Cereals"
"C0021267",3662,"Industry"
"C0036025",3648,"Saccharomyces cerevisiae"
"C0681814",3641,"research study"
"C0016832",3599,"Fungi"
"C0010028",3596,"Zea mays"
"C0179038",3583,"Analyzer, device"
"C0040549",3561,"Toxin"
"C0010124",3560,"Corticosterone"
"C0003818",3547,"arsenic"
"C0185115",3542,"Extraction"
"C0042295",3539,"Values"
"C0544461",3537,"inactivation"
"C0037775",3535,"Spatial Distribution"
"C0017337",3519,"Genes"
"C0441621",3491,"Sampling - Surgical action"
"C0015733",3463,"Feces"
"C0221423",3448,"Illness (finding)"
"C0449381",3438,"Observation parameter"
"C0439362",3433,"Colony Forming Unit per Gram"
"C0443131",3405,"Accurate (qualifier)"
"C0031809",3389,"Physical Examination"
"C0005507",3354,"Biological Assay"
"C0178602",3315,"Dosage"
"C0034019",3313,"public health medicine (field)"
"C0085117",3305,"Electrophoresis, Gel, Pulsed-Field"
"C0557759",3264,"Farming environment"
"C0038952",3249,"Continuance of life"
"C0035168",3232,"research"
"C0521009",3209,"Bacterial"
"C0022877",3190,"Laboratory"
"C0454664",3186,"Country"
"C0680536",3173,"commercial"
"C0332173",3155,"Daily"
"C0332325",3155,"Resistant (qualifier value)"
"C0006813",3142,"Campylobacter"
"C0021149",3074,"Incidence"
"C1265611",3071,"Quantity"
"C0335326",3015,"Cooking (activity)"
"C0023884",2989,"Liver"
"C0442808",2969,"Increasing"
"C1257900",2968,"Colicin Plasmids"
"C0439230",2962,"week"
"C2987508",2961,"Feeding Activity"
"C0243132",2927,"occurrence characteristics"
"C0041703",2922,"United States"
"C0014441",2920,"Enzyme-Linked Immunosorbent Assay"
"C0456962",2917,"Rapid"
"C0036113",2910,"Salmonella enterica subsp. enterica serovar enteritidis"
"C2607943",2903,"findings aspects"
"C0001779",2901,"Age"
"C0035567",2901,"Rice (Dietary)"
"C0017262",2894,"Gene Expression"
"C0178913",2885,"Blood specimen"
"C0043454",2870,"Zearalenone"
"C0443324",2846,"Traditional origin"
"C0040300",2828,"Body tissue"
"C1318228",2825,"Market"
"C0597198",2825,"Performance"
"C0553561",2810,"Colony-forming unit"
"C2827365",2801,"Contaminant"
"C0008562",2801,"High pressure liquid chromatography procedure"
"C0220806",2757,"Chemicals"
"C1254351",2756,"Pharmacologic Substance"
"C1521840",2754,"Target"
"C0039476",2744,"Temperature"
"C0439849",2735,"Relationships"
"C0871208",2729,"Rating (action)"
"C0009458",2728,"Communications Media"
"C0392762",2724,"Quantitative"
"C0439801",2715,"Limited (extensiveness)"
"C0085180",2703,"Aflatoxin B1"
"C0580794",2703,"Shiga-Toxigenic Escherichia coli"
"C0185125",2701,"Application procedure"
"C0206208",2692,"Seafood"
"C0025552",2685,"Metals"
"C0021467",2674,"Psychological inhibition"
"C0026606",2670,"Physical activity"
"C0679360",2664,"Foodborne Disease"
"C0150369",2661,"Preventive monitoring"
"C0043137",2660,"Wheat (Dietary)"
"C0870883",2658,"Metabolite"
"C0439858",2646,"Conventional"
"C0001675",2640,"Adult"
"C0005910",2615,"Body Weight"
"C0017431",2615,"Genotype"
"C0392760",2595,"Affecting"
"C0043188",2577,"Wine"
"C0439231",2564,"month"
"C0600688",2564,"Toxic effect"
"C0726639",2555,"Impact food supplement"
"C0439663",2550,"Infected"
"C1880371",2547,"Diversity"
"C0205360",2529,"Stable status"
"C0242765",2521,"Lettuce - dietary"
"C0040539",2520,"Toxicity aspects"
"C0025664",2496,"Methods aspects"
"C0038951",2477,"Surveys"
"C1521827",2474,"Preparation"
"C0205263",2465,"Induce (action)"
"C0205419",2457,"Variant"
"C4055506",2427,"Accumulation"
"C0009462",2425,"Community"
"C0949920",2417,"Norovirus"
"C0220781",2401,"Anabolism"
"C0037494",2396,"sodium chloride"
"C0449774",2386,"Patterns"
"C3887511",2367,"Evidence"
"C0871161",2366,"Property (attribute)"
"C0034866",2365,"Recommendation"
"C0205160",2362,"Negative"
"C0441712",2361,"Mechanism (attribute)"
"C0439157",2358,"counts"
"C1709846",2345,"Real-Time Polymerase Chain Reaction"
"C0040223",2342,"Time"
"C0079946",2340,"National origin"
"C0871420",2339,"Standard deviation"
"C0314760",2326,"Coliform bacteria"
"C1512335",2310,"Harvest Procedure"
"C2752975",2305,"oral incubation"
"C1442989",2298,"Standard (qualifier)"
"C0684224",2297,"Report (document)"
"C0456205",2295,"Contents"
"C0038027",2294,"Reproduction spores"
"C1136254",2290,"Microbicides"
"C0043210",2282,"Woman"
"C0013194",2270,"Drug Packaging"
"C0036126",2267,"Salmonella typhimurium"
"C1522326",2266,"Treating"
"C0242772",2252,"Tomatoes"
"C0021270",2251,"Infant"
"C0439237",2240,"degrees Celsius"
"C0439064",2233,"Numerous"
"C0004651",2229,"Bacteriophages"
"C0037633",2224,"Solutions"
"C2349975",2222,"Enhance (action)"
"C2698651",2207,"Optimum"
"C0525033",2206,"Probiotics"
"C0004083",2203,"Mental association"
"C0232478",2196,"Ingestion"
"C1184743",2195,"bony process"
"C0008115",2186,"China"
"C0205246",2175,"Generalized"
"C0184661",2150,"Interventional procedure"
"C1510992",2147,"Average"
"C2349974",2136,"Contamination"
"C0205369",2135,"Specific qualifier value"
"C0002045",2129,"algorithm"
"C0681842",2126,"Prediction"
"C0040722",2122,"disease transmission qualifier"
"C0237753",2098,"Numbers"
"C0520510",2076,"Materials"
"C0681562",2070,"food product"
"C0014507",2063,"Epidemiology"
"C1519941",2061,"Validation"
"C0486616",2060,"Composition"
"C0043393",2047,"Yeasts"
"C0679809",2046,"Health Risk Assessment"
"C0015179",2043,"European Union"
"C0870840",2040,"Manufacture"
"C0036563",2027,"Plant seeds"
"C0017446",2010,"Geographic Locations"
"C0043481",2000,"zinc"
"C0871261",1996,"Response process"
"C0204727",1990,"Isolation procedure"
"C0009968",1987,"copper"
"C1517586",1977,"Investigational"
"C0449851",1971,"Techniques"
"C0013682",1965,"Efficiency"
"C0026845",1964,"Muscle Tissue"
"C0042765",1964,"Virulence"
"C0443354",1963,"Analyte"
"C0039421",1963,"Technology"
"C0037420",1962,"Social Interaction"
"C0032458",1920,"Polycyclic Hydrocarbons, Aromatic"
"C0014346",1918,"Enterobacteriaceae"
